# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2ptq	1	5.500433838	3.526843574	2.828855913	2.412196603	2.254608296	1.146721467	1.289909727	1.376366489	1.434185241	1.359570731
2ptq	2	0.681404451	0.621519540	0.383158657	0.189937918	0.112025177	-0.061257083	-0.166801775	-0.042182452	0.094314474	0.037545181
2ptq	3	1.366212106	0.757954511	0.678183007	0.545146733	0.371544114	-0.076858913	-0.026409010	-0.022925852	-0.066385137	-0.053015119
2ptq	4	1.707183750	1.117070668	0.691629848	0.486319156	0.409423498	0.180154164	-0.024808636	-0.020564085	-0.092082176	-0.017164925
2ptq	5	2.156019966	1.324414671	0.698256984	0.554261157	0.423609922	-0.296973599	-0.219571303	-0.114281936	-0.025771843	-0.043502263
2ptq	6	1.183740422	0.590879520	0.399593174	0.240355632	0.117850947	0.169127909	0.017086019	0.090155227	0.034099200	-0.019761752
2ptq	7	0.075150048	-0.095668384	0.041496594	0.096294623	0.096259482	0.083992345	-0.082749428	0.021790569	-0.068878904	-0.132038589
2ptq	8	0.845192181	0.361497358	0.292005396	0.392220248	0.335773875	0.375466700	0.363398600	0.280936976	0.238686026	0.183498668
2ptq	9	3.429082804	1.520194466	1.044439918	0.897163965	0.736605751	0.196666743	0.352494512	0.264568190	0.110250758	0.054659214
2ptq	10	2.790244141	1.313896440	0.825393554	0.545793717	0.416536783	-0.101736569	-0.037766524	0.045511971	-0.064143316	-0.052843145
2ptq	11	1.164241904	0.618884483	0.403643346	0.260613840	0.211292279	0.058937300	0.096815099	0.155639439	0.104832850	0.288687571
2ptq	12	0.483558377	0.137358341	0.338955321	0.419235082	0.345323069	-0.500809836	0.008881086	0.029456074	-0.044994197	-0.048409054
2ptq	13	1.661509933	0.665202210	0.352021929	0.315942105	0.305130201	0.259650843	0.188185539	0.134533890	-0.016451482	-0.118429871
2ptq	14	41.505795638	20.727637015	13.746110994	10.312803790	8.253931720	0.016146548	0.284830964	0.160699944	0.071425487	0.099219496
2ptq	15	1.308987170	0.709032913	0.544275713	0.428513580	0.380689825	-0.195335672	-0.007919140	-0.025175950	-0.022384938	-0.031086565
2ptq	16	-0.006560230	-0.082790792	-0.056801504	0.004470566	-0.076322954	-0.441315112	-0.281487526	-0.119659675	-0.098221889	-0.132843662
2ptq	17	0.609120225	0.243320714	0.287072319	0.254611182	0.175974505	-0.015085684	-0.017378312	-0.133773048	-0.170137532	-0.118225445
2ptq	18	0.141665749	0.025120035	0.020872181	0.050587161	0.072876978	0.090574193	-0.050422321	-0.068194165	0.015540094	-0.054363583
2ptq	19	-0.018535615	-0.126669689	-0.072947428	0.000371920	0.030234190	-0.097505815	-0.097656515	-0.070323726	-0.062083663	-0.060732429
2ptq	20	0.532964658	0.292426202	0.250149682	0.282034787	0.360598869	0.169550427	0.098708027	0.021639259	-0.045412876	-0.033716436
2ptq	21	1.820419469	0.882579792	0.585035566	0.468033197	0.410809758	-0.133607864	-0.073404049	0.047224560	-0.053526820	-0.140013510
2ptq	22	0.452216631	0.220958379	0.167145073	0.199951513	0.151167111	-0.247730334	-0.202803296	-0.155410019	-0.014593819	-0.059527130
2ptq	23	1.821421756	1.019649884	0.758402636	0.559181939	0.344040858	-0.030474046	-0.164336779	-0.093244369	-0.043828831	-0.093448337
2ptq	24	2.633482629	1.314847908	0.837826973	0.564664304	0.452957763	0.295736814	0.236372619	0.178971308	0.191614018	0.160049975
2ptq	25	1.724125516	1.353453977	1.262746956	1.190871945	1.103772688	0.909944875	1.094510876	1.006289590	0.930725365	0.958315004
2ptq	26	2.834174118	1.439514185	0.932339859	0.684231836	0.494736566	0.319018118	0.510698145	0.392671159	0.412946987	0.210944323
2ptq	27	10.484433487	8.701732260	8.196290636	8.093657956	8.017942641	7.812448829	7.888360510	7.811258022	7.798164610	7.806313439
2ptq	28	1.823884112	0.890150887	0.603486534	0.516470788	0.412897025	-0.568821894	-0.216146223	-0.168710617	-0.134975985	-0.100075376
