# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2d1p	1	40.234334721	20.204749646	13.469755571	10.040664775	7.996956171	-0.304056322	-0.416878082	-0.154108228	-0.039403688	-0.090133733
2d1p	2	62.227493136	30.841970297	20.399451947	15.438868924	12.363703067	-0.307200302	-0.213847455	-0.270266327	-0.283674977	-0.198418651
2d1p	3	52.874393153	27.428767653	18.204598777	13.606074166	10.873277125	0.240767482	0.094409354	0.256855034	0.436821455	0.368188448
2d1p	4	159.441605904	79.432374720	52.733067148	39.655424233	31.654230912	0.028086061	0.050072659	0.056156800	0.039568215	0.040044950
2d1p	5	55.810845968	28.087577778	19.202262314	14.463486723	11.530818020	0.239957062	0.601298311	0.361500201	0.220260018	0.011589012
2d1p	6	109.940769441	55.039504259	36.875837926	27.669756453	22.271399497	-0.428839156	-0.130043028	-0.115458227	-0.024252866	0.000283245
2d1p	7	160.210741423	80.053788966	53.349716081	39.906214560	31.923853891	0.016174029	0.091411126	-0.033387610	-0.004207526	-0.012872456
2d1p	8	24.992838221	12.728258470	8.392405280	6.366644187	5.066648158	-0.012739446	-0.022919758	0.026219145	0.224930428	0.313783911
2d1p	9	87.098902028	43.496830914	28.890532027	21.571143754	17.217389762	-0.460317835	-0.094764316	-0.169966579	-0.054941326	0.017736688
2d1p	10	24.618231529	12.063650149	8.074746088	5.791746207	4.553732028	0.417148240	-0.084169729	0.095194573	-0.006647114	0.005425058
2d1p	11	66.517893933	33.391094513	22.257233455	16.696183287	13.355575777	0.491944519	1.106486026	0.640794203	0.570651297	0.469806827
2d1p	12	185.449089899	92.822053867	62.268712010	46.678277062	37.310459889	0.344886542	0.440265905	0.238374881	0.111348577	0.090363016
2d1p	13	118.006788670	59.072529436	39.500275846	29.627964440	23.718088508	0.229936771	0.104295516	-0.106873452	0.041155714	0.025319494
2d1p	14	59.706333013	29.677085099	20.234948793	15.293713278	12.112819620	-0.026265556	-0.343599178	-0.583559373	-0.450496907	-0.396579897
2d1p	15	8.561261666	4.744096317	3.167071590	2.421779014	2.127956554	0.625054646	0.098199966	-0.130186096	-0.215292403	0.008005834
2d1p	16	26.799019657	13.578655919	8.887418489	6.764619446	5.405171890	0.053019459	0.050671429	-0.013899728	0.025909699	0.212656237
2d1p	17	62.611581113	31.266303768	20.743247156	15.653576877	12.470928256	-0.071181544	-0.194912093	-0.203675194	-0.240895577	-0.167167733
2d1p	18	20.606712371	10.126051974	6.768775804	4.998279101	3.968009363	0.285896098	0.055982454	-0.246318907	-0.058161732	-0.092502475
2d1p	19	154.256155873	77.425518583	51.659494586	38.772148101	30.955385492	0.423037170	0.342949483	0.054860701	0.054773768	0.076422605
2d1p	20	117.699525863	58.610398383	38.903539230	29.138760878	23.374212974	-0.256597344	-0.314762456	-0.398539787	-0.303952208	-0.114360942
2d1p	21	83.264293257	41.359282402	27.323416935	20.422609189	16.428910623	0.016566258	-0.178332483	-0.113737674	-0.202841129	-0.180908296
2d1p	22	88.525861435	44.070774129	29.583635499	22.257193702	17.711881314	-0.117512868	-0.028380124	0.298878826	0.213156526	0.158589421
2d1p	23	54.683914086	27.356137033	18.103883445	13.447538689	10.721456388	0.532580794	0.124229504	-0.154246742	-0.211305621	-0.210604080
2d1p	24	55.857385672	27.906518159	18.566203410	14.003967197	11.159675833	-0.166250042	-0.355403790	-0.344894247	-0.298439655	-0.328555059
2d1p	25	72.023818501	35.902978007	24.016872589	18.174707618	14.518111525	-0.411507600	-0.175106942	0.351958573	0.306535444	0.233428570
2d1p	26	169.804910693	104.429994219	82.464898713	71.547820399	65.113886766	0.707501112	0.363904666	0.355401326	0.267765140	0.213502108
