# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2fym	1	87.887369571	50.211906089	38.062695422	32.246306561	26.648111703	-0.154024832	-0.059740208	-0.171058750	-0.178783608	-0.080668422
2fym	2	404.484098194	314.699698603	235.206144143	181.335434722	145.233187150	-0.033353885	0.331513985	0.489848079	0.344367005	0.371723656
2fym	3	43.410823578	26.350336367	17.738382728	13.391254121	10.741760490	0.026265083	-0.025321151	0.085441289	-0.096330690	-0.230825646
2fym	4	496.365489427	365.850163538	249.174567427	190.633940508	155.069985279	-0.626594263	-0.186696902	0.109518162	0.072282525	0.028963468
2fym	5	264.148127258	270.503244380	268.114367769	268.381381809	266.096728756	-1.775382843	-1.730205032	-1.812897633	-1.408818106	-1.412742550
2fym	6	490.896515910	489.565189372	489.041697578	492.941799662	491.408095146	0.438746039	0.261133541	0.361546242	0.410284949	0.528935598
2fym	7	278.595041062	276.150189093	246.401198464	231.621116431	213.302083320	64.543534545	41.546698547	34.568694990	33.663858792	29.861451538
2fym	8	113.086589645	64.333282134	47.865371452	39.590486055	34.974042492	0.272395548	-0.180826618	-0.218099398	-0.233495226	-0.260274957
2fym	9	50.606076695	38.928750557	40.974976851	53.745160872	60.448964954	61.327385879	45.237050950	36.225582007	31.358489496	39.438140184
2fym	10	141.352588372	129.229101725	125.448412843	103.904113415	85.699069579	-0.242939412	-0.149347670	-0.139491488	-0.029372503	0.026801926
2fym	11	488.198552528	492.113565449	490.946671432	488.841495523	489.091425534	0.658721488	0.080267337	-0.042276405	-0.046337129	-0.307040846
2fym	12	396.749408452	297.499931838	207.303217544	162.122648386	135.028367949	0.270590515	-0.128092930	-0.066779659	-0.131302359	0.045430562
2fym	13	180.071110594	97.316777302	64.822266557	48.727210589	38.876897829	-0.049343516	0.280272251	0.067938546	-0.025395039	0.052145018
2fym	14	132.240901120	88.820850267	60.000791083	45.001875289	36.603582397	0.422414550	-1.099598133	-0.815431789	0.353702336	0.366090618
2fym	15	128.256481358	84.588613201	56.328465116	42.235397317	33.788025578	0.693739542	0.514301198	1.511434222	0.983555753	0.775487585
2fym	16	35.679116329	22.668619376	17.957459874	15.678923979	14.321987818	-2.065524547	-1.070302070	0.150862081	1.290220846	1.508669682
2fym	17	274.035889273	275.421284203	227.052094081	172.640672078	140.194228169	3.726742748	4.144602377	3.477775708	3.705702845	3.652909769
2fym	18	7.352441464	5.415816450	4.588319071	5.032620751	5.020013867	2.064002011	2.675996039	2.873177003	2.751909394	3.008203214
2fym	19	130.729048731	121.018824791	85.781530037	67.903192093	56.929241404	0.621586364	0.234638367	-0.001355879	-0.028374375	-0.046701645
2fym	20	8.296030057	8.483096317	8.896413817	9.301251479	9.466908179	-1.780941935	-1.840849295	-2.004263697	-1.856628028	-1.857448113
2fym	21	282.361827505	278.257997672	273.976717759	272.818518397	274.582521225	-3.962124910	-2.225648609	-2.054830620	-1.837662421	-1.821711460
2fym	22	80.255646765	47.524447702	36.143523363	30.515836265	27.075136297	-0.029741265	0.154923227	0.041263844	0.039175857	-0.394418367
2fym	23	117.783527111	84.878252143	67.193089306	61.634556404	54.916506133	17.148450234	15.859345936	20.996060828	19.880275530	19.394175665
2fym	24	492.227844206	485.177288496	487.239627253	486.908671633	488.875534033	-0.308476779	0.226944705	0.345330453	0.162428989	-0.073945208
2fym	25	456.375268750	253.174942022	179.435614371	138.200044958	114.485157009	-0.648775280	-0.423366067	-0.162788923	-0.108637580	-0.037673095
2fym	26	9.852428631	9.787920809	10.341473777	10.021486814	9.727148606	-2.340106735	0.389519118	1.480955163	1.672725490	1.893649255
2fym	27	275.041197866	236.503058804	171.262668032	140.792461212	127.513691293	84.063981620	70.690589710	55.092628888	58.634574700	51.149642879
2fym	28	494.494744524	427.649540665	305.007485427	234.953061461	190.864782946	0.048866711	0.095413708	-0.107156495	-0.066260604	0.078467998
2fym	29	270.701323736	207.460542690	179.087607703	137.581815755	111.907923173	-1.869845682	-1.859701805	-1.758379293	-1.856776948	-1.871887348
2fym	30	268.566515660	272.753348054	274.119767974	273.163341426	270.351582024	86.535279972	85.890504772	85.840997691	86.877271945	86.527003701
2fym	31	489.978627680	487.779369205	489.041810726	487.461518836	488.786680705	0.297594337	0.057720848	0.216430160	-0.005525302	-0.711908257
2fym	32	483.648738090	488.049131992	491.909503387	491.289167197	491.370475191	0.404928867	0.110449029	0.040192263	-0.109793695	-0.165987585
2fym	33	483.117622906	484.365241882	486.238356368	488.631168199	487.986360235	-0.362203335	-0.198241058	0.113618049	0.026397681	0.025317473
2fym	34	128.145379023	92.919989061	62.034238012	46.448841549	37.155782417	0.112394898	-0.050566025	-0.136514134	-0.072036789	-0.043638420
2fym	35	177.812551651	120.576292707	90.244896618	81.211440043	68.607925211	59.108084526	47.705582536	40.482403147	35.038901368	32.265721791
2fym	36	482.742811708	491.154808664	486.360302626	486.005059729	453.439282251	-0.149875851	-0.322596261	-0.139846200	-0.058641580	-0.215688792
2fym	37	60.885177488	30.488006838	20.508768282	15.208929761	12.212850565	0.669485415	0.268681552	0.278957544	0.124716244	0.009664381
2fym	38	136.868278190	77.607287636	58.457296427	48.720153662	42.878138716	0.950334065	-0.984173954	-1.055588672	-1.093371093	-1.109679695
2fym	39	80.182596901	46.464885260	30.960321990	23.178518781	18.684071748	-0.202088999	-0.238541307	-0.229089079	-0.049508944	-0.062753993
2fym	40	132.523680271	83.241789014	60.325985803	48.777698038	42.022708351	0.139451044	-0.082287773	-0.000607392	-0.019730520	0.023041236
2fym	41	498.952111037	493.874057921	494.293107339	492.526901423	491.318925281	-1.330036646	-1.603137247	-0.632550601	-0.871438039	-0.879681774
2fym	42	146.350837190	88.354620075	59.999414114	45.215456723	36.045809430	-0.280692611	-0.297246035	-0.280342415	-0.120016057	-0.087178995
2fym	43	120.044890155	111.174270820	78.677212275	62.517230587	52.803419990	-0.360490134	-0.561006195	-0.509560954	-0.125688760	-0.135964172
2fym	44	491.631153414	488.517300971	421.117183104	383.915774432	329.540001101	0.136036537	0.012454896	0.040099136	0.046358278	0.030910688
2fym	45	123.627609439	67.517928508	45.268513181	34.548967715	27.611682931	0.501240451	0.381162778	0.055730422	0.011270877	0.025183497
2fym	46	131.087938508	78.922986436	56.073368217	41.763173529	33.258386657	0.078475515	-0.803707269	-0.554579383	-0.453644463	-0.464352376
2fym	47	123.035839424	110.714199708	83.376469690	65.833072768	58.768564079	0.061983714	-0.833534377	-0.565483713	-0.443361526	-0.483391006
2fym	48	319.806332770	172.479508355	114.864600256	86.230136628	68.941491470	-0.304999274	-0.349439029	0.067807505	0.249242065	0.296890032
2fym	49	10.613210171	10.079163381	9.793458108	9.466813402	9.059691519	4.544737731	4.021973244	3.944293086	3.082947830	3.190503669
2fym	50	299.340525703	208.088369477	177.444647223	138.059711146	110.552813063	-0.948892457	-0.249303476	-0.384305225	-0.363226155	-0.329454633
