# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1p7l	1	38.361708301	26.486196838	20.989752350	18.529972982	17.473580912	9.940425287	10.227902196	10.322843967	10.165157590	10.156404061
1p7l	2	2.672618938	1.244230013	0.823867863	0.515508284	0.427029754	-0.204256950	-0.187526625	-0.151548450	-0.131338059	-0.019816637
1p7l	3	31.722478630	15.730508891	10.429160270	7.866281614	6.360410488	-0.371855050	-0.490912467	-0.320152558	-0.429609046	-0.360843310
1p7l	4	36.272825088	33.175120436	32.525695956	31.733241171	31.657400977	11.149645936	10.812934144	10.665959515	10.560073431	10.421271133
1p7l	5	65.621211543	48.784829924	43.004420180	39.668260506	37.614846042	10.148346467	10.556681266	10.431449932	10.450231555	10.682808217
1p7l	6	38.439742157	34.668353190	33.537321806	28.942906911	22.955489907	-0.839392426	-0.991965227	-1.142976908	-0.981363093	-0.969017937
1p7l	7	71.019514744	50.760047151	44.551742914	41.187878239	39.201494583	-1.268209684	-1.100408094	-1.171356250	-1.130797030	-1.103168574
1p7l	8	32.241708002	31.153744225	30.787839700	30.767958795	30.600595698	10.493456549	10.744495317	10.683787518	10.444171695	10.465093341
1p7l	9	27.409125938	19.502055362	16.686671359	15.333664462	14.649061196	10.578686938	10.532482116	10.489083550	10.404557541	10.310406946
1p7l	10	33.540424878	30.923493808	30.881374978	25.817868858	22.584979412	11.888981935	13.355026937	12.375577522	11.702793354	11.369463382
1p7l	11	36.288378679	28.402899242	18.707685883	13.789603571	10.814989558	-0.880471417	-1.061708115	-1.115745551	-0.989340490	-0.982118739
1p7l	12	7.300966685	3.385116082	2.175787939	1.568607245	1.020256869	-1.434547497	-1.089771821	-1.169827271	-1.048654843	-0.994312312
1p7l	13	38.973034105	34.656155617	33.352703746	32.904822232	32.565022481	-0.863582692	-0.906313417	-0.999802065	-1.045028914	-1.006341790
1p7l	14	57.230943177	44.450187301	39.485576300	37.013943519	34.256728891	-0.381267165	-0.793697729	-0.890296289	-0.920242032	-0.849312777
