# pdbid	traj	last100	last200	last300	last400	last500
3brq	1	-1.036692376	-0.415807323	-0.379224955	-0.374649886	-0.571523168
3brq	2	-2.151563268	-1.690045527	-1.750372737	-1.670163641	-1.436739066
3brq	3	-1.089412976	-0.537868830	-0.036820797	-0.293426993	-0.084360360
3brq	4	1.847004213	0.376033727	0.651033862	0.452401243	0.561129277
3brq	5	-2.611404580	-1.809327784	-1.717541445	-1.820677351	-1.726021911
3brq	6	0.285882249	0.810252681	0.673388393	0.879915825	0.664256147
3brq	7	-1.122252219	-0.470309348	-0.584729738	-0.656759558	-0.289775889
3brq	8	0.279181522	-0.178270139	-0.071977165	0.207380418	0.289437441
3brq	9	-0.277132804	0.265710532	-0.000660153	-0.249266333	-0.293262245
3brq	10	-0.100448816	-0.075909494	-0.468514800	-0.340254957	-0.376680187
3brq	11	-0.731463013	-0.935655748	-0.446426897	-0.654371410	-0.689553310
3brq	12	-0.766860780	-0.596286033	-0.620290003	-0.278256399	-0.309178052
3brq	13	-0.124376417	-0.479795763	-0.437527598	-0.124915351	-0.182996520
3brq	14	0.088038913	-0.420549029	-0.366589508	-0.327036370	-0.229552055
3brq	15	0.279187766	0.327539959	0.239162193	0.310241715	0.302645728
3brq	16	1.167073118	0.920820634	0.730955242	0.604038174	0.576385524
3brq	17	-0.613367991	0.141087882	0.010760975	-0.015476867	0.084716294
3brq	18	-0.134126612	0.145990859	0.101330815	-0.091458671	-0.103892554
3brq	19	0.397865142	0.350507390	-0.094389343	-0.237453138	-0.077033319
3brq	20	0.630187091	0.132765508	0.048302410	0.063846168	0.133557723
3brq	21	0.594005465	0.473289903	0.654128165	0.445455686	0.191393570
3brq	22	-1.713142834	-1.552778436	-1.288257543	-1.343722872	-1.526777939
3brq	23	-5.648597406	-5.858700945	-5.423946853	-5.386583320	-5.413596639
3brq	24	0.820695577	0.446597075	0.384565183	0.028432754	-0.257333904
3brq	25	0.944698163	0.459061087	0.344849850	0.213476742	-0.066784837
3brq	26	0.058078193	0.166790502	-0.173209630	-0.372235817	-0.096260738
3brq	27	-2.455341942	-1.814153671	-1.787857160	-1.370731815	-1.530110270
3brq	28	-0.223277511	-0.313974916	-0.273318503	-0.265897799	-0.212611276
3brq	29	-0.334103838	0.126986457	0.013049065	0.212727366	0.098168235
3brq	30	0.405259580	-0.377571339	-0.518978863	-0.372116136	-0.320713762
3brq	31	-6.138352226	-5.492129036	-5.678399395	-5.646413459	-5.482374372
3brq	32	1.402949963	0.549261492	0.298952748	0.305739353	0.368788898
3brq	33	-0.675285045	-0.726242407	-0.543667117	-0.434236631	-0.434980111
3brq	34	0.838973531	0.409355054	0.112005485	0.152352681	0.298932445
3brq	35	-0.428254025	-0.311914946	-0.587032578	-0.561526295	-0.312282724
3brq	36	-0.744022211	-0.652405486	-0.423702410	-0.501826087	-0.350398014
3brq	37	0.299991604	-0.059897060	0.251196192	0.240677325	0.206350681
3brq	38	0.274340952	-0.165654113	0.144425312	0.154721892	0.188939486
3brq	39	0.696878733	0.707959708	0.770200895	0.308806460	0.105495704
3brq	40	0.991835465	0.490016367	0.751815140	0.790962718	0.830308526
3brq	41	0.374730667	0.523345441	0.163746348	0.325832612	0.261125959
3brq	42	-0.469384700	-0.249805418	-0.266493223	-0.239551597	-0.101997683
3brq	43	0.213027954	-0.253002917	-0.430720382	-0.613062465	-0.337391359
3brq	44	0.472226597	0.786128811	0.548586400	0.301363301	0.097909393
3brq	45	0.030060855	0.661692643	0.834602985	0.209093262	0.311439537
3brq	46	0.112060735	-0.063524181	0.016530638	0.269770954	0.111441365
3brq	47	1.082799130	0.483710750	0.264978455	0.358497943	0.514486616
3brq	48	0.058768928	0.287952317	0.594619467	0.455591854	0.545303456
3brq	49	0.404589333	0.328691489	0.266686667	0.268504546	0.339771186
3brq	50	0.721193283	0.219845741	0.151980070	0.150288849	0.255274386
