# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ger	1	62.606747531	32.853735196	21.859361232	16.368903353	13.173563073	-0.005368097	0.180552531	0.431953020	0.184693243	0.175000173
1ger	2	81.297778331	56.865191836	46.024721550	34.558108616	27.566878041	-0.578660461	-0.316025188	-0.044082711	-0.137859086	-0.090358151
1ger	3	239.379908400	233.017638127	236.370413953	238.297012768	237.712472533	-0.092068142	0.340050670	0.051580027	-0.068732609	-0.135881113
1ger	4	25.462846677	13.435021458	9.528923144	7.443607614	6.262930854	0.794400623	1.305316457	1.554498441	1.470658671	1.471118986
1ger	5	16.855449821	8.655500181	5.729670040	4.297443366	3.354530465	0.116961342	-0.205204296	-0.233642160	-0.168640914	-0.160560838
1ger	6	230.681397341	236.882941545	238.513900624	228.568450148	221.519519642	0.171042547	-0.252767363	-0.262328516	-0.208926890	-0.136887398
1ger	7	225.448486816	207.814324691	202.016937899	198.084778914	202.109754965	-0.475028867	0.311378252	0.196408342	0.183848849	0.231346933
1ger	8	104.103572131	100.527456329	84.754692328	71.379669784	63.298207670	0.282993183	0.154184930	-0.085401771	0.094975290	0.118806976
1ger	9	130.935065272	137.864699095	108.472118527	81.203568607	64.946820970	-1.203789685	-0.908257623	-0.902732087	-0.876785339	-0.703409811
1ger	10	242.420054898	244.275500429	238.642206113	226.351576776	219.076153458	0.177929440	0.065749485	-0.001421194	0.047856018	-0.026710441
1ger	11	241.079406429	240.758640828	233.920654920	234.788645812	236.316885714	0.101993689	-0.221415932	-0.025496914	-0.077314104	0.050249506
1ger	12	245.608298663	245.532841445	239.075212766	235.868945552	226.963110278	-0.177888448	-0.173956228	0.013021502	-0.068816477	-0.153067618
1ger	13	134.713815152	131.431730700	102.222741484	80.515025894	67.790250570	12.490469523	12.694213030	12.864252619	12.781475608	13.016425157
1ger	14	45.799225259	37.627151665	35.450493053	34.636265783	34.039494636	-0.147569153	-0.177568533	-0.157562731	-0.002477059	-0.010442114
1ger	15	222.225560406	222.154006637	222.879956902	223.332319048	227.647689865	-0.199455843	-0.201564172	0.069680143	0.159924812	0.089433590
1ger	16	218.897371725	222.689202976	228.804810312	223.438914160	216.756131730	-0.294303425	0.095422755	0.058114066	0.063625061	0.134967967
1ger	17	244.100200458	222.029687456	211.330093474	205.768109551	206.193902558	-0.175862686	-0.225558318	-0.111946799	-0.103181422	-0.127075773
1ger	18	102.469012830	94.735971608	74.456753920	64.088714546	57.049043322	-0.824085521	-0.506885498	-0.498133339	-0.441108972	-0.502856908
