# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1a69	1	62.544153009	43.246963252	36.277100622	32.892701055	31.555313480	21.689161410	22.657956794	23.164681566	23.018102861	22.519089191
1a69	2	153.162798610	113.806741349	75.852580568	56.868375244	45.415944983	0.245711265	0.217797121	0.132316585	0.123233832	0.020397574
1a69	3	146.531237027	78.626683009	52.467552859	39.325026067	31.594831747	0.538563103	0.215862304	0.242599153	0.122793298	0.098635695
1a69	4	139.605880186	74.273852583	51.941994484	40.267595446	33.162913401	4.890969996	4.769999942	4.520605382	5.342184626	5.494789181
1a69	5	71.372861717	35.628908780	23.903428384	17.991673859	14.360159717	-0.254118944	-0.156982384	-0.096320186	-0.077587464	-0.012858454
1a69	6	153.153947811	100.059451154	68.361466665	52.309554023	42.682571918	4.874009975	4.679116110	4.686598829	5.424766750	5.269911936
1a69	7	153.264509934	154.025916582	153.832740939	153.797250344	153.742956233	-0.191631978	-0.017249646	0.041891915	0.054303796	-0.002798964
1a69	8	17.387579794	8.773673161	5.894663135	4.494988166	3.472440665	0.205769692	0.047996830	0.043142232	-0.125913667	-0.005609220
1a69	9	114.867590068	58.799413705	39.392807723	29.577377207	23.699343745	-0.043532085	0.035944421	-0.026313546	0.009457433	0.047172454
1a69	10	150.805830967	80.399965695	53.650358952	40.251562400	32.284572280	-0.062787668	-0.020976967	0.045997520	-0.131253324	-0.100518970
1a69	11	170.671306227	108.314861978	72.313204772	54.326185070	43.602662997	-0.341133222	-0.080962673	-0.102517195	-0.112468903	-0.057417662
1a69	12	148.841178593	90.317050383	60.193286523	45.112824329	36.157588417	-0.282893677	0.204065331	0.061219946	0.102557231	0.020431844
1a69	13	50.450807568	25.223924433	16.923122109	12.677739785	10.080635221	0.101558833	0.088753390	0.269243975	0.179795817	0.126273193
1a69	14	67.673705076	35.934103498	26.220208320	20.679988099	17.627233886	7.039036336	5.659368059	5.215794469	4.886208944	4.859992233
1a69	15	51.258522647	37.330778462	32.144768303	29.567405009	28.876457439	23.175813912	23.409322613	23.342977029	22.695612792	22.699772813
1a69	16	151.952335325	153.673576999	118.747333129	89.045718982	71.301799714	0.117745740	-0.082878739	0.225925086	0.141454409	0.028754073
1a69	17	87.203642839	52.051931361	40.460330823	34.297633080	30.367251139	18.876629747	17.705181059	16.862569676	16.455215080	16.242503658
1a69	18	136.858450399	68.601449399	45.831362827	34.418836618	27.545871469	-0.066061468	-0.318826367	-0.210131738	-0.153390925	-0.045988522
1a69	19	153.683904359	153.820689565	118.486183857	89.014229284	71.235332103	0.262874104	0.226241688	-0.014386870	-0.093389103	-0.071122243
1a69	20	26.111576156	12.928270910	8.469346385	6.330338175	5.038517857	-0.055236744	-0.001060343	-0.021308318	0.043974758	0.017200529
1a69	21	126.959736621	87.335307025	60.127093107	46.320093361	37.851097394	4.668756553	4.355192229	5.231134372	5.091815865	4.908968715
1a69	22	158.175262320	111.214586288	74.178177486	55.588823789	44.473618688	0.227984893	0.275098775	0.466030409	0.413600260	0.223223256
1a69	23	54.763743133	27.578901022	18.462286226	13.742540860	11.031163849	0.414600015	0.174368499	0.202603648	0.090256289	-0.017179494
1a69	24	164.842028230	86.735848533	57.773242940	43.314382677	34.637002830	0.313813461	-0.144849187	-0.010418212	-0.048771905	0.033916090
1a69	25	102.097416077	53.745446471	38.024598296	29.943904309	25.207715590	5.583357424	5.570158426	5.093090203	4.809233486	5.076593453
1a69	26	25.354805637	12.635323104	8.374712807	6.380819023	5.069557069	-0.161405608	-0.114534296	-0.047519776	0.084038690	-0.031109861
1a69	27	49.046869657	30.670078698	25.443816211	23.000695187	21.340697656	20.033071807	16.863539848	16.934814424	17.412600590	16.523929130
