# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1xvi	1	2.603106727	2.383279549	2.476039568	2.579383385	2.496345430	2.004636627	1.943906776	1.998823660	2.045389635	2.138112831
1xvi	2	2.524326103	2.412908276	2.451735694	2.501667193	2.383455486	1.676719026	1.878364851	1.803728802	1.953595593	2.062565552
1xvi	3	5.672608691	5.494936999	4.849858865	4.749299802	4.968186743	4.241996655	5.220229485	5.387775643	5.185992679	5.357662541
1xvi	4	1.668361207	1.927116747	2.021005675	2.062239433	2.158177531	1.821982872	2.070357703	2.152441045	2.216643478	2.180476539
1xvi	5	1.667013396	1.943177214	2.002976043	2.049339594	2.224268548	1.173186386	1.391465496	1.758934697	1.890913212	1.990827872
1xvi	6	2.642398193	2.530536102	2.424842211	2.386756041	2.390953490	2.458622392	2.272290642	2.289358311	2.200022447	2.164701941
1xvi	7	2.022252168	2.188545218	2.358545303	2.415426288	2.357359701	1.960966348	1.962283641	1.947207492	2.144725993	2.052866802
1xvi	8	1.978037069	2.304137516	2.258561006	2.275885456	2.233986115	2.733186314	2.483812626	2.531220742	2.481278463	2.412049837
1xvi	9	2.370059423	2.187526647	2.210146671	2.220978532	2.132333317	1.734989760	1.911895531	2.180637697	2.095096501	2.222908772
1xvi	10	2.045450610	2.036080331	2.108726787	2.142784424	1.920244267	2.568069437	2.499555491	2.330345589	2.267552080	2.278645506
1xvi	11	2.299787139	2.489288993	2.353803861	2.338599780	2.335974602	2.382343357	1.895213673	1.964865653	2.041388848	2.150050263
1xvi	12	7.041476552	6.781191121	6.522750842	6.347983125	5.923876123	3.857096934	3.774714706	4.016968238	4.333758458	4.385674384
1xvi	13	4.862705827	4.810539817	4.719273492	4.810145934	4.647602568	4.478242664	4.026142685	3.845548687	4.004952928	4.401996986
1xvi	14	2.191050317	2.143481356	2.187514618	2.202363669	2.175070635	2.050823839	2.092222597	2.082576575	2.286201803	2.208723494
1xvi	15	6.375383858	5.937795245	5.410822164	5.127138454	4.991642307	4.440494272	4.533231722	4.208911914	4.133150999	4.223220293
1xvi	16	6.532604058	6.257738631	5.510301929	5.528809643	5.616975632	4.983006848	5.551090569	6.010183134	6.157768755	6.166431852
1xvi	17	1.723856165	2.254239388	2.295103533	2.200714901	2.232671923	2.236944922	2.387858111	2.243370186	2.228836377	2.155176844
1xvi	18	2.464075454	2.095560841	2.097632844	1.978064498	2.016896515	2.268898670	2.279142032	2.330475236	2.491867441	2.415735888
1xvi	19	2.297107700	1.787536355	1.978233053	1.906450498	1.803156961	2.185874824	2.185569612	2.323269265	2.308449293	2.244597951
1xvi	20	6.213628658	6.439122286	6.510939673	6.281009593	6.102878791	4.786442912	5.092067076	4.886602547	4.683005174	4.526431190
1xvi	21	4.064301200	4.613791824	4.598349072	5.039625974	5.295021619	5.026673797	5.330591621	5.122178565	5.326048622	5.491635428
1xvi	22	2.357352468	2.080158358	2.185218406	2.099109609	2.132630788	2.084668813	2.267249902	2.137517016	2.092155859	2.061503601
1xvi	23	5.770991461	6.058193458	5.852293540	5.905828716	5.857393622	5.015728191	5.092534802	4.913133522	4.889443271	4.837211224
1xvi	24	6.538661039	6.388007743	6.586500075	6.509386061	6.462529916	4.459966864	4.530998184	4.682493102	4.339562080	4.214564101
1xvi	25	2.530916635	2.304717412	2.133481550	2.104640273	2.127603635	1.961050896	1.983701982	1.974179342	2.056253768	1.966082784
1xvi	26	2.482464094	2.490265054	2.454665446	2.244296660	2.175875218	2.329576595	2.439172386	2.469269510	2.491711440	2.465119152
1xvi	27	2.386562711	2.337736808	1.980825387	1.978162738	2.128853515	1.638444014	1.693551930	1.935338776	1.708909828	1.786458792
1xvi	28	2.793005914	2.792078297	2.650993425	2.641341265	2.622396309	2.303117883	2.311647534	2.276165938	2.172656637	2.233509800
1xvi	29	2.861430211	2.571849454	2.536556662	2.499189141	2.294474228	2.491441723	2.427736356	2.218664216	2.186115350	2.203391154
1xvi	30	3.919435147	4.408767772	4.184530549	4.204539238	4.380588748	5.307957023	5.931616647	5.973568612	5.988506237	5.976881179
1xvi	31	2.618735076	2.519420809	2.179590158	1.958735574	1.876891710	2.202247076	2.254389340	2.199816257	2.001563092	1.991279629
1xvi	32	0.974932893	1.546384244	1.663890504	1.792339845	1.830106287	2.199351269	2.348562515	2.291841656	2.278121664	2.085098090
1xvi	33	1.972689752	1.753894905	1.581448502	1.496332477	1.642003168	2.352278825	2.501032079	2.650346044	2.557797618	2.446259861
1xvi	34	2.159243293	2.162227629	2.136611432	2.075220765	2.097920049	2.131787338	2.309606249	2.399752406	2.312816179	2.245981828
1xvi	35	1.642809040	2.133114406	2.348454870	2.252469491	2.289609709	2.388670038	2.148886645	2.148202893	2.188799790	2.186968366
1xvi	36	2.292831011	2.453985947	2.424455804	2.422684069	2.433009303	2.445915950	2.449813585	2.343509903	2.209840621	2.144067200
1xvi	37	2.435220460	2.332795628	2.306447457	2.374179844	2.328985146	1.640094657	1.968479883	1.911426898	2.071418575	2.141541619
1xvi	38	2.799167730	2.842809144	2.639487096	2.589013762	2.501373711	1.874360144	2.276575828	2.043266414	2.088552450	2.058772075
1xvi	39	2.017527859	1.407638459	1.425235406	1.525132276	1.628193192	2.051521684	2.257809300	2.030802076	1.854692098	1.805775803
1xvi	40	2.537895499	2.214543083	2.181215548	2.184068800	2.172324242	1.895122153	2.089644614	1.985891814	2.037959519	2.073228005
1xvi	41	2.261838349	2.331563079	2.283528391	2.240140093	2.252718302	2.635396699	2.364760549	2.355967900	2.342892830	2.284846504
1xvi	42	4.759447286	4.634073643	4.494052739	4.535595430	4.524459809	4.349590107	4.746731256	5.199234446	5.348315737	5.631554036
1xvi	43	1.733578502	1.856800718	1.941889941	1.862287361	1.808565619	1.043842777	1.578923660	1.724165696	1.717135656	1.929401315
1xvi	44	1.596467812	2.066995119	2.130223861	2.248066891	2.253651447	2.314408500	2.400840738	2.205435174	2.261173687	2.228280452
1xvi	45	1.190238218	1.387526665	1.673020295	1.699592313	1.685073045	1.376371902	1.390988154	1.235152350	1.201897225	1.214888134
1xvi	46	6.974380784	6.421256209	5.734732634	5.412435164	5.329372940	5.951468915	6.108444264	6.072896988	6.244173782	6.212754856
1xvi	47	4.321946675	4.064368381	4.222541138	4.123624241	4.282068744	4.728761461	4.623141981	4.569539706	4.652043355	4.672568332
1xvi	48	2.558852749	2.232237382	1.912028848	1.947775071	1.983837904	2.300291134	2.253914616	2.028893402	2.062656124	2.137561973
1xvi	49	2.723747251	2.523804642	2.374761620	2.342512909	2.317500440	2.813276056	2.719086441	2.457166106	2.414573411	2.355665283
1xvi	50	2.131667199	2.374041562	2.452594212	2.414053302	2.381349669	2.356221396	2.372385652	2.254660039	2.387246492	2.431898640
