# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2a6q	1	57.474524668	28.861424273	19.006641091	14.209797053	11.361412392	0.404398825	0.908558168	0.353113166	-0.040385785	-0.012591458
2a6q	2	0.355886153	0.530114424	0.454378255	0.288760120	0.155071676	-0.553113748	-0.018106815	0.085059343	-0.103493645	-0.099845621
2a6q	3	0.978836885	-0.169159085	-0.090270079	0.125676929	0.028520397	-0.549958835	0.263263965	-0.350866604	-0.419445155	-0.194476420
2a6q	4	13.983371202	7.052332402	4.260583950	3.004451007	2.348475096	-0.152739826	-0.104205611	-0.162179797	-0.292412191	0.097926411
2a6q	5	10.940470274	5.257860161	3.425496795	2.504251401	1.832939644	0.325419156	0.677766028	0.720595255	0.327020342	0.187970857
2a6q	6	9.876314755	4.657726266	3.348011967	2.501521592	1.919884762	-0.166990356	-0.236983548	-0.208908193	-0.130739444	-0.149755592
2a6q	7	6.379166673	2.896244913	1.941281779	1.732807204	1.599611499	-0.511968930	-0.305910508	-0.270922849	-0.216943430	-0.387176274
2a6q	8	22.571075770	10.722512834	7.244324573	5.409116932	4.099044394	-1.161294317	-0.115021989	-0.390780865	0.278607736	0.168358926
2a6q	9	5.431811520	2.966322730	2.219525618	1.357913926	1.022411153	-0.648807369	-0.233366320	-0.284932938	-0.209501199	-0.315984408
2a6q	10	1.272249188	0.352061470	0.490500029	0.291395739	0.147424626	1.210236725	0.781789114	0.455869006	0.549461606	0.609100267
2a6q	11	9.712833760	4.842008440	2.872437170	2.587312901	1.960747175	0.146814860	-0.513709850	-0.580803417	-0.257954757	-0.195702320
2a6q	12	7.282166117	3.487068398	1.929729450	1.045213961	0.341837341	0.042131455	1.070879275	0.893052631	1.027243527	0.667848722
2a6q	13	5.447520723	2.954764539	1.702952429	1.431627626	1.264382323	0.651882097	0.653969592	0.024658771	0.049535987	-0.062336829
2a6q	14	7.587485864	3.896693784	2.483503598	1.990840206	1.455737634	-0.393743088	-1.196798042	-0.406244443	-0.463640848	-0.178373696
2a6q	15	4.821631061	2.470128813	1.482637186	0.914482738	1.048869203	-1.022400452	-1.173292492	-0.630826741	-0.455320734	-0.552784636
2a6q	16	9.118801173	4.400226407	2.813688787	2.157775054	1.637672992	0.015365853	0.396479956	0.393766945	0.454353998	0.231876350
2a6q	17	8.094171694	4.566371712	2.913477675	1.893714200	1.566712152	-0.682640554	-0.722697202	-0.090967921	0.071280765	-0.235311400
2a6q	18	9.415614573	4.984147824	2.975455151	2.259176726	1.823906709	-0.780715733	-0.194495456	-0.104567818	-0.046109085	-0.025214531
2a6q	19	8.110702563	2.918077102	1.737087021	0.808667982	0.339589622	-0.601180157	0.325620333	-0.016522305	0.274626728	0.127124637
2a6q	20	29.252175453	14.731766025	9.479160371	7.313582167	5.839786762	-0.558177288	0.993934977	0.578254548	0.549963832	0.283860668
2a6q	21	20.881088239	10.959605627	7.476091481	5.468306849	4.674260266	0.050495259	0.136334636	0.022550986	0.099562839	0.162255335
2a6q	22	3.335945992	1.759579212	1.201576068	1.080210180	0.778923203	1.029130511	1.308888469	0.746771638	0.585421018	0.414117480
2a6q	23	1.776951097	0.566190888	0.427771813	0.578304670	0.443110776	-0.820429327	-0.629610687	-0.505427983	-0.650224199	-0.600054191
2a6q	24	13.392191363	6.486290676	4.021820565	3.090694908	2.374110756	-1.279404026	-0.502699410	-0.376919486	0.095673819	0.284699575
2a6q	25	2.014759548	1.192552645	0.571742520	0.199796876	0.151310468	0.327137291	0.736703620	0.838364464	0.701085281	0.695491006
2a6q	26	15.738491259	7.606574419	4.975663507	3.670093057	2.752845897	0.506016957	-0.548767043	-0.557820921	-0.528082046	-0.407592786
2a6q	27	3.637851656	2.177801723	0.980617247	0.625722124	0.423632992	-0.030120090	-0.221013049	-0.011382547	0.459299802	0.298474185
2a6q	28	0.681470880	0.196713569	0.473557765	0.404389004	0.027551409	-1.193169699	-0.596079827	-0.122947119	-0.246103455	-0.045482810
