# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2r5n	1	106.012121571	71.487966554	57.428520098	48.649509532	43.312661303	22.218879068	22.018069409	22.050823844	22.108802365	22.237810799
2r5n	2	39.529062329	32.129518868	27.098398640	25.011306420	23.689688027	17.523867455	17.239657106	17.573031901	17.736949438	17.882158961
2r5n	3	68.879466065	34.611423911	23.146588790	17.362346859	13.963217504	0.338263429	0.444292288	0.470999214	0.470705209	0.422824943
2r5n	4	42.772335761	31.654575266	28.321917098	24.174926195	20.172728148	4.250171181	4.481721361	4.567133030	4.429483040	4.369649124
2r5n	5	101.646973882	69.960225572	59.287782058	54.951554949	53.580897806	10.408877022	10.562922621	10.547584833	10.706863396	10.789788720
2r5n	6	118.357314189	83.857156048	66.400817127	55.219083012	48.507279628	21.840027615	22.180433000	22.080060749	22.125334261	22.184312709
2r5n	7	130.424933107	118.451236228	97.715934758	85.427116237	71.892862595	4.588207800	4.869879276	4.768448744	4.745067476	4.762821198
2r5n	8	86.453527160	75.527153838	72.211965645	70.491390265	69.523179802	1.303071014	1.540212310	1.515732745	1.464956781	1.429751710
2r5n	9	78.630201493	74.022611929	72.597198458	68.013641241	55.369787577	4.780769486	4.855889319	4.788285557	4.844627937	4.772288271
2r5n	10	42.868405249	26.572752056	20.617524939	17.642892896	15.921483759	8.972083725	8.798902849	9.152099884	9.021692318	8.918627128
2r5n	11	21.071290151	14.674738121	12.658761435	11.672442717	11.269622666	8.758361542	9.146256230	9.147003449	8.995950550	8.955917248
2r5n	12	154.110531820	151.669615964	127.954669354	108.530329412	87.822716030	4.832983247	4.834789579	4.865929428	4.862529816	4.874061113
2r5n	13	38.605745695	19.448830607	12.859463204	9.568790823	7.622694193	0.046613411	0.071750929	-0.004476212	0.005704780	-0.044397924
2r5n	14	70.641125308	38.651773874	27.422878022	21.754809873	18.569087459	-0.178817893	-0.229278240	-0.142011821	0.083641971	0.011808363
2r5n	15	60.858912434	54.384474594	52.037213139	44.065725193	36.944922473	8.405670535	8.064321621	8.304374604	8.472444332	8.106992793
2r5n	16	25.538397273	14.678699135	11.074989785	9.394190981	8.266900122	5.254463962	4.415415503	4.403792639	4.326431385	4.292915718
2r5n	17	52.294447335	52.445314743	52.014694505	51.242928791	48.826068770	4.630846005	4.878283710	5.009117477	5.070594864	5.097743784
2r5n	18	62.950083584	59.448209383	54.605767565	50.318808092	48.803958020	26.874788091	26.800089989	26.717413792	26.715806290	26.763143043
2r5n	19	6.891048320	3.462326632	2.365382795	1.816131386	1.458382764	-0.066071666	-0.108404897	-0.039241041	-0.058279033	-0.006603973
2r5n	20	102.171171624	59.069067619	39.389767816	29.486635752	23.612751092	-0.118694703	-0.105279936	0.025950848	-0.018009397	-0.054915901
2r5n	21	46.960116669	42.165341488	39.756521503	38.214167185	37.582244033	22.232338283	22.268536238	22.173846255	22.158893506	22.123404666
2r5n	22	41.480004754	23.851552200	17.535999425	14.800284786	13.008750758	5.612284753	6.004234626	6.073628793	5.897422237	6.031161943
2r5n	23	67.986254917	33.943462117	22.653921276	16.929376219	13.492941208	-0.016839195	0.005488224	0.084077536	0.092700260	0.057621660
2r5n	24	148.271814481	149.405246085	127.748231931	112.223749944	102.987214643	0.985530387	1.158209484	1.102065381	1.177180038	1.273087758
2r5n	25	66.197757882	54.788611260	45.071662383	36.257496019	30.921198213	8.803303029	8.905788450	8.653961366	8.786437600	8.780860503
2r5n	26	26.676966915	22.263222122	17.972825343	15.667925806	14.292557922	9.534774809	9.817485224	9.608236014	9.364402780	9.174724694
2r5n	27	154.951944433	134.424782616	112.951636390	93.938580230	76.041172601	4.703488128	4.859938561	4.858532055	4.879248541	4.900853099
2r5n	28	24.915983416	16.768495947	14.165029660	12.946481903	12.146149789	8.621105194	8.664335267	8.761600698	8.891235650	8.880286121
2r5n	29	46.488453492	30.733988648	25.055195480	22.167835978	20.304799645	13.413082579	13.317193576	13.757553944	13.462156921	13.605702997
2r5n	30	62.024969164	49.612739615	44.287011038	42.739478284	35.130281166	3.966455646	4.182988819	4.134290008	4.084414798	4.053456409
2r5n	31	128.614153404	105.986936372	79.732256987	66.711677770	58.730277874	27.337635726	27.104879754	26.955466226	27.062324853	27.085029111
