# index traj_index pdbid Entangled
1 37 1a69 True
2 10 2wiu True
3 38 1u60 True
4 35 1u60 True
5 30 1u60 True
6 31 1u60 True
7 33 1u60 True
8 48 4dzd True
9 17 3hwo True
10 10 1zyl True
11 11 1zyl True
12 18 1zyl True
13 5 2fym True
14 39 3hwo True
15 35 3hwo True
16 42 1ng9 True
17 49 1ng9 True
18 16 1pmo True
19 15 1pmo True
20 47 2r5n True
21 45 2r5n True
22 41 2r5n True
23 20 1k7j True
24 24 1k7j True
25 46 1u60 True
26 41 1u60 True
27 43 1u60 True
28 6 1pmo True
29 3 1pmo True
30 31 1pmo True
31 35 1dfu True
32 23 1svt True
33 7 1u0b True
34 3 1u0b True
35 9 1u0b True
36 45 1svt True
37 27 1sv6 True
38 27 1w78 True
39 20 1w78 True
40 21 1w78 True
41 31 4im7 True
42 47 1yqq True
43 25 1q5x True
44 7 4im7 True
45 43 1w78 True
46 41 1w78 True
47 48 1w78 True
48 36 4fzw True
49 49 2qcu True
50 44 2qcu True
51 45 2qcu True
52 46 2qcu True
53 41 2qcu True
54 49 1u0b False
55 4 2r5n True
56 41 1ksf True
57 29 2fym True
58 21 2fym True
59 20 2fym True
60 26 2fym True
61 25 1zyl True
62 20 1zyl True
63 35 2pth True
64 30 1k7j True
65 29 1dfu True
66 28 1dfu True
67 41 2fym True
68 49 2fym True
69 23 1fts True
70 28 2qcu False
71 29 2qcu True
72 22 2qcu True
73 23 2qcu True
74 20 2qcu True
75 26 2qcu True
76 24 2qcu True
77 47 1zyl True
78 45 1zyl True
79 18 2hnh True
80 13 2hnh True
81 29 1woc False
82 24 1woc False
83 27 2ptq True
84 21 1ksf True
85 36 1a82 True
86 41 1dfu True
87 40 1dfu True
88 21 1a69 True
89 16 1u60 True
90 17 1u60 True
91 14 1u60 True
92 15 1u60 True
93 13 1u60 True
94 11 1u60 True
95 19 1u60 True
96 50 4dzd True
97 19 1a82 True
98 28 1zyl True
99 34 1k7j True
100 42 3gn5 False
101 35 3pco True
102 33 3pco True
103 24 1l6w True
104 24 3hwo True
105 22 3hwo True
106 36 1dfu True
107 30 1dfu True
108 30 2r5n True
109 9 1t4b True
110 42 2wiu True
111 44 1a6j True
112 50 3hwo True
113 47 3hwo True
114 24 1gt7 True
115 1 4dzd True
116 28 1pmo True
117 50 1u60 True
118 38 1svt True
119 10 1yqq True
120 18 1yqq True
121 4 3hwo True
122 3 3hwo True
123 50 1d2f True
124 34 1w78 True
125 32 1w78 True
126 31 1w78 True
127 25 2r5n True
128 5 1w78 True
129 10 1w78 True
130 16 1w78 True
131 8 4im7 True
132 43 1ger True
133 25 1duv True
134 7 4dzd True
135 8 1dfu True
136 9 1dfu True
137 4 1dfu True
138 5 1dfu True
139 7 1dfu True
140 1 1dfu True
141 9 2qcu True
142 2 2qcu True
143 1 2qcu False
144 7 2qcu False
145 6 2qcu True
146 15 1sv6 False
147 47 2pth True
148 36 1u0b True
149 32 1u0b True
150 11 2r5n True
151 10 2r5n True
152 26 4fzw True
153 22 4fzw True
154 9 3pco True
155 18 2fym True
156 16 2fym True
157 17 2fym True
158 19 2qcu True
159 18 2qcu True
160 38 2fym True
161 40 1t4b True
162 28 2hnh False
163 8 1ng9 False
164 15 1fts True
165 39 2qcu True
166 38 2qcu True
167 36 2qcu True
168 31 2qcu True
169 33 2qcu True
170 32 2qcu True
171 9 1ger True
172 19 1ksf True
173 15 2o1c True
174 37 3gn5 False
175 27 1ng9 True
176 31 1fts True
177 17 1dfu True
178 14 1dfu True
179 19 1dfu True
180 50 1zyl True
181 33 1woc False
182 6 1u60 True
183 29 1u60 True
184 28 1u60 True
185 27 1u60 True
186 23 1u60 True
