# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2wiu	1	97.750109911	63.776298823	52.501763384	48.386160805	47.699826681	29.876466142	29.239503014	29.134735121	29.541250810	29.526613232
2wiu	2	0.579042831	0.286858212	0.113695905	-0.032516666	-0.006752728	-0.060864370	-0.137247013	-0.213210321	-0.148338169	-0.092879088
2wiu	3	24.954734812	13.414129124	8.897095515	6.707577088	5.414918134	0.050816288	0.132247274	0.197372293	0.190861072	0.182490511
2wiu	4	141.483225230	89.713039823	67.537658630	58.393608683	52.813975521	1.461665598	1.606545914	1.535226688	1.482753369	1.519041637
2wiu	5	68.791908330	39.969278161	26.666970790	19.969879763	15.987107957	0.252499009	0.250619263	0.090095252	-0.091736917	-0.143826052
2wiu	6	116.383203976	79.447432598	61.632786832	46.500594135	37.196703983	-0.299306942	0.006095157	-0.072627774	-0.035359880	-0.042948559
2wiu	7	15.435780588	7.761293046	5.337927335	4.001291144	3.250170625	0.336975169	0.353488067	0.323490696	0.221595690	0.192719259
2wiu	8	68.031842160	49.556130700	43.216620018	39.735578471	37.771734014	7.740737388	7.728713048	7.304963608	7.334862642	6.929817981
2wiu	9	98.960459381	58.977932713	39.245674421	29.400171568	23.518755443	0.112245089	-0.053287938	-0.047929211	-0.051023381	-0.028986043
2wiu	10	76.875437296	38.091809751	25.054196172	18.420732626	14.478103447	-0.650748953	-0.808772697	-0.729256094	-0.778251418	-0.885813310
2wiu	11	118.546128957	80.654997821	63.966970009	55.279079344	50.319395025	4.984055128	5.565328078	6.072541922	6.055853845	6.155782890
2wiu	12	66.062153463	51.762235284	46.654098548	44.830307418	44.244650715	-4.150601141	-3.461888733	-4.024952718	-4.654176511	-5.002735341
2wiu	13	0.746025863	0.335109570	0.111574695	0.107919985	0.044936503	0.310796472	0.245927235	0.196876551	0.122503000	0.082822981
2wiu	14	85.693974416	52.595267250	35.227054470	26.402571076	21.147844912	-0.533058175	-0.278455040	-0.173470423	-0.057136526	-0.058866219
2wiu	15	42.373711132	35.999454686	33.847749813	32.568144984	32.334525555	1.390938236	-2.192024047	-3.735169231	-3.603756766	-4.336174227
