# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2yva	1	140.271126072	139.405254198	140.062872546	140.219079598	140.332552826	-0.103199943	-0.327962151	-0.220112295	-0.305814039	-0.251059242
2yva	2	140.898467938	138.582129203	138.404103726	138.772683209	138.161106626	-0.288259000	-0.302107042	-0.343116091	-0.259224423	-0.317353122
2yva	3	43.466353853	34.901755048	27.135748782	20.255275731	16.195387697	-0.244151736	-0.271916002	-0.140196219	-0.212860299	-0.270016735
2yva	4	137.619179384	138.565365374	137.418135323	137.573855753	137.895579522	-0.353999230	-0.334468057	-0.294565926	-0.331199551	-0.310093160
2yva	5	136.940312359	137.766135777	111.294752588	83.434952639	66.832955195	-0.129709819	-0.108241411	-0.092527504	-0.085194662	-0.014743327
2yva	6	137.320898191	137.123777824	137.250063577	137.663325746	137.494018636	-0.651511786	-0.584953089	-0.404026879	-0.298907789	-0.335084242
2yva	7	139.969650442	139.491462332	139.026239419	138.752335269	138.320430888	0.840488791	0.349540255	0.130494547	0.011157060	-0.104262353
2yva	8	136.469616127	137.402153109	137.845201370	137.135125367	136.726442304	-0.344629762	-0.250724773	-0.208440344	-0.190266142	-0.196533031
2yva	9	140.680832715	140.960667110	141.238374848	140.504552055	139.640073704	-0.081441595	-0.114728160	-0.236416154	-0.342435322	-0.345158362
2yva	10	141.936078151	141.818943026	141.781517439	141.704700316	141.345622651	-0.479652457	-0.163882698	-0.270921077	-0.230223018	-0.183797767
2yva	11	137.394302089	138.035826568	138.489738580	137.996046427	138.317202397	0.481828358	0.053110977	-0.019036424	-0.131244620	-0.161331279
2yva	12	139.403211605	139.240327290	139.295184578	139.026999795	139.632743196	-0.879414236	-0.620581175	-0.581081513	-0.496950003	-0.418049976
2yva	13	138.051338243	139.828879588	139.901169929	140.414438388	140.525575366	5.041463819	2.431750370	1.588041050	1.054319882	0.774260360
2yva	14	138.557727892	138.644394796	137.622505393	137.616803918	137.500654551	-0.302796108	-0.124285817	-0.279237992	-0.262994094	-0.283867568
2yva	15	140.084900404	140.301804963	138.916179751	139.282682397	139.456895705	-0.163460930	-0.542085472	-0.382294693	-0.320697012	-0.343291895
2yva	16	139.203978997	137.165780868	137.504896253	138.078926072	137.816898229	-0.260231417	1.784789053	3.265376141	2.382729940	1.814261725
