# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2uyj	1	20.620341673	11.042257491	8.021965032	5.338667119	4.120216741	0.811682356	-0.266405652	0.433377669	0.560050139	0.420222848
2uyj	2	7.536176609	4.260064011	3.142348010	2.472689333	1.982911494	-1.173761260	-0.654667943	-0.203845340	-0.789718928	-1.337620652
2uyj	3	7.805819303	1.829252370	1.949083733	0.856307016	0.297453627	-3.987533147	-0.416740101	0.239284710	0.497671549	0.306394448
2uyj	4	6.952496768	1.355884642	0.324040113	0.290042946	-0.427975339	-1.973886353	-1.703645061	-2.550085036	-1.131301582	-0.680137353
2uyj	5	42.404481736	24.606994460	16.995174697	12.113131660	9.646532314	-0.928083816	0.494062417	0.718098460	0.870690832	1.259172443
2uyj	6	13.485647229	6.475374665	4.172618720	3.271260939	2.764020888	-2.071214250	-0.114536118	0.103478886	0.682695958	0.562521013
2uyj	7	19.818409735	10.859002401	5.805004794	4.446898835	3.928596409	0.817893906	-0.211115252	-0.020390600	-0.083173789	-0.065457258
2uyj	8	34.336180170	17.592579633	12.179670366	9.338874754	7.810211029	0.417475368	-0.421857620	-0.931687730	-0.800228363	-1.044123063
2uyj	9	15.099106852	5.479313598	4.978902943	3.889519968	3.715014076	-0.916493323	5.109261200	3.372876316	2.447382675	1.411083863
2uyj	10	7.313243528	3.589711671	2.261996310	1.634630144	0.229134491	2.372537599	2.332769584	0.843921751	0.492160150	-0.179120566
2uyj	11	8.603531506	5.355955452	2.035926591	1.531887165	0.631078938	0.746618401	1.100096643	-0.652474994	-1.543885683	-2.591102726
2uyj	12	24.244587006	12.717074502	8.030429776	5.836836578	5.092961716	1.976023579	0.005836059	0.642362380	0.179644007	-0.196021670
2uyj	13	61.081625636	29.559873742	19.868231064	14.390824647	11.844636247	1.488447540	0.628781652	0.825248372	0.485932304	0.134138999
2uyj	14	56.778495349	29.358102502	19.901484497	14.930412372	12.055136379	-0.951914917	-0.998943565	-0.311176507	-0.660720255	-0.326850639
2uyj	15	39.552926021	23.449374083	13.944527705	10.639467597	7.454739524	-1.964043652	-2.271863943	-2.542876267	-1.797862694	-1.855058683
2uyj	16	8.465246304	4.474915802	3.504208470	3.222967103	2.012734723	-1.473621977	-0.005816471	-1.126934006	-0.759239408	-0.521783495
2uyj	17	50.555052451	25.532466368	16.403480586	11.657007857	9.712229896	1.139222086	1.424476498	0.617075420	0.223121079	0.413949570
2uyj	18	7.371010889	3.215383513	1.618609206	1.347127853	1.306411458	-0.353881041	-1.276241174	-2.680066089	-1.533895064	-0.639125934
2uyj	19	23.566359941	12.879130652	8.436084625	6.610346369	4.969464814	-0.865990095	-0.382849274	-1.297507703	-0.888119143	-0.950015295
2uyj	20	12.808432491	7.222054459	4.307380691	3.862826293	2.828814871	0.573184922	0.893346506	0.759087295	0.958126997	1.169186576
2uyj	21	38.214165308	17.019215874	11.812373001	8.675058180	6.919758790	-0.044558572	0.338886139	-0.178652001	-0.537480658	-0.520666737
2uyj	22	72.987028280	52.781864975	34.855097657	25.007903857	20.066174757	-0.714168296	0.564007456	1.397677867	1.679693957	1.700630549
2uyj	23	21.208861252	11.672073262	8.598273321	6.876154014	5.181185264	0.133014472	0.487987315	0.853468288	0.616967832	0.576335479
2uyj	24	27.769701854	13.347417590	8.817210363	7.144155012	5.813140361	0.796974727	-1.418430354	-1.579796077	-0.619365257	-0.017997158
2uyj	25	46.006595994	23.453289028	16.043534004	12.096179577	9.606593804	-2.790636712	-2.189610156	-1.074043971	-0.749708851	-1.082051404
2uyj	26	23.930374761	10.789838402	7.305658081	5.939025328	4.766123597	4.234579892	2.724303069	2.222960453	1.635052283	0.961477127
