# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2uyj	1	41.480687722	22.069267708	15.903916317	10.839372068	8.320019462	0.515772840	-0.809679132	1.018643272	0.749892229	0.930362491
2uyj	2	14.286406492	7.579827072	5.397285919	4.455327445	3.726242663	-3.349104795	-2.089606754	-0.522305703	-1.698925992	-2.510526909
2uyj	3	15.496454597	4.264299458	3.743489034	1.933837467	1.090520529	-7.264981549	-0.665775073	0.372789500	0.795799936	0.469174930
2uyj	4	13.917256729	2.915638956	0.949989202	0.650466482	-0.437601409	-3.798747469	-3.564676323	-5.359971860	-2.512824767	-1.685119691
2uyj	5	104.683864092	61.516141226	42.166376102	30.735415045	24.488666224	-2.265790813	1.179540201	1.312009588	1.091308514	1.994722623
2uyj	6	25.266878363	12.421742689	8.108556962	6.377331049	5.344366830	-4.172083526	-0.731471124	0.742597186	1.416184135	0.940957644
2uyj	7	38.030021936	20.234780805	11.201396211	8.637067894	7.693941288	1.227830383	-0.214015190	0.268611837	0.365861935	0.287253946
2uyj	8	65.247584084	33.254798301	22.844285313	17.238129210	14.472429094	1.796061903	-0.218034235	-1.272074186	-0.875898310	-1.541651107
2uyj	9	27.114751177	10.466523064	9.161222738	6.915419251	6.437014551	-1.561516053	8.093042988	5.509812180	3.854836639	2.294568037
2uyj	10	16.677330937	8.491748760	5.385207776	4.324661634	1.524407023	4.741430384	4.232735234	1.742061735	1.243658945	-0.136548339
2uyj	11	16.875965860	9.937337004	4.223390034	3.471689097	1.526755821	1.416571809	2.063156447	-0.603142835	-2.061414118	-3.878700025
2uyj	12	47.831270623	24.225469048	15.334350314	11.150729382	9.368430509	2.584075969	-0.745511180	0.741574594	0.420301328	-0.348225971
2uyj	13	124.318577312	60.704784933	40.867774944	29.967511732	24.509385904	1.665224367	0.600208367	1.136114536	0.576893630	-0.039567386
2uyj	14	121.088716915	62.405761550	42.328931113	31.691463059	25.289129607	-1.721577020	-2.135633867	-1.362377855	-1.777960357	-0.932044276
2uyj	15	71.075317355	41.714869469	25.166392712	18.969860512	13.325740954	-4.324618852	-4.346087803	-4.507062750	-3.134870083	-3.223379542
2uyj	16	15.730827825	7.570184254	5.269476022	4.562692993	2.799326026	-2.540350121	0.146745341	-1.384728249	-0.948295089	-0.851049470
2uyj	17	96.493086149	48.770630382	31.791702687	22.244496640	18.440225997	1.901672754	2.596571070	1.000777439	0.435226589	0.614845768
2uyj	18	14.609079740	6.281739705	3.189982231	2.486778596	2.466407422	-0.986733928	-1.950269590	-4.277351943	-2.146205982	-0.880526255
2uyj	19	45.712414609	24.803404280	15.877505269	12.369930822	9.191714232	-2.035603096	-1.108952344	-2.741105886	-2.343448787	-2.368869108
2uyj	20	24.225536077	13.555813307	8.195919039	7.263502067	5.448676438	-0.017902234	0.842174723	0.851102035	1.643816533	1.777710301
2uyj	21	72.911148803	33.305375255	23.230542401	17.433421695	14.350404533	-0.890217722	0.089757770	-0.347507012	-0.578359186	-0.581508945
2uyj	22	146.510653994	104.283175618	68.717651456	49.281089413	39.454855601	-1.490310348	0.683852929	1.890617248	2.757636784	2.914063299
2uyj	23	44.057775789	23.316716456	16.416983881	13.120389214	9.666472928	0.317602369	1.254654452	1.737085020	0.981423077	0.734116618
2uyj	24	51.662457950	25.060843323	16.406319302	13.455564771	11.089309886	0.526106317	-2.588872994	-3.025792693	-1.371511128	-0.055256888
