# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ag9	1	273.148145789	255.755311069	170.336826206	127.573075984	102.176682518	-0.198080506	0.433923310	0.307487612	0.511391254	0.408398509
1ag9	2	886.060554604	512.649587031	341.792070369	256.395599128	205.036770737	-0.517786006	-0.457989729	-0.266865446	-0.280241461	-0.634388991
1ag9	3	1050.196964126	1039.176889669	857.846558091	643.200348223	515.079099107	-0.759192119	-0.428794550	-0.346197712	0.171138292	0.327355131
1ag9	4	430.587041772	297.080174829	198.293119056	148.712199265	118.581913270	0.309837492	-0.801663214	-0.430122105	-0.502940031	-0.262119441
1ag9	5	247.745779724	123.690028555	82.265524244	62.460870503	49.820812574	-0.867509954	0.472665355	0.628824782	-0.198784951	0.260840961
1ag9	6	1029.245818948	1020.268373852	1011.842182037	1012.226168752	1009.869281771	1.117773180	1.125475997	0.907191716	0.233116756	0.312784737
1ag9	7	1025.144479934	1030.241467291	1035.344154954	897.571752217	717.837974846	1.065756904	0.866414848	0.831641997	0.336091675	0.375367096
1ag9	8	1040.784039137	876.589114732	613.846865067	460.364580354	368.351778884	0.766693404	-0.764573962	-0.927877512	-0.816273806	-0.458323625
1ag9	9	354.202317525	293.761394306	219.703205331	164.816204651	131.778063738	-0.820263113	-1.301436656	-1.491383479	-1.201540866	-0.935379961
1ag9	10	757.660665906	410.253948628	273.616860462	205.237789303	164.565910515	-0.476305534	-0.200859620	-0.480201920	-0.419160512	-0.274667886
1ag9	11	420.692357230	289.018936401	191.859957212	143.690023184	115.024506414	-2.800658164	-2.704962123	-2.186111649	-1.736309400	-1.495599766
1ag9	12	1050.663320304	1036.722500745	937.363875605	801.818594942	642.795100325	0.635900356	0.598066600	0.626579938	0.636863284	0.150321941
1ag9	13	1034.740074326	1021.477980323	1007.752850249	1012.391054270	874.537293072	0.859639545	0.180014958	0.696292791	0.648173180	0.555565098
1ag9	14	231.593474521	115.481532543	76.525013301	57.956324336	46.227870902	0.463226911	-0.099488336	0.394885536	0.247103772	0.297959506
1ag9	15	560.933973473	280.286270722	187.003029147	140.408333365	112.216235385	0.266917550	0.433908580	0.304539855	0.149650255	0.271378249
1ag9	16	1018.017764147	1029.523911731	1023.227828015	1014.675196355	1020.927060545	-0.002921496	0.403616221	0.047537067	0.191021959	0.016989612
1ag9	17	1029.630476422	697.348983711	464.740453060	348.719057861	278.936030827	0.902907093	1.025976018	0.476650311	0.764672085	1.085386408
1ag9	18	1002.230637803	835.964113735	894.747519906	930.602838483	953.185872077	-0.939015050	-0.341888347	-0.547339942	-0.548637407	-0.226960732
1ag9	19	1023.779964156	1030.905860487	1030.044785562	1029.152881547	1027.385668244	-1.294531978	-1.493671746	-0.554649049	-0.677281688	-0.866047244
1ag9	20	171.699103878	86.222877997	57.742687595	43.139597354	34.710521446	1.347226397	0.270420214	-0.085561057	-0.145965060	0.377300294
1ag9	21	1024.619962716	901.254634934	652.098827731	489.419758486	391.805596312	0.028451025	0.819506739	1.050920502	1.000304922	0.839913777
1ag9	22	1040.152674614	1032.004618817	1007.238615654	988.200152426	957.731823189	-1.746509960	0.142437721	0.271747471	0.030120135	0.127771769
1ag9	23	802.766197951	903.741160856	925.186917103	932.958647522	946.947609887	-0.726076714	-0.209469707	-0.790578584	-0.847629823	-0.808373861
1ag9	24	993.559348684	966.936304916	987.616409989	995.420175838	861.342091775	1.428995695	0.286339255	0.012773010	-0.033667111	-0.270896035
1ag9	25	1038.492493273	1037.576347914	1024.727976527	1022.891007449	1019.742092969	-0.707682984	-1.257633059	-0.506571039	-0.408087900	-0.222657351
1ag9	26	1028.476471210	772.054141397	610.672776788	457.850460760	366.080065628	1.005023416	1.517974204	0.764416484	0.519887447	0.810996009
1ag9	27	1029.572453661	1002.683977216	1009.055507922	1001.155836048	997.418276791	1.693143483	-0.567913979	0.251005767	0.363725623	0.454851940
1ag9	28	1049.430980875	1040.418286381	1032.649802566	1034.945489530	1032.281484882	-1.735108144	-1.365240851	-0.480034196	-0.622993125	-0.273831508
1ag9	29	554.870635555	462.729156656	342.531648057	256.523124163	205.233602524	2.422668809	2.336297843	1.490376823	1.302886773	0.986618061
1ag9	30	993.806428686	747.897916102	571.939629859	428.967884029	343.230014329	-0.382276780	-0.354090373	-0.475381588	0.050767478	0.165248967
1ag9	31	945.486893203	951.353826331	958.758032468	966.256587193	841.904204993	0.373417426	-0.032019017	-0.066620679	-0.265214126	-0.264844765
1ag9	32	1022.508314074	1027.337856466	1024.992896741	1025.296707938	1024.509365706	0.267389553	0.481248597	0.536763398	0.265130473	-0.137451758
1ag9	33	396.549279790	297.262741030	198.823108775	148.952043016	119.078878312	0.649207322	0.011426612	-0.494559078	-0.554711585	-0.774680817
