# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ake	1	4.481241164	2.251295206	1.678780544	1.352632510	0.767811949	0.456549824	0.060800411	0.000628830	0.259122083	0.210797385
1ake	2	23.367010214	11.479664990	7.744839363	5.711990530	4.629683391	0.706451363	0.033883296	-0.124615647	-0.194867368	-0.225740783
1ake	3	20.439923872	15.374304279	13.145326274	12.382891679	11.755338857	-0.324714195	-0.328469141	-0.361664226	-0.259992381	-0.284861713
1ake	4	6.085751883	2.496170038	2.008989640	1.554754203	1.361559193	0.414166164	0.256228097	0.257135384	0.038234688	-0.158393555
1ake	5	13.650741666	6.892563228	4.341748288	3.296234410	2.743440218	-0.394697414	-0.333576531	0.082518185	0.083709262	0.073078908
1ake	6	6.769477960	3.781717494	2.633750852	1.923695451	1.858481258	-0.672156080	-0.567470207	0.092120766	0.156636364	0.187233040
1ake	7	0.707274229	0.119061127	0.063482885	0.345916562	0.082016801	0.484670550	0.950525290	0.428721863	0.577200008	0.354387115
1ake	8	8.428534988	3.826848689	2.543240282	2.233507040	1.730654864	-0.286322652	-0.303192574	-0.143906650	0.141121099	0.625434833
1ake	9	0.777693743	0.097558170	0.084256801	0.151776254	0.247356910	-0.485649940	-0.218065230	0.006254260	-0.276668485	-0.042026001
1ake	10	31.402069746	15.497797450	10.620221605	8.156139798	6.789557375	-1.030538901	-0.775431047	-0.436162173	-0.029672147	0.814355167
1ake	11	1.449368265	0.615599775	0.262686698	0.080975312	0.435684466	0.997105352	0.507674481	0.475508048	0.593743873	0.378148572
1ake	12	14.984010978	7.449808001	5.022989891	3.427132594	2.858108560	1.150225549	0.433679421	0.022021660	-0.127132756	-0.239527450
1ake	13	3.784438631	2.372857041	1.328530876	1.317089765	1.076822556	-0.417000628	0.318284982	0.172894974	0.399102464	0.543976625
1ake	14	11.051405442	5.825135434	3.852022837	2.729692563	2.167235796	0.971118900	0.531854051	0.923264130	0.988409858	0.760688345
1ake	15	1.587833032	0.299714717	0.629483831	0.337770676	0.501332562	0.095672525	-0.189851244	-0.373174972	-0.192539344	0.101783058
1ake	16	30.578759096	15.325275709	10.223355617	7.392684596	5.708130262	-1.359591857	-0.480669873	-0.185584660	0.195975506	0.165821628
1ake	17	6.857579364	3.539268230	1.984981136	1.064240900	0.890263093	-0.686878266	-0.509025187	-0.252870844	0.057467619	-0.152515401
1ake	18	13.964767204	7.152564566	4.772840892	3.222413827	2.531053968	0.171169922	0.176830693	0.009350021	0.150054888	0.265162733
1ake	19	3.010711208	1.145838545	0.866199762	0.283692764	0.457042379	-0.411762523	-0.432556188	-0.332639993	-0.215497762	0.070836152
1ake	20	5.511567139	3.759233872	2.544769951	2.270738385	2.038936219	0.792687528	0.578302201	0.608018416	0.403135313	0.274622658
1ake	21	14.062515286	6.612760284	4.286986616	3.112409618	2.339621904	0.203657542	0.442122677	0.184520009	-0.007992266	-0.254171725
1ake	22	6.801065311	2.731218326	1.507294215	1.519733903	1.336047456	1.775575923	1.125537658	0.537764373	0.195082633	0.120095287
1ake	23	1.372001088	0.730761724	0.415483193	0.434195822	0.421259831	1.120015259	0.321860367	0.673268719	0.773080374	0.790277237
1ake	24	3.258098349	0.850333046	0.541432279	0.089764018	-0.133788805	-0.042742196	-0.221692753	0.196306999	0.095554575	0.162844289
1ake	25	6.654745674	3.887896013	2.674294875	2.114589559	1.365770571	0.444852415	-0.866486730	-0.730341200	-0.299068293	-0.443107702
1ake	26	7.455923563	3.420851798	2.377853045	1.687304939	1.308274067	1.122757318	0.832595025	0.364440996	0.602807971	0.420232726
1ake	27	1.844967732	0.319506734	0.167785726	0.381037013	0.300244682	-0.686906733	-0.367110054	-0.314863461	-0.143547100	-0.297715201
1ake	28	3.128441398	1.998010467	1.166025412	1.355378376	0.760230382	-0.423114379	-0.858790936	-0.579296272	-0.589678348	-0.429633500
1ake	29	3.748690257	2.266865810	1.592504636	1.048494423	0.782542326	-0.014162500	0.584652437	0.250852514	0.210785248	0.076341230
1ake	30	8.116278395	4.011411725	2.729058820	2.241023427	1.985879449	-1.298930344	-1.273154904	-0.128378949	-0.230328987	-0.267660745
1ake	31	6.852115758	2.921082510	1.629282166	1.627752022	1.163735524	0.356719859	0.774536541	0.201287865	0.199049662	0.113856310
1ake	32	12.651351251	6.012444644	4.337340329	3.332273227	2.399628977	-0.171860581	0.740691686	0.918749091	0.437562207	0.090756641
1ake	33	14.385526776	6.389128013	4.308643552	2.844356241	2.493035695	0.555684243	0.164925374	0.051487689	-0.118411509	0.011837314
1ake	34	15.781785842	8.967346376	5.809925024	4.183603818	3.458653186	-1.641458706	-0.485351523	-0.503223971	0.095539767	0.053957496
1ake	35	12.677827348	6.652419955	4.584635876	3.366378881	2.840549297	0.434753689	-0.165175589	-0.256820053	-0.134035881	-0.196732378
1ake	36	14.464871940	6.476771590	4.390321326	3.482056135	2.881660805	0.863238224	0.064497642	0.006401110	-0.090503266	-0.100528432
1ake	37	4.155340044	1.872500602	0.880744569	0.850740521	0.766055065	0.396676315	0.124159530	-0.326252115	-0.417555633	-0.628451364
1ake	38	2.128425405	1.257279495	0.765786066	0.574664562	0.381792566	-0.117864038	-0.568662886	-0.219072438	-0.322077092	-0.296450015
1ake	39	12.064549659	10.300313668	10.428227202	10.215240609	10.201134821	-0.472830769	-0.511197134	0.079640174	0.002479259	0.169731635
1ake	40	8.378336397	4.371408073	2.740178478	1.928629941	1.777628836	1.732937705	0.481763767	0.338680028	0.376931463	0.260712885
1ake	41	6.461326546	2.738521463	2.069805935	1.980290962	1.490965540	0.867167890	-0.110566002	0.292355911	0.469808937	0.153052890
1ake	42	4.735227613	1.963201328	1.294050893	0.990406331	0.670805672	-0.138840527	0.530013968	0.223622123	-0.208593188	-0.284413391
1ake	43	4.338125610	1.288985858	1.344202242	1.397557945	1.166832244	0.778636597	0.621695365	-0.122667203	-0.286179258	-0.216570986
1ake	44	7.961186553	3.879629608	2.800545972	2.167360242	1.770772695	-0.427596488	-0.257924606	-0.128064843	-0.139568283	-0.382256839
1ake	45	2.270709926	0.683318919	0.207292356	-0.044174578	-0.356007587	-0.420647714	-0.426246071	-0.068884196	-0.262070589	-0.072955801
1ake	46	5.888438421	3.008769208	1.737347939	1.128419911	0.887446668	0.331534919	0.823943978	0.615436815	0.305286936	0.035885098
1ake	47	7.755978304	4.064034557	2.425662881	1.845762495	1.561177164	-0.559691945	-0.618480212	-0.511607734	-0.345494470	0.007847502
1ake	48	13.212206014	6.552373226	4.471042693	3.605648587	3.149767750	-1.353990568	-0.786033145	-0.345267837	-0.241526399	-0.099079425
1ake	49	3.724906282	1.724411401	0.761093284	0.714766599	0.532206522	-0.221960166	-0.134185158	-0.316201173	0.046836490	0.033866013
1ake	50	9.699904599	4.403525383	2.769725024	2.155417426	1.861149679	0.855890467	0.236282568	0.342287603	0.294220535	0.171779600
