# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1qf6	1	24.512790123	12.237961426	8.213046172	6.032227209	4.834349698	-0.583418983	-0.554462855	-0.330405838	-0.405818835	-0.427463661
1qf6	2	30.906431013	17.214380909	13.087498368	10.864205559	9.639399970	3.623831659	4.287255489	4.378820178	4.100975215	4.091000196
1qf6	3	15.671593446	7.806645813	5.111876041	4.064555002	3.048969920	-0.827793755	-0.783204420	-0.644756713	-0.689917245	-0.085095103
1qf6	4	43.098150808	26.330937660	20.200895474	17.044123015	15.067156684	7.059489733	7.307529983	7.509534240	7.525328252	7.264531227
1qf6	5	41.814805190	30.047686703	26.812822670	24.588178999	23.230779201	7.635796729	7.888652549	8.346888903	8.281291749	8.275492945
1qf6	6	6.340171678	2.964461399	1.988261997	1.658195096	1.271437327	0.180682412	0.383804750	0.229464822	0.070514071	0.001062232
1qf6	7	8.124898575	4.132563754	2.816842887	2.044179071	1.846203457	1.482104327	1.468863526	1.319506017	0.845010302	0.551158857
1qf6	8	73.101374982	57.027321474	50.735297317	47.689668574	43.491178542	8.408391849	8.613079803	8.560234131	8.545908409	8.075179296
1qf6	9	15.336089465	7.697359317	5.060046578	3.703232749	2.918814990	-0.453954286	0.249395313	0.842460569	1.380900846	1.173829237
1qf6	10	24.355744115	12.123553579	8.528137378	6.520957178	5.154759370	-0.809247948	-0.544721124	-0.382426575	-0.366473860	-0.415901981
1qf6	11	13.666086236	6.815640365	4.271675276	3.310267717	2.665694986	-0.133966597	-0.332815750	-0.341693351	-0.253727925	-0.280170962
1qf6	12	22.875478528	11.752443008	7.692549627	5.525472763	4.305321142	1.165666760	0.818913817	0.695256588	0.457081654	0.331395438
1qf6	13	12.208501056	6.074859755	3.871853138	3.481282304	2.702999816	0.143122860	0.078640059	-0.192716944	-0.305139546	-0.397352828
1qf6	14	11.924622387	6.827709986	4.796061848	3.541588052	2.815372243	1.049571951	0.575535814	0.412459998	0.428924596	0.211614467
1qf6	15	24.363013091	12.712865286	8.620221613	6.579868066	5.414418315	0.293434813	0.834470060	0.617879622	0.499035669	0.491279341
