# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1t4b	1	114.451176942	110.941335753	109.996524132	109.826583614	107.939935050	28.873503132	28.902541416	28.844130018	28.839434227	28.713202058
1t4b	2	79.266425367	54.128845426	45.552613815	41.428121023	38.735364791	28.114334374	27.732203259	28.188679057	28.323040628	28.588759279
1t4b	3	94.283797055	61.374109716	50.265581939	44.810677852	41.484497607	28.678701952	28.987611563	28.680728895	28.648907644	28.641828904
1t4b	4	71.287033646	49.420583516	42.073512345	38.144124912	36.233041404	28.669021293	28.299671267	28.454108122	28.309507638	28.380483439
1t4b	5	106.870683972	105.227633848	106.163318307	89.129404364	76.933260427	28.501139873	27.679133121	27.577179119	27.281883472	27.219134738
1t4b	6	102.486994147	102.217387510	87.840685441	73.037743855	64.192924684	27.869778889	28.525056347	28.342580725	28.290466937	28.265062721
1t4b	7	105.286769097	67.155835758	53.605748287	47.353134106	43.637543292	28.167731361	28.234893192	28.574569384	28.717981050	28.632507847
1t4b	8	61.714901096	31.155439556	20.898713897	15.381780902	12.329969406	0.474940207	0.681985329	0.483191330	-0.015862493	-0.409199381
1t4b	9	78.056079587	52.136986546	43.585617355	39.057285288	36.257730683	6.090879459	5.771312457	5.836980420	5.701309203	5.561946763
1t4b	10	108.827979554	104.637881969	96.090466773	88.317329659	79.365159885	28.171472744	29.070486563	28.992288939	28.748315526	28.622228841
1t4b	11	108.510366278	105.477600838	104.898980422	104.476628842	90.689333785	27.811638296	28.489137357	28.426497865	28.315332982	28.577927506
1t4b	12	113.100591805	93.566155226	71.748012982	60.973299572	54.591110070	28.461290817	28.492405909	28.452565671	28.426988108	28.551151720
1t4b	13	111.983476264	73.545166233	58.617967248	51.107830018	46.716308096	29.092494919	29.206800568	28.775934443	28.795448568	28.839107552
1t4b	14	115.498524806	98.311636321	87.119966986	78.414707042	68.076069774	29.132345449	28.980454533	29.046107512	28.996694724	29.037768868
1t4b	15	92.352584106	81.504333176	64.660702777	55.657897828	50.427050076	28.598382799	28.440316510	28.618275143	28.552061843	28.610103668
1t4b	16	84.003394777	74.561001789	61.752568545	53.307076685	48.530585573	28.522562001	28.588622935	29.027438328	28.949192536	28.701160236
1t4b	17	77.294886991	52.887403740	44.566847138	40.537817017	38.021590891	28.554098804	28.761206956	28.906511339	28.725240071	28.758989716
1t4b	18	68.766535439	66.843698839	54.012580056	47.141557700	43.308776873	28.529911506	28.776791396	28.885799755	28.873166942	28.804520201
1t4b	19	99.234828915	74.616473866	59.202240889	51.515939087	46.943042171	28.006821426	28.179117949	28.299305248	28.357705849	28.296006274
1t4b	20	112.555206942	108.613709635	81.932523009	68.625002213	60.590073082	28.837978927	28.739492147	29.081524911	29.034460883	28.897682942
1t4b	21	102.989802005	66.727248584	53.907994359	47.554209402	43.750504226	28.224760041	28.287057642	28.386538102	28.472369503	28.544347126
1t4b	22	88.315010246	75.643177111	59.285900144	51.639135724	47.069200657	29.219643046	29.364630697	28.776887047	28.900875767	28.704366945
1t4b	23	103.602418249	84.168999875	65.670271706	56.465677461	50.925993984	29.146543042	28.621124251	28.847423174	28.731568589	28.637882589
1t4b	24	91.046930154	59.322624796	48.934686332	44.005317788	40.822837957	29.488069999	28.814897750	28.541974663	28.539580750	28.689997374
1t4b	25	84.408416107	73.790845748	59.511763741	51.713031431	47.123669083	28.424042573	28.339244085	28.346738620	28.193201575	28.121855252
1t4b	26	45.027278155	36.088939030	33.150557889	31.412846614	30.481027587	28.015204205	27.784655869	27.937496532	28.183926635	28.340648042
1t4b	27	110.741113215	78.672392565	62.038808779	53.577946288	48.587061942	28.970467935	28.568252122	28.505429696	28.599254567	28.507138451
1t4b	28	109.822311708	89.922409233	69.309490165	59.087615115	52.940360195	29.225239865	28.791621286	28.543190091	28.616288829	28.473708289
1t4b	29	76.972302979	52.695958984	44.554644108	40.681937630	38.254185694	28.674335552	28.367505784	28.713514451	28.459545118	28.371501296
1t4b	30	108.068637031	104.515088590	92.392982885	78.442170969	68.491821592	29.233497984	28.809358312	28.889087584	29.060731355	29.053837787
1t4b	31	108.223087569	93.389962505	75.329056159	63.732269902	56.969770018	28.637469191	28.974750005	29.078555700	28.957040263	28.867710065
1t4b	32	109.231787381	102.192047960	80.657177449	67.453394010	59.490687852	28.686344047	28.690164833	28.854331712	28.832307454	28.749424762
