# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4hr7	1	13.182030355	10.530587318	9.845797934	9.506822928	9.360369251	8.683596208	8.435586211	8.586608764	8.665957670	8.742810580
4hr7	2	8.417205692	8.573969869	8.892384527	8.979461384	8.724269137	8.842969583	8.953832460	9.013888457	8.914982655	8.801424678
4hr7	3	-2.277177572	-2.390112245	-2.520582976	-2.494385926	-2.499592258	-2.152610074	-2.143936450	-2.158260164	-2.258197971	-2.281122016
4hr7	4	14.616829719	11.129837394	10.247657007	9.847900581	9.368987932	8.866682662	8.443489541	8.576147200	8.394545930	8.253062926
4hr7	5	0.093426308	-1.227270111	-1.721451456	-1.900438853	-1.982636418	-1.728804405	-1.331379620	-1.422839212	-1.661072316	-1.759157460
4hr7	6	63.773298047	39.395712154	28.916633785	23.608326987	20.346676356	8.469157747	8.161141413	7.858590178	7.891345687	8.014929988
4hr7	7	32.363109111	20.472723169	16.472984910	14.367904357	13.200634261	8.798051095	8.331974731	8.149431217	7.897792921	7.869172819
4hr7	8	79.361017476	41.013048234	26.453755670	19.207339938	14.863668620	-2.363859433	-2.424906884	-2.379645717	-2.386618460	-2.388443905
4hr7	9	-1.358647010	-1.830288511	-2.112356555	-2.160719375	-2.196727836	-2.330580898	-2.040241538	-2.145489012	-2.180180605	-2.219426065
4hr7	10	41.837528917	25.458591096	19.923841263	16.910732339	15.115180107	-2.154294318	-2.164327532	-2.283981729	-2.335807132	-2.392945516
4hr7	11	9.703489377	9.281154348	9.183113513	8.968975815	8.614575264	7.808779408	7.990626956	8.169106277	8.222543800	8.333605345
4hr7	12	9.853411700	3.786637826	1.749627138	0.783397556	0.138077620	-2.372619846	-2.419353764	-2.362247106	-2.372887720	-2.362092290
4hr7	13	-0.985265764	-1.668108097	-2.047727745	-2.165999746	-2.263649957	-1.978748988	-2.161011985	-2.220027230	-2.192568349	-2.247208602
4hr7	14	4.708987251	1.166645899	-0.010191049	-0.518446644	-0.899421836	-2.415422579	-2.191262694	-2.184198771	-2.166111845	-2.260910202
4hr7	15	3.433456930	0.463814294	-0.480382615	-1.035885672	-1.199324060	-2.429176522	-2.307274582	-2.330057501	-2.324744273	-2.316012272
4hr7	16	135.818709450	113.162615502	78.908292080	61.040549980	50.571640209	8.637276189	7.999787614	7.787201210	8.110324266	8.044814741
4hr7	17	14.034335491	5.788865559	3.098385089	1.695048387	0.843869884	-2.488072084	-2.552427102	-2.535271781	-2.436876644	-2.418709265
4hr7	18	9.327776330	9.154569022	8.738416631	8.711029727	8.607402789	-2.666931013	-2.533893699	-2.466532079	-2.479163956	-2.467010201
4hr7	19	-0.589984739	-1.549378659	-1.812575351	-1.902595657	-1.990167929	-2.493653764	-2.472706763	-2.405014390	-2.305161959	-2.352222028
4hr7	20	9.111754414	8.845529303	8.527390387	8.530425925	8.649185727	8.311709886	8.558141358	8.431150121	8.599033729	8.553523487
4hr7	21	4.607742816	1.006457683	-0.087116295	-0.708480742	-1.102994977	-2.580920365	-2.523919632	-2.436388764	-2.479268774	-2.416931086
4hr7	22	-1.936457536	-2.183288694	-2.309983956	-2.197585331	-2.268515078	-2.110085983	-2.438664988	-2.506538720	-2.509322847	-2.511824971
4hr7	23	-1.095499376	-1.803619346	-2.047012146	-2.131664144	-2.169359220	-2.661547385	-2.587910357	-2.483689436	-2.460780212	-2.424853657
4hr7	24	-1.783824472	-2.251741508	-2.338693420	-2.267621416	-2.274359300	-2.114673149	-2.386251217	-2.215316327	-2.193012872	-2.288931912
4hr7	25	3.346945881	0.378848510	-0.610136572	-1.010292892	-1.352602017	-2.474599485	-2.482242936	-2.434916076	-2.535997979	-2.581161478
