# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1gz0	1	30.473058165	14.383304325	9.165973906	6.441204671	4.809562654	-1.585042988	-1.474294322	-1.579916357	-1.597186668	-1.598818819
1gz0	2	21.252733332	9.662343979	5.860857188	3.993268730	2.859884535	-1.857391471	-1.776128171	-1.983604151	-1.813521263	-1.754754003
1gz0	3	39.320129602	18.795970693	11.849937462	8.423372304	6.299254062	-1.576056738	-1.797224264	-1.597098196	-1.701031364	-1.761290971
1gz0	4	26.980326120	12.653180370	7.978774552	5.599104893	4.163600221	-1.956691206	-1.808779795	-1.791235419	-1.959690863	-1.919796159
1gz0	5	10.605487673	4.385615727	2.363941172	1.276788519	0.712541786	-1.789971221	-1.493600785	-1.747447580	-1.727726433	-1.751457041
1gz0	6	56.988428159	34.656000953	22.510937058	16.557647699	12.828775443	-1.747812144	-1.775349584	-1.721312174	-1.621940604	-1.700753918
1gz0	7	4.557965103	1.379253737	0.263401305	-0.109717577	-0.335205396	-1.904067542	-1.840142076	-1.753600109	-1.619905676	-1.567428656
1gz0	8	56.881898894	57.510116307	55.740707351	41.403622885	32.786586434	-1.522458940	-1.812467878	-1.776152486	-1.693112929	-1.674727380
1gz0	9	48.893560579	23.689928706	15.232890986	10.928295058	8.369225700	-1.643379361	-1.690307595	-1.744721152	-1.727955553	-1.724249040
1gz0	10	30.039969251	14.222451463	8.860105127	6.187035264	4.552056563	-1.551855391	-1.603138679	-1.540735747	-1.489647848	-1.536410202
1gz0	11	86.984676928	66.689220062	43.913099561	32.567441510	25.832139946	-1.354769733	-1.568179618	-1.675600594	-1.682380489	-1.800183901
1gz0	12	1.768303330	0.131966070	-0.204912869	-0.701310421	-0.930811220	-1.521353237	-1.616116325	-1.653305671	-1.663128690	-1.757849089
1gz0	13	56.373531578	56.691332201	48.722526922	36.207815532	28.703143870	-1.199982506	-1.462172233	-1.531281590	-1.644624705	-1.591297462
1gz0	14	90.661680596	75.951070972	69.944935454	67.430059482	66.161904174	-1.930694968	-1.902764546	-1.691866271	-1.631846938	-1.653719911
1gz0	15	9.863302281	3.975918356	2.073032095	1.055650244	0.481212764	-1.612471226	-1.663484572	-1.709275065	-1.676230318	-1.657125917
1gz0	16	56.749869578	48.714651404	32.041010482	23.566604757	18.606793257	-1.494586197	-1.488536724	-1.550685357	-1.685405771	-1.687046350
1gz0	17	18.687774352	8.482501039	5.203121848	3.435703463	2.569186239	-1.745643909	-1.894659671	-1.818010398	-1.770654832	-1.727945864
1gz0	18	39.378412067	18.940899920	12.077864853	8.701969120	6.623273830	-1.362074952	-1.648076090	-1.545099390	-1.499194976	-1.461113846
1gz0	19	56.314113735	56.930270651	39.513364792	29.188062289	23.121751844	-1.611802835	-1.630796385	-1.569893219	-1.581692090	-1.512924291
1gz0	20	45.985765164	52.769551881	55.871286921	57.611212749	58.076150116	-2.171802199	-1.864604514	-1.768294735	-1.703362470	-1.690909612
1gz0	21	77.553344531	68.112325373	66.460457764	64.809170056	56.268636110	-1.501189677	-1.537731251	-1.626467511	-1.547461395	-1.623887538
1gz0	22	34.993637957	16.505300666	10.378436465	7.420616471	5.652953280	-1.499806477	-1.695752238	-1.833653119	2.101569922	13.858126134
1gz0	23	119.669714008	120.365287077	110.519497437	93.941233694	75.131520261	-1.464542855	-1.647821404	-1.646683708	-1.616890146	-1.747258290
1gz0	24	56.599736829	29.787066398	19.345450114	14.203218191	10.977904287	59.579294770	60.152343797	51.702099768	38.410780281	30.416966662
1gz0	25	14.883092839	6.602659298	3.724808298	2.368763464	1.530265845	-1.391377803	-1.521305534	-1.568578098	-1.579288872	-1.657542858
1gz0	26	31.658421298	15.041272262	9.457662596	6.606944477	4.929794063	-2.295456758	-1.999885202	-2.026750066	-1.957255381	-1.911091221
1gz0	27	57.644932210	39.027977259	25.851463426	19.032008632	14.897218851	-1.802543920	-1.788355113	-1.862458946	-1.675943868	-1.609977219
1gz0	28	5.337841167	1.763474378	0.605213899	-0.044659751	-0.304384857	-2.254146319	-2.111907822	-2.064436946	-1.961430006	-1.957215311
1gz0	29	57.807093534	50.864161422	33.346819546	24.637996701	19.356107028	-1.635292437	-1.804101342	-1.852500118	-1.852336137	-1.914557711
1gz0	30	40.666766641	20.043389990	12.706155623	9.096475051	6.932602986	-1.317015024	-1.562412371	-1.514367826	-1.562380584	-1.595208543
1gz0	31	56.933910003	37.700684525	24.641548094	18.014872634	13.987986077	-1.380679096	-1.428326991	-1.485979435	-1.471368645	-1.561689156
1gz0	32	67.675959927	64.629710293	63.153967332	62.503629642	61.782007565	-1.453911811	-1.719983268	-1.728442277	-1.748334182	-1.754205621
1gz0	33	57.002756214	48.802409768	31.895146436	23.497374704	18.499309121	61.407115822	43.240044921	28.302568675	20.681556578	16.147649612
1gz0	34	84.111025410	72.414808907	68.325259216	66.548445635	64.203883712	-1.759262184	-1.788928873	-1.695469166	-1.835253572	-1.786433563
1gz0	35	56.411379299	56.856337655	56.824737863	56.420984114	44.906334001	-1.327534167	-1.609496776	-1.785472809	-1.781883939	-1.760627848
1gz0	36	19.921577141	8.931872395	5.401910509	3.541809980	2.521616322	-2.059394360	-1.763794936	-1.785603315	-1.733533172	-1.688823898
1gz0	37	2.649526782	0.566677835	-0.194961524	-0.540104501	-0.678034364	-1.487282223	-1.585383046	-1.661982258	-1.751669791	-1.716698247
1gz0	38	56.094851142	56.821502076	40.679714720	30.140047771	23.771624091	-1.592815978	-1.607270388	-1.709393457	-1.750305866	-1.755249902
1gz0	39	5.024526594	1.433241658	0.075802761	-0.601945877	-0.826617162	-1.750588986	-1.642937141	-1.600461216	-1.692526786	-1.762651873
1gz0	40	57.098537511	56.944031826	56.731666880	56.744677369	52.357609537	-1.545797262	-1.703241397	-1.758022901	-1.794060241	-1.800334187
1gz0	41	56.231738286	46.228584353	30.350760810	22.384496065	17.553632956	-1.569488958	-1.508246913	-1.650864871	-1.571331383	-1.560359690
1gz0	42	77.548098703	68.978450878	65.990375352	51.758575158	41.033287586	-1.808559433	-1.613358128	-1.663979148	-1.736348302	-1.848762835
1gz0	43	56.914703322	32.742380415	21.164685413	15.506989661	11.993120387	-1.195145767	-1.458376610	-1.384864931	-1.542632840	-1.611077339
1gz0	44	121.585995714	104.150666576	89.796689990	82.356159929	78.182504465	-1.864732811	-1.774465456	-2.011172389	-1.989504699	-1.928935736
1gz0	45	56.069862584	56.832264009	56.951516472	57.011161518	53.795663979	-1.781707382	-2.006412039	-2.194844834	-2.028137286	-1.931385963
1gz0	46	55.170600939	29.305009337	18.920323027	13.644716602	10.623858864	-1.860735255	-2.078118670	-1.981308669	-1.947989010	-1.826844182
1gz0	47	63.729775294	61.997095389	60.031340192	60.268321798	60.102317812	-1.825017130	-1.679065974	-1.604871506	-1.527169616	-1.516560312
1gz0	48	26.269456181	12.535726395	7.875229483	5.409882959	3.906135613	-1.764948026	-1.876393690	-1.851570287	-1.802064570	-1.751025184
1gz0	49	110.218897171	86.308332948	73.891306248	54.890519454	43.488871264	-1.477477422	-1.403233083	-1.454255666	-1.475556193	-1.502821800
1gz0	50	106.800885466	52.567013644	34.481827764	25.330928833	19.879847795	-2.031754734	-1.819719397	-1.704619938	-1.706549501	-1.728983007
