# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4kn7	1	55.219653576	56.772118383	50.279595070	46.425774811	45.426283030	41.722414817	38.789826448	38.880317690	38.830614325	38.733600560
4kn7	2	62.509310442	51.929944539	47.819873439	45.230096151	42.266114918	39.828019634	38.265164040	38.257232221	38.355377884	38.441382049
4kn7	3	32.002055583	33.529769333	34.600175047	35.373052365	35.275007490	39.750310433	37.577517444	35.988792203	34.660201428	34.492039653
4kn7	4	57.637845364	58.529629004	61.298996421	60.293835420	59.682493433	43.457386635	41.756703304	39.276510236	36.495635250	36.913303665
4kn7	5	40.061784441	38.691134077	39.293080902	39.770127022	39.553519412	39.534047148	40.292031359	40.100020364	39.449032193	40.112132004
4kn7	6	33.555209795	30.851864263	28.609256707	28.115406292	26.733786417	39.378170084	37.817777348	33.429693699	33.758840615	34.041856693
4kn7	7	63.429301246	60.388803526	58.097216024	58.359580433	58.484517091	1.046691932	1.552862650	0.905210476	0.553048497	0.276511464
4kn7	8	52.821665923	49.262239153	45.565385823	42.866356750	39.818797163	33.500340466	34.377236028	35.928913835	36.112158573	36.237478138
4kn7	9	48.584787175	49.422837612	48.675063974	48.014854292	47.682599322	45.213491733	49.302827547	49.286700842	47.907856146	47.095028470
4kn7	10	56.654083748	55.685973062	57.079937089	58.019320836	56.382777962	36.106580545	38.112317172	38.060327127	35.704894605	35.537393251
4kn7	11	59.121796727	55.094579421	56.882452218	55.721283365	55.880828455	31.474474084	33.357370504	34.456327723	34.760563911	35.380203855
4kn7	12	52.355208877	55.290411662	52.879014046	50.007648329	47.001869798	33.638695451	34.460301959	33.852722192	35.429604213	36.082836490
4kn7	13	54.294746087	53.414197454	54.417520034	52.778819365	53.764927539	45.319564072	43.090220849	40.753916536	39.580135173	38.712437219
4kn7	14	68.149241624	68.047054117	66.413753666	64.899756002	65.175301423	42.970527077	41.694984159	41.691711083	42.123557588	41.274657362
4kn7	15	42.111084336	40.461976518	40.555109620	38.711982273	36.778863329	42.742665653	41.815768088	41.311801785	41.337735506	40.245732082
4kn7	16	38.340725704	38.738310354	38.960112766	39.243752901	40.001516739	35.992458066	38.524880078	38.604014485	38.314854754	36.588031282
4kn7	17	35.180588707	36.569334402	36.858339959	36.044781155	36.356653954	41.021450338	39.545457505	38.285448989	36.466111193	34.499919243
