# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1i6o	1	14.835009586	7.266354626	4.736381736	3.530587113	2.894358207	0.340030547	-0.009717042	0.059174780	0.058142926	0.024605039
1i6o	2	9.715998669	4.974752847	3.315331972	2.375507296	1.996582699	0.081867698	0.054284898	-0.001565280	-0.078874344	-0.043082693
1i6o	3	50.788188530	25.435972330	16.947329165	12.768306616	10.180002241	-0.208963085	-0.127642551	-0.107330923	-0.055953173	0.029496224
1i6o	4	2.064880253	0.976316023	0.649715492	0.483963101	0.395582319	0.180368504	0.101714805	0.076179563	0.027080776	0.023106233
1i6o	5	4.378245234	2.139549212	1.443699341	1.097633994	0.825993411	-0.152469261	0.075098225	0.160550062	0.166707318	0.215759033
1i6o	6	7.472040824	3.690872446	2.440661906	1.827467337	1.397817969	0.107191974	-0.023197458	-0.062747466	-0.008750125	0.018276821
1i6o	7	21.285867258	10.713606947	7.111136927	5.288837219	4.172583892	0.155613923	-0.046819380	-0.037837083	-0.001529073	-0.026046665
1i6o	8	28.812574236	14.420901845	9.549016934	7.061606710	5.619363419	-0.367995097	-0.102949651	-0.172858250	-0.130989725	-0.114496325
1i6o	9	43.996257239	29.853848302	22.262710811	18.567803929	16.389001100	8.215200944	7.631250832	7.685688511	7.597516672	7.557048245
1i6o	10	80.855274069	47.846532081	31.923700140	24.008379270	19.221761438	-0.090532792	-0.167330688	-0.117486375	-0.117201529	-0.113801575
1i6o	11	34.787241962	17.505508808	11.625583297	8.756576373	7.037835632	-0.103747898	-0.153939562	-0.150248409	-0.104357860	-0.094658596
1i6o	12	25.792801853	12.954154655	8.680484349	6.484030396	5.231594329	0.245153879	0.123910124	0.047872357	-0.022192267	-0.077556350
1i6o	13	9.205084095	4.629661009	3.049341898	2.308378149	1.916844059	0.002297185	-0.089220029	-0.009270421	0.002270889	-0.021686962
1i6o	14	15.513002668	7.964260065	5.244375981	3.974753906	3.163569481	-0.322404729	-0.317030102	-0.175397695	-0.259415754	-0.210301061
1i6o	15	20.505337486	10.313941457	6.894506011	5.142475060	4.092466709	0.123944007	0.043860825	0.026778224	-0.005669069	-0.093812539
1i6o	16	37.130838851	18.537680281	12.321878550	9.255904948	7.448756749	-0.052605778	-0.070419917	-0.038966076	-0.082680601	-0.127119396
1i6o	17	5.371024499	2.354124314	1.609910061	1.200007245	0.925372371	-0.118649946	-0.024556509	0.064397131	0.048274648	0.020145923
1i6o	18	47.436301564	23.812969527	15.866058831	11.938162223	9.589312678	0.130281955	0.025817532	-0.019194114	-0.056998524	0.019842117
1i6o	19	6.083127297	3.033460183	1.911762735	1.406060482	1.146704245	-0.237478616	-0.247305113	-0.339683619	-0.301839959	-0.215136658
1i6o	20	0.815391715	0.385214859	0.144830180	0.137526327	0.076772276	0.055036343	0.036737086	-0.158090127	-0.084349611	-0.071714404
1i6o	21	9.695809770	5.075136715	3.392957925	2.524213262	1.962007667	-0.125443608	-0.038464107	-0.067851275	-0.027786299	-0.048650693
1i6o	22	5.300449948	2.636467673	1.733753093	1.350814889	1.122240436	-0.006105813	-0.066296510	0.004874117	0.005621595	0.090180451
1i6o	23	0.675233779	0.509916676	0.532809014	0.454507217	0.289294278	0.117913841	-0.049478521	-0.050482478	-0.036870662	-0.030691121
1i6o	24	6.119382527	3.239788302	2.160538667	1.550926201	1.329719123	-0.121564600	0.075661881	0.041391594	-0.014993721	-0.038340333
1i6o	25	10.267894727	5.411559152	3.619438520	2.703166896	2.162327320	0.663970783	0.332461267	0.244348729	0.123166028	0.189320614
1i6o	26	28.500385400	14.155202291	9.535246817	7.257549810	5.769243569	0.567149721	0.116530070	-0.008402703	-0.028675343	0.007332836
1i6o	27	18.401048811	9.149090549	6.113186162	4.636651951	3.756054183	-0.023839287	-0.124529997	-0.193396364	-0.120140981	-0.038686634
1i6o	28	1.461911766	0.812008607	0.496676944	0.305152985	0.215020036	-0.320299342	0.068199044	0.195304134	0.175645367	0.199756629
1i6o	29	14.351378972	7.183481886	4.777011775	3.643079498	3.028100723	0.133236418	0.036483398	0.032381115	0.153340154	0.069636636
1i6o	30	51.725359072	41.923578685	30.470030845	24.891255644	21.471049612	0.453446617	0.293494465	0.200247955	0.182964229	0.142324357
1i6o	31	14.575209724	7.349146832	4.930230256	3.625364745	2.914315814	-0.020422313	0.028777231	0.084266902	0.053105477	0.019441079
1i6o	32	24.004349525	12.042780332	8.008024662	6.002658896	4.820521478	-0.245964687	-0.234501857	-0.023244717	-0.062068252	-0.093002118
1i6o	33	8.541193140	4.225564488	2.741768259	1.981560082	1.505983983	0.015358849	0.074172295	0.116769332	0.094492719	0.158901059
1i6o	34	19.415213176	9.717786107	6.599230779	4.947501998	3.969850861	-0.057301565	0.205833588	0.103231174	0.115882785	0.117882393
1i6o	35	24.736700294	12.310454726	8.268762758	6.120349349	5.012350138	0.012054608	0.095928281	0.121363397	0.066743462	0.071271876
1i6o	36	3.196588441	1.345641739	0.946750558	0.670344776	0.527019553	-0.077003106	-0.160649470	-0.257568609	-0.156212651	-0.068988827
1i6o	37	0.140524610	0.069704275	0.143671804	0.019365561	-0.006066790	0.176283215	0.210513121	0.167364385	0.042215186	0.056807992
1i6o	38	53.365283849	38.205249809	25.396192605	19.071733950	15.249343951	-0.143249588	-0.170481894	-0.203244574	-0.198665456	-0.081152734
1i6o	39	0.128544056	-0.196848448	-0.143929156	-0.100297350	-0.035722111	0.265749705	0.151111783	-0.041961614	-0.032072120	-0.066363859
1i6o	40	39.130297653	19.516724616	13.051369322	9.745673779	7.801975059	-0.120538705	-0.153754769	-0.078037996	-0.029483959	-0.068911249
1i6o	41	3.730757389	1.843887453	1.138561986	0.851555038	0.755394909	-0.105971910	-0.163495132	-0.138268612	-0.074248552	-0.034026070
1i6o	42	23.506253905	11.653741675	7.798105901	5.882222667	4.729094768	-0.215279420	-0.224888340	-0.123063901	-0.034505032	0.006342752
1i6o	43	40.613347027	20.116308164	13.315487256	9.974412720	7.967994514	-0.305197421	-0.295091015	-0.170271843	-0.192506810	-0.051912795
1i6o	44	13.451367181	11.355270272	9.940393269	9.239459833	8.946257983	8.288744566	7.860766264	7.668048867	7.830095046	7.611692668
1i6o	45	20.367904847	10.197048693	6.682765026	4.980458894	4.008040868	0.314950400	0.190198308	0.037202364	0.008899395	0.064971992
1i6o	46	4.038672895	2.066445280	1.395247301	1.008885070	1.041494682	0.340900314	-0.125214506	-0.057193509	-0.032752532	-0.045535010
