# pdbid	traj	last100	last200	last300	last400	last500
1h16	1	-14.207076132	-14.658318279	-14.906777767	-15.258140317	-15.439883433
1h16	2	-15.403061139	-14.463138508	-14.977660328	-14.951031322	-14.608794956
1h16	3	-15.646364865	-15.210613157	-14.900074085	-15.139274873	-15.419471144
1h16	4	-14.675470075	-14.452887773	-15.147378668	-14.932260281	-14.620516190
1h16	5	-14.375771859	-14.402781725	-14.909078882	-15.283317529	-15.367328430
1h16	6	-14.052667879	-13.739405212	-13.681242803	-13.931658277	-14.015229909
1h16	7	-15.668846559	-16.181398433	-16.185283173	-15.993879228	-15.705163880
1h16	8	-13.640312271	-14.761792985	-15.196608445	-14.831230857	-14.616119651
1h16	9	-13.804611777	-14.313859816	-14.678137165	-14.592770465	-14.967989553
1h16	10	-13.246318591	-13.349051024	-13.883906685	-14.172042540	-14.362791303
1h16	11	-16.978122294	-16.442702891	-16.921282445	-17.187798905	-17.065036907
1h16	12	-14.378715060	-14.661758339	-15.147005940	-15.276138573	-15.217189939
1h16	13	-15.897826244	-15.043303806	-15.317276472	-15.110292090	-14.949808838
1h16	14	-14.459466709	-15.611900191	-15.362569253	-15.313298150	-14.992794278
1h16	15	-14.806508883	-15.088399816	-14.630823525	-14.281201993	-14.668047734
1h16	16	-14.067462744	-15.047120994	-14.671791737	-14.654539959	-14.716516121
1h16	17	-15.849255412	-15.827125321	-16.008357402	-15.746323847	-15.694498506
1h16	18	-14.001740795	-13.746755219	-13.688205680	-14.212849366	-14.676928154
1h16	19	-16.703874820	-15.604069291	-15.557989302	-15.728337328	-15.535383804
1h16	20	-14.453217414	-14.045914256	-14.322980542	-14.113467302	-14.282903711
1h16	21	-14.131497594	-14.748107454	-14.544684385	-14.589659764	-14.789951485
1h16	22	-13.983638268	-13.733887574	-13.772065142	-13.984469181	-14.008487279
1h16	23	-14.621158621	-14.773059618	-15.448443590	-15.314672767	-15.320096238
1h16	24	-16.827132909	-15.416423588	-15.335455033	-15.457131805	-15.116578143
1h16	25	-16.237394160	-16.066358519	-15.180800170	-15.017090240	-15.236785578
1h16	26	-14.859592076	-14.761380146	-15.030644105	-15.142489824	-15.030482631
1h16	27	-15.900962954	-15.429682430	-15.391300220	-15.855607977	-15.931939660
1h16	28	-17.114882759	-16.006448414	-15.203265945	-15.174334535	-14.959444941
1h16	29	-14.467363298	-15.400489828	-14.922890765	-14.766874196	-15.148553087
1h16	30	-16.192593448	-15.235437319	-15.285112273	-14.941896532	-14.860137908
1h16	31	-16.165102901	-15.866521099	-15.325018658	-15.268862201	-15.232819237
1h16	32	-15.616690900	-15.345589396	-15.353188855	-15.766336355	-15.587176583
1h16	33	-14.323837759	-14.997027964	-14.466652075	-14.261852454	-14.409368400
1h16	34	-16.576841087	-15.778842696	-14.878981535	-14.898025739	-14.822333184
1h16	35	-14.963204385	-15.811098943	-15.629771368	-15.728895493	-15.479548208
1h16	36	-15.595030975	-14.829522047	-14.496077772	-14.666663375	-14.785608554
1h16	37	-16.085474145	-16.148138391	-16.186384040	-15.582489889	-15.481324851
1h16	38	-25.786087624	-25.311444169	-25.266613483	-24.871455881	-24.870842874
1h16	39	-15.272899415	-15.148826802	-14.750877067	-14.752075274	-14.957486165
1h16	40	-16.600871327	-15.491564034	-14.882396848	-14.868553521	-14.799702560
1h16	41	-14.681297421	-15.448282621	-15.431899165	-15.334534771	-15.288514327
1h16	42	-13.923513493	-14.249150915	-14.594691915	-14.457692520	-14.502253999
1h16	43	-13.796116597	-14.445905741	-15.192642080	-15.481191333	-15.660767071
1h16	44	-15.351478111	-14.807062197	-15.189035695	-15.400632475	-15.345359625
1h16	45	-13.901317249	-14.297202490	-14.003402755	-14.068002340	-14.120529183
1h16	46	-16.552629228	-16.068573892	-16.383806765	-16.004402471	-15.767028232
1h16	47	-30.509080750	-29.768204601	-29.828267318	-29.767313676	-29.610232020
1h16	48	-16.413282241	-16.231996974	-15.600040012	-15.640664171	-15.591546907
1h16	49	-15.854971994	-16.070239096	-15.975984992	-15.743916369	-16.032420268
1h16	50	-15.435626079	-15.262663712	-15.098665237	-14.996668326	-14.992029465
