# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2qcu	1	175.000938769	172.079882556	171.790397361	171.730939193	171.523225197	6.165387349	5.711792331	4.959462266	4.863549376	5.149787620
2qcu	2	169.367942340	166.829423507	168.093114914	162.006808566	148.722431913	3.889218563	4.040152281	4.207524030	3.881948509	3.926192423
2qcu	3	175.817450428	172.603991910	171.844796620	169.585879096	169.362870561	-0.409120451	-0.824131633	-0.584035514	-0.287857635	-0.177607487
2qcu	4	169.779853020	163.810186460	160.149134209	155.103526953	143.275556035	0.455980505	0.342839051	0.196780726	0.172356228	0.262561622
2qcu	5	177.602524729	170.279782260	168.186156102	168.711804946	169.339257879	0.136241044	0.109973247	0.121827683	0.042550238	0.209885651
2qcu	6	176.282034192	173.766165777	172.258032332	170.857088464	170.335785346	3.090857203	3.144171400	3.228536280	3.257808517	3.220459205
2qcu	7	173.015371253	169.906866698	170.275747085	170.822788686	169.109968592	5.028483463	5.150448524	5.344082441	5.373519823	5.040152663
2qcu	8	177.076012833	170.940497167	167.536850430	165.130460598	148.395921781	2.747627746	2.654426049	2.282167223	2.345084533	2.512506423
2qcu	9	172.895806348	171.563792525	169.607693862	169.732614772	170.118652763	2.881055513	3.041192969	2.837489292	2.737184016	2.818367425
2qcu	10	173.116286889	171.419602311	171.469050257	170.636437430	169.166756091	-0.392835696	-0.137310177	-0.178364046	-0.171144578	-0.075476640
2qcu	11	149.841150182	145.764953505	145.386898540	143.959069961	143.153391526	3.027810021	2.818853222	2.678822276	2.709020283	2.681627628
2qcu	12	178.304902528	173.930388682	171.058641969	169.659777543	168.598851949	1.562998917	1.998992140	1.954106080	2.329704305	2.299757212
2qcu	13	177.771849845	172.207921471	167.632732148	134.638293350	111.459513611	5.390474409	5.839273125	5.813812956	5.753984433	5.571694707
2qcu	14	167.804456522	166.019476333	167.274734240	167.335637140	168.104217954	1.936159316	2.193306477	2.282838681	2.462825891	2.485497920
2qcu	15	152.081826355	131.612742605	123.551650757	112.337482617	107.659836355	0.391506320	0.486806983	0.441816928	0.372123767	0.222760627
2qcu	16	176.543325175	172.418380832	162.338549936	163.677145129	162.866142106	11.944658685	12.738002332	12.884962085	12.823963476	12.894094627
2qcu	17	120.063387465	69.482714117	46.482071158	34.803415203	27.781692746	0.452863302	0.281842344	0.245326655	0.175510693	0.216395388
