# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1p91	1	56.648816253	51.523481728	49.857533618	47.339559663	47.582941241	45.815622804	43.365978940	43.434287821	44.383607698	42.543408824
1p91	2	11.864370004	6.291863536	4.387015504	3.316419110	2.669538748	-0.034280265	0.069284432	0.165281794	-0.035763771	0.170891926
1p91	3	5.381317747	2.705200605	1.746436095	1.473209422	1.286350146	-0.229745084	-0.062660563	-0.322814001	-0.236355662	-0.184991417
1p91	4	3.383886860	1.350934723	1.004704780	0.651217235	0.383099755	0.715858859	-0.018602564	0.025084001	0.029587214	-0.030579578
1p91	5	59.559810313	51.895275527	50.937250125	49.423715961	48.734532116	41.929633937	44.260509289	43.854286273	44.567932133	43.687148651
1p91	6	-0.968774348	-5.457682735	-6.766475294	-7.423522632	-7.956168284	-0.515953745	-0.111138590	-0.321073479	-0.223342885	0.053029075
1p91	7	-7.073934827	-8.467533960	-8.886336796	-8.678010443	-8.863607487	-0.506659114	-0.368105522	-0.412331330	-0.293278780	-0.380132630
1p91	8	5.473364844	2.918244963	1.975722848	1.484963687	1.117238636	0.665808980	0.262229095	0.229630980	0.066261852	0.072983899
1p91	9	30.858505936	25.028849599	24.106770910	23.684229167	22.993089829	0.659097420	0.405711375	0.229446614	0.180317395	0.094417695
1p91	10	64.223619440	60.268505713	59.474414427	59.310920735	59.202603503	0.752211309	0.534762126	0.067372844	-0.022115872	-0.034328384
1p91	11	70.187598597	63.252935056	61.686946901	60.909322425	60.607015981	-1.049104179	-0.376372073	-0.141696522	0.034702594	-0.033514402
1p91	12	80.191344956	68.468868071	64.675363090	61.375760181	60.492553071	51.566380028	55.069429628	53.567484945	54.740863657	52.994361911
1p91	13	94.354262861	68.620685118	59.120588923	55.673168648	53.370532106	38.323036032	42.363808606	43.025725799	43.468173488	42.130386872
1p91	14	66.284227573	62.043053793	60.832689208	55.730969035	55.637391409	-0.259303384	-0.372632230	-0.177786708	-0.105833470	-0.089524734
1p91	15	58.739522633	58.626211458	58.133658714	56.722363611	56.035198251	3.033662469	3.451318351	3.777175762	3.834875292	3.726752206
1p91	16	68.989592204	63.793928421	61.569570491	60.475261055	59.593257275	57.405348198	57.095135691	57.989887478	57.529354206	57.140331956
1p91	17	61.283629785	57.553030134	53.580485159	54.184135363	55.494653178	0.103203613	-0.052698574	0.016917960	-0.031092583	0.052993437
1p91	18	44.743180068	22.258217713	14.790919679	10.942774885	8.651157241	0.609276344	0.115950669	-0.025106470	-0.183663620	-0.196342698
1p91	19	62.504065353	60.365875718	59.402499816	58.920667614	58.740209290	-0.759271667	-0.451956804	-0.545108882	-0.420709705	-0.389723878
1p91	20	23.239295210	23.502354797	22.699595162	23.005342330	23.077263978	0.477262587	0.017720121	0.132816397	0.218346298	0.217881713
1p91	21	60.233711237	58.521527555	55.396286247	55.660904496	55.917593834	58.454978519	58.101716785	57.773128614	57.863184460	58.084995677
1p91	22	54.082549313	49.761921175	44.778691980	39.690639807	40.112389784	45.328461367	46.012024967	45.345563255	45.411240823	43.178544579
1p91	23	70.460949461	65.014808735	62.862298679	61.379921080	60.720499609	0.224290146	0.013449439	-0.098063027	-0.048350106	0.093579624
1p91	24	81.103838342	69.155231327	65.388830187	63.656460565	62.096043739	0.898027169	0.531073635	0.602386297	0.495717050	0.289108278
1p91	25	60.903744416	57.224666149	55.083359114	52.379713729	51.230542740	44.628071508	42.142753073	42.834545194	43.244811064	43.427064084
1p91	26	50.675258690	46.775389882	46.815397373	46.505306953	47.079370471	44.867630080	45.194954588	44.827013625	43.672465502	43.694453263
1p91	27	30.698235415	37.913172379	40.850813639	41.969334145	43.155515003	46.144262414	45.344747880	45.381441349	44.901965252	44.777986801
1p91	28	67.390185618	62.956566111	61.423811297	60.617207538	60.751281438	0.187568771	0.419957808	0.345746013	0.258459547	0.261545464
1p91	29	59.747368525	57.144401752	57.677727370	57.695830737	56.181931500	-0.770839953	-0.184781279	-0.126134994	-0.091916694	-0.087995652
1p91	30	63.900689338	52.824153298	50.140840564	48.753049159	47.578266725	47.825563041	41.016788586	42.133256454	43.367266423	44.144530614
1p91	31	74.080373850	64.270001124	60.345315666	59.517481632	59.457408451	60.738571404	58.494769465	58.499892044	58.404036404	57.892607887
1p91	32	55.808887210	50.417047275	48.647478225	46.981801695	45.714888461	46.237040324	43.964819963	46.025450241	45.519041841	45.509966560
1p91	33	10.528624442	5.386090294	3.690082431	2.653925535	2.049302958	0.216571977	0.146810785	0.195499713	0.312163196	0.237932988
1p91	34	59.498572470	58.709584389	58.989650114	58.551537233	58.332939343	48.161420432	53.016180599	53.832153972	54.710462599	54.604166388
1p91	35	57.676800359	50.842319730	48.666324583	47.738017120	47.074140053	49.975152824	47.945599537	46.703946037	45.618407371	45.352419066
1p91	36	12.154653625	5.798977421	4.087219127	3.228991705	2.548448801	-0.756959554	-0.471966100	-0.280673026	-0.131319814	-0.137361947
1p91	37	50.212754747	49.050151804	48.618303573	47.212354098	44.849101745	45.265590672	45.839614835	45.327326115	45.656140453	45.298163575
1p91	38	61.601010296	57.897132262	58.067768871	57.960219034	57.566696623	0.097641621	-0.170778997	-0.248569162	-0.345810633	-0.401184104
1p91	39	101.640810697	80.275660239	68.441865250	64.081811180	62.220982616	37.371176007	46.100538511	49.982699215	52.034403555	52.958969416
1p91	40	9.624818841	5.217659864	3.575516053	2.660501394	2.077100707	0.229997857	-0.154831288	-0.148937703	-0.219339795	-0.062411342
1p91	41	60.866486571	60.148460357	58.764057744	54.426224152	55.072667508	-0.321252842	-0.031473229	0.001924941	0.013994872	-0.093605843
1p91	42	51.642679844	45.460693019	45.085880273	45.058635978	44.890816031	41.967386575	41.594770150	42.001160557	42.493298921	40.954603322
1p91	43	1.975060321	0.928617039	0.749480122	0.579697734	0.397916700	0.843757532	0.179278581	0.245497762	0.460256482	0.282798701
1p91	44	61.816020865	61.386698129	59.586322511	57.568544373	57.612151771	0.172487089	0.170278412	-0.041921085	-0.072822675	-0.013879239
1p91	45	54.483300948	56.468710253	54.036061091	53.055894029	53.931691390	57.549997879	58.634096726	58.718652146	58.519720761	57.957279008
1p91	46	31.799834038	15.572180700	10.503121455	8.011241193	6.500672018	-0.252925430	-0.186692286	-0.048867733	-0.015043636	0.009091778
1p91	47	53.345675907	49.342913730	48.716301067	47.793267165	45.871796471	40.189804549	42.795518076	44.383747531	44.191968667	44.696913404
1p91	48	60.216021529	59.774943478	58.697881606	58.316643839	58.083207133	54.844955797	56.122911853	55.572275833	56.333037315	56.598335089
1p91	49	-0.752655209	-1.101518811	-1.166590352	-1.037743198	-0.652718622	-0.427173628	0.129143646	0.138076012	0.147155803	0.211717604
1p91	50	65.546275988	54.610287181	50.495266532	49.324396053	48.498649317	46.205399019	40.466590271	41.826654535	43.242560667	43.423520679
