# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3pco	1	15.793449393	14.489658671	14.095176686	13.566813998	13.349599605	13.161293567	12.978907319	12.699214254	12.473236476	12.338481863
3pco	2	24.820551618	23.603812436	23.097569236	22.467047579	22.275726181	21.095299179	21.534327649	21.417319021	21.589134244	21.385873342
3pco	3	21.979966133	20.173598052	18.439668818	19.356095306	18.732291656	15.548853171	15.758753645	15.402216070	15.540422303	15.373889475
3pco	4	8.852949974	7.974824020	7.725585905	7.667073316	7.042529246	12.015656918	12.364102961	12.467488173	11.388204701	11.376872604
3pco	5	14.140250133	13.703693024	13.844152020	13.713216648	13.723671863	11.959473243	12.249713821	12.036657469	11.852184789	11.756400077
3pco	6	21.480969048	22.602658803	21.637525257	21.552454011	21.663704214	0.739301353	1.595026730	2.366125648	2.657593723	3.004955000
3pco	7	29.716472905	29.136154466	28.929051814	29.013508599	28.773942913	8.076629936	8.584845601	8.910207000	8.791536997	8.661830737
3pco	8	15.225123039	12.998860726	11.953380904	11.427380425	11.012741354	10.701143850	10.794255757	10.602339295	10.580465766	10.540003469
3pco	9	-0.267335248	-0.353224096	-0.364696772	-0.355786452	-0.364853022	-0.851275893	-0.874076719	-0.792161250	-0.683263378	-0.667391081
3pco	10	4.262225278	3.981895270	3.786510370	3.714957095	3.611886794	3.310851921	3.221294001	3.323745922	3.275870444	3.260221444
3pco	11	0.284075799	0.112826980	0.188961173	0.283228131	0.326765987	-0.217764014	-0.232066914	-0.261488300	-0.235561535	-0.100102151
3pco	12	17.351805860	17.550410281	16.595668248	17.618891241	17.208570706	18.298078916	18.610438525	18.895173281	19.066263431	19.474912266
3pco	13	12.992836724	11.755942141	11.081280324	10.256620040	9.946734171	8.938167256	8.797748402	8.661709290	8.606941720	8.885994088
3pco	14	27.231707635	26.504559877	26.305401505	24.085400090	22.355723713	17.409924671	17.715599057	17.587892504	17.598635935	17.541891879
3pco	15	18.871499073	18.612250158	17.678583981	18.165081468	18.659980361	19.052470403	19.801987576	20.186144279	20.357888257	20.410505138
3pco	16	6.255603197	5.616637998	5.507035739	5.369476732	5.396123085	3.196330050	3.433823552	3.330438419	3.404452921	3.355715029
3pco	17	0.413273801	0.484508318	0.409366447	0.385895320	0.346934616	0.324403174	0.132618708	0.292709503	0.201856302	0.148541667
