# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4fzw	1	0.356851950	0.503771015	0.461942039	0.071516306	0.031520904	0.415638900	0.278948399	0.112192870	0.230589075	0.321506278
4fzw	2	26.617120199	26.746211083	26.693466850	20.980371199	16.924225652	-0.984771459	-0.511079059	-0.178395384	-0.234410395	-0.055447041
4fzw	3	26.375149272	25.881609820	19.731380178	14.939633596	11.849071287	-0.553503082	-0.313851396	-0.258845971	-0.137960211	-0.077936974
4fzw	4	26.267455293	26.227590186	26.063210069	25.055004129	20.102985477	0.146571859	0.070101922	0.298031422	0.224226312	0.082422969
4fzw	5	25.982964483	13.660438231	9.099283718	6.533940288	5.440436222	-0.969557354	-0.301632847	0.017171264	-0.298871697	-0.300432270
4fzw	6	4.292148294	2.269396374	1.700510269	1.418849311	1.146313056	0.754083778	0.628612069	0.275103640	0.312168402	0.336764117
4fzw	7	9.094081237	4.460395425	3.055571192	2.201456050	1.863825051	-0.102799477	0.286109467	0.158644687	0.191310650	-0.090581072
4fzw	8	0.279271954	0.362324690	0.336144258	0.266524712	0.085734736	-0.394576196	-0.206561195	-0.033606763	-0.049077465	-0.122083737
4fzw	9	0.152844056	0.043862358	-0.066516531	0.096737256	-0.128595290	-0.540490209	0.000811489	0.107192009	-0.188573478	-0.146074915
4fzw	10	0.822402764	0.316166847	0.372789944	0.175340360	0.185275167	-0.421931334	0.459027125	0.434043382	0.359966281	0.192282246
4fzw	11	-0.381761474	0.013717231	0.024734748	0.086371822	0.178006526	-0.480898528	-0.219114629	-0.077501789	-0.214394810	-0.305740496
4fzw	12	-0.385184291	-0.271714828	-0.286677484	-0.281855858	-0.254573848	-0.523679251	-0.218944009	-0.044808989	0.001164532	0.072004631
4fzw	13	-0.156972998	-0.218606020	-0.006584546	0.258833618	0.195223031	0.196576277	-0.024335363	-0.188154466	0.111335410	0.217289119
4fzw	14	26.072596883	21.356961494	14.600959055	10.943378585	8.880586512	-0.464226238	-0.076747984	0.481595658	0.423814639	0.511832206
4fzw	15	-0.430036237	-0.369961019	-0.424633811	-0.448552630	-0.325308429	-0.839612035	-0.498932784	-0.011347949	0.164643550	-0.055354553
4fzw	16	12.492333886	7.114918867	4.591326553	3.753436376	3.189097381	0.010907135	0.476805314	0.375411761	0.248883416	0.329687699
4fzw	17	4.234816034	2.123230975	1.487826886	1.337971641	1.300008641	0.149517215	-0.093320699	0.166080780	0.258677067	0.280597379
4fzw	18	25.927647046	19.311644544	12.843879409	9.482477930	7.545104043	0.079226210	0.243333894	0.395205682	0.501509220	0.347067149
4fzw	19	-0.548004336	-0.216525218	-0.411162590	-0.328351687	-0.195558627	0.232872947	0.007311244	0.152146933	0.105991710	0.113353743
