# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1m3u	1	49.567187191	25.960795630	18.130272324	13.608395214	10.763060888	-0.075932512	-0.129725207	-0.093768950	0.037709699	0.076487832
1m3u	2	39.509718957	32.465290626	30.989959036	30.287234437	29.816791100	0.122209776	-0.029295861	-0.038742553	-0.026385295	-0.185822112
1m3u	3	15.658007149	8.061709392	5.331634148	3.953734924	3.283503937	-0.094284438	-0.136628564	0.067433055	0.096639856	0.115900903
1m3u	4	68.113645373	34.156964669	22.788863912	17.055740222	13.719972542	0.435065208	0.217790526	0.267479829	0.534806439	0.926366418
1m3u	5	66.599735608	33.176657863	22.087667164	16.478705545	13.277221055	-0.378955072	-0.320794887	-0.197602696	-0.037556523	-0.046723281
1m3u	6	76.119860710	38.219533495	25.558225760	18.971738213	15.163461295	0.159558237	0.145601238	-0.004710424	-0.126177409	-0.147860537
1m3u	7	9.318787040	4.565226657	2.826042839	2.112852320	1.835381825	0.404069255	0.006068369	-0.041306020	0.002022961	0.009022965
1m3u	8	51.161359046	25.738350547	17.416439348	13.043481865	10.391758121	0.323853728	0.015440926	-0.169175368	-0.104055273	-0.068987063
1m3u	9	30.775885809	15.198509992	10.242272585	7.714573542	6.125188620	-0.095036761	-0.486426344	-0.317677033	-0.316870235	-0.265788940
1m3u	10	137.317573538	68.600417862	45.710672381	34.427856160	27.471415192	0.205458118	0.163244037	0.100111907	0.124617210	0.119754329
1m3u	11	25.993240902	13.301090409	8.831065145	6.804339602	5.521898678	-0.419011996	-0.327926084	-0.038304133	-0.038050822	0.110512701
1m3u	12	52.554851583	26.585364763	17.955206521	13.462859412	10.779510486	0.376312874	-0.081515717	0.050049447	-0.012241079	0.052159580
1m3u	13	35.543007960	17.924011671	12.043574330	8.873497987	7.300037872	-0.238826909	-0.008773740	0.483030537	0.497410537	0.520317380
1m3u	14	40.025415975	35.480708187	32.872254299	31.823766123	31.541841459	0.316984155	0.275622939	0.196481739	0.047265634	0.112531531
1m3u	15	41.198371677	22.481340080	15.198979434	11.448764726	9.203000182	-0.185859539	-0.318146892	-0.086020260	0.064230920	0.082953458
1m3u	16	16.495397788	8.374950907	5.593567372	4.009529595	3.257946912	0.360532395	0.245703909	0.048649384	0.005506333	-0.055854978
1m3u	17	25.030885920	12.502651543	8.330172549	6.228479817	5.150425759	-0.015841745	0.104431349	0.060448040	0.127704046	0.065645944
1m3u	18	31.812268566	30.240114553	28.477154006	27.974382642	27.422106755	0.009858807	0.007706603	-0.123882949	-0.025150203	-0.118749382
1m3u	19	80.065144898	40.041984698	26.991833918	20.399934203	16.364605822	0.253600536	0.468830264	0.398076449	0.242357380	0.220582122
1m3u	20	53.771633685	27.124943971	18.121175545	13.642200509	10.848300931	0.356350939	0.146837177	-0.124008148	-0.087980940	-0.130577709
1m3u	21	29.077622524	14.619361947	9.815500064	7.424064464	5.902137090	0.432464392	0.213495369	0.247461102	0.269549056	0.169812945
1m3u	22	1.775809328	0.869858356	0.613099338	0.465485404	0.365968384	-0.121239057	-0.181107046	-0.007498852	0.035390562	0.034775680
1m3u	23	42.851060197	21.355784445	13.952515572	10.439784370	8.313471278	0.091627047	-0.108914965	-0.020516655	0.058643148	0.002926386
1m3u	24	108.884068021	54.167008941	36.334899758	27.256799968	21.792211781	-0.220054888	-0.340863397	-0.330232809	-0.440848269	-0.324440783
1m3u	25	10.519507218	5.095141781	3.327782757	2.353412067	1.902470791	0.010048358	-0.056013507	-0.035423733	0.007905361	-0.017485243
1m3u	26	31.838385051	17.424768657	12.088090151	9.019816740	7.275134210	-0.377592679	-0.219352555	-0.382663824	-0.390241945	-0.277793938
1m3u	27	24.757872747	11.874300265	8.234195889	6.156878924	4.838784678	0.378058159	0.290682839	0.169020100	0.076577389	0.068735911
1m3u	28	57.408440777	28.542092131	18.936872123	14.138760805	11.285445591	0.253228735	-0.056268525	-0.061612936	0.012941583	0.032832642
1m3u	29	44.135660190	22.104223668	14.843282270	11.066586180	8.645972910	-0.329259640	-0.190618844	-0.149360327	-0.186888584	-0.028091058
1m3u	30	29.046141657	14.357795401	9.450823018	6.991819720	5.523048618	-0.225553270	-0.454195938	-0.364104035	-0.197023239	-0.129224935
1m3u	31	36.828640057	18.682556366	12.568272149	9.451292641	7.637111606	-0.119546733	-0.166697142	-0.206674079	-0.103676969	-0.251712270
1m3u	32	49.029033285	24.572470995	16.267026946	12.209319539	9.703809383	0.173982919	-0.019156262	0.797569889	0.720392922	0.557568524
1m3u	33	56.129257804	28.006031040	18.593738503	13.935441957	11.246452862	-0.609188178	-0.337659658	-0.219164758	-0.282657321	-0.252694031
1m3u	34	95.164610958	47.564845396	31.577436553	23.612805525	18.853614369	0.063547288	-0.205431768	-0.151495033	0.059320917	-0.005896897
1m3u	35	9.037033599	4.475636835	2.966863874	2.076998445	1.603717047	0.112985705	0.257995485	0.063985971	-0.042036574	-0.135341164
1m3u	36	50.929221726	26.800180695	18.633930163	14.654478318	11.758284768	-1.130256240	-0.816745011	-0.615546870	-0.330900617	-0.175945426
