# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1gqt	1	81.939768357	82.535639045	83.877535890	83.799549677	82.556215627	78.363063005	77.322837263	81.455446675	80.742073964	81.978761512
1gqt	2	86.088368913	86.511526145	84.289693037	84.117758844	82.462843025	79.607244987	81.836546927	80.242550687	79.884957441	81.581773587
1gqt	3	87.081455945	85.792965252	85.420434441	86.477559486	85.868898708	86.450605985	80.780271029	80.792562295	82.402346062	83.533348933
1gqt	4	89.990629592	88.028590189	87.639074977	87.279136112	86.288095707	77.279360304	83.284576675	84.677928489	83.987543068	82.787002107
1gqt	5	87.867179110	86.433376938	86.333653349	85.478475487	84.930813178	80.483705858	83.925175985	85.353581124	85.481124733	83.424803570
1gqt	6	82.441561307	83.725791399	82.243978052	81.942906688	82.470373181	89.083034767	88.093526501	87.991821248	87.360604109	86.182498554
1gqt	7	86.628681420	83.053661832	85.323265016	85.687798595	86.598308368	86.342824655	85.939780157	84.523187685	85.878673212	86.390949655
1gqt	8	86.381828116	80.702365403	79.861785844	80.738029810	80.315753508	88.100140257	84.191064836	83.325003070	84.633193333	85.592195244
1gqt	9	83.956870687	85.834077684	86.665263039	86.921416777	86.486599812	75.032885272	76.707595752	81.169852929	79.645371498	80.071494107
1gqt	10	85.978497457	85.909851883	83.358367460	82.655832702	84.061427470	90.294779389	88.758916630	87.492218842	86.242564045	85.943502639
1gqt	11	87.316083002	87.860834974	87.977550950	84.216410845	82.352469689	81.325292039	81.781992607	83.267519118	84.740774184	85.826141545
1gqt	12	88.242980994	87.587295323	85.821723167	86.213244033	84.961349550	81.727178197	80.516113803	81.677807077	83.187663439	84.217844893
1gqt	13	89.098033987	89.829003504	87.484707048	87.820099640	87.239232064	82.922853705	83.524496901	85.255630222	86.483972323	85.549709906
1gqt	14	85.801963830	86.936754079	87.462287287	87.635161816	87.515721435	86.828606411	86.550347648	84.917595198	85.735447326	85.265472387
1gqt	15	87.188321719	86.416322833	83.198525435	84.457835990	84.822050825	85.013987662	85.319210619	85.860628309	87.093136931	87.019079600
1gqt	16	78.131890038	78.527346898	79.927948977	80.317014016	80.465073084	85.964229347	86.844873057	85.649521783	85.086880004	84.667300395
1gqt	17	87.822255891	84.208958225	84.941014516	85.902760689	84.029926393	83.309291050	81.031790997	82.585388138	81.914367768	81.663184760
1gqt	18	76.080364625	82.570617344	84.524281699	83.659358364	84.582172207	89.897125766	86.869141118	86.836821697	87.631654124	84.873595119
1gqt	19	78.982939696	80.249687963	79.611890823	81.373338188	83.113003412	86.816802044	83.967052297	82.522682211	82.932054688	82.887451891
1gqt	20	87.515741322	86.723078052	85.849581465	84.141571375	84.936294578	86.455664530	87.943436283	85.655000245	85.016185263	85.146849188
1gqt	21	85.827491653	87.749513185	87.886654858	86.818768812	87.319586125	83.479927351	82.983730335	80.565616908	81.095223673	81.732680724
1gqt	22	83.354993222	86.311035889	83.461805451	84.446805598	85.390297802	89.417890781	85.145185538	84.076344626	84.511955933	85.509712725
1gqt	23	88.753243589	87.665188925	87.972727756	88.157288976	87.068169772	76.032733058	78.436175906	79.217971031	79.509919752	81.158653434
1gqt	24	83.345182915	85.421149028	86.719701933	85.322588720	84.256671802	85.141937984	86.936804827	86.955397069	85.929702051	85.635465238
1gqt	25	79.413162776	84.914561035	83.936033369	83.034741641	83.548175668	84.563112460	80.275581519	80.347607863	82.508528098	83.810484159
1gqt	26	75.243263725	78.516988829	80.678714668	80.300868436	79.805897323	89.389684769	86.987730694	82.404252759	82.817035690	82.552309164
1gqt	27	84.052172839	86.766683833	86.547255465	86.537713571	85.467182073	83.595704697	85.697226894	84.887159929	84.562823711	85.285825567
1gqt	28	89.989901247	87.441844046	87.166948868	86.693963569	84.838614355	87.046423627	86.505274199	83.864633809	83.790521784	84.514532980
1gqt	29	82.812023800	83.235877453	82.581498068	83.353191806	84.498418911	88.458489735	86.342566130	86.072507361	85.358198244	84.760440413
1gqt	30	78.299181993	82.496533847	85.333107870	86.000821605	86.650496911	90.207366104	87.946359137	88.447013971	85.927034543	86.801589105
1gqt	31	89.608024417	90.329214341	89.663678537	89.016464823	88.903361963	83.976706503	86.640100804	85.140500725	85.665384103	84.635944193
1gqt	32	83.951150285	82.699532168	84.754967449	86.069724263	85.693363984	88.863028314	87.147676401	87.600279191	86.168142568	84.825385195
1gqt	33	87.366176612	86.520909403	86.206807059	82.893855975	83.710175813	90.361074637	86.332623028	83.444071254	84.730214571	85.511454779
1gqt	34	81.655798789	81.465269754	80.315235136	81.540181782	81.752971771	89.174033284	87.722666403	85.520336530	83.937360615	82.785531301
1gqt	35	89.029871310	88.849152545	88.853624043	86.334235027	86.886690669	89.274507574	89.723268113	89.393904157	88.084531511	87.886576700
1gqt	36	79.324872714	83.935902716	85.301841719	85.886465393	83.926225792	84.787144192	84.587980674	86.429914617	87.131058777	87.685435311
1gqt	37	81.238984303	83.676650236	83.786367836	83.826180371	84.661496759	89.231626004	84.448623769	85.063353435	84.577925454	84.420341853
1gqt	38	75.426579184	79.148389095	79.546946858	81.325544128	81.969416586	88.560899735	86.805830908	83.936402637	81.866160143	81.044618482
1gqt	39	88.073274356	86.843386094	87.674207275	86.910371910	86.279916818	79.665764097	80.173551106	82.281179455	81.796463102	82.327829900
1gqt	40	85.565069003	81.663226829	82.751766808	84.555343595	85.410439928	87.532403299	83.983040471	83.404050515	84.070775220	83.965166866
1gqt	41	85.504158722	82.252089392	81.970206609	81.459867836	81.246173391	89.022771090	86.817041707	84.769680283	85.609449006	86.309413908
1gqt	42	85.628693635	86.633279931	86.136614373	84.954639013	84.432116169	86.933383463	84.703371154	86.047370788	85.499288133	85.257069405
1gqt	43	89.973203593	88.114128416	86.754344607	87.214627674	86.167161547	88.441297886	84.102343814	80.084974820	79.989338718	80.871511943
1gqt	44	79.507361471	83.039024379	84.490654048	83.664662601	84.674008100	80.981182713	78.990627654	80.844316636	81.224703503	80.318498147
1gqt	45	88.490432108	82.378651837	84.162279407	83.209058800	81.408947009	87.752877792	87.469439888	85.973532164	86.719882427	86.640173253
1gqt	46	78.788885954	80.885622761	80.471563922	80.898633554	81.967700610	86.322349855	86.819343454	86.792593272	84.863447371	84.029970364
1gqt	47	87.426273638	86.558547856	85.602716486	83.561728396	81.499916777	89.445848810	88.339253452	87.984999813	85.735163413	86.174301678
1gqt	48	82.748085982	85.043205608	86.212581037	87.066574147	87.374272624	79.060432379	82.299006546	82.954720022	81.378487679	82.052863418
1gqt	49	89.596844940	87.630545770	87.321000629	84.595429967	82.899558444	86.566594401	81.439811282	83.144068486	83.886375919	84.931028975
1gqt	50	87.331281673	86.707060495	86.612191222	87.031318516	86.043146525	76.411832478	78.245584258	82.253194010	82.308188099	83.606747224
