# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2fek	1	1.006828058	1.203414050	1.084887580	0.912838221	0.637488637	0.080185520	0.162111525	0.010443785	-0.065069076	-0.153123694
2fek	2	1.967642116	0.644991011	0.582819467	0.229218789	0.046460764	-0.466388054	-0.060885496	-0.217728416	-0.235568256	-0.123727580
2fek	3	8.548506902	4.807105932	3.642720896	2.756223349	2.142947348	-0.117167759	-0.138077129	0.086631699	-0.031166077	-0.069518175
2fek	4	0.369253599	0.125141649	0.051567243	0.100644922	0.057773425	0.583333924	0.070989858	0.664104685	0.402162481	0.237919868
2fek	5	1.754500801	0.425153036	0.120341728	-0.024144229	0.044326304	2.623557168	2.633397305	1.810621989	1.345686712	1.009216102
2fek	6	172.013285369	88.426974176	59.014622053	44.356737409	35.434069158	-0.042424632	-0.173469160	-0.366412970	-0.434388183	-0.398030347
2fek	7	1.506072579	0.626807840	0.466704805	0.201487462	0.382540485	-0.605347845	-0.068133687	-0.160306566	-0.269333526	-0.032067788
2fek	8	160.789593158	84.156793939	56.124127666	41.957408331	33.624197021	0.147076206	-0.178071528	1.366836865	0.898047502	0.588847912
2fek	9	4.035427958	2.207653301	1.366947265	0.874773497	0.632112359	0.763525981	0.944783901	0.593547732	0.334522390	0.466556271
2fek	10	3.409368561	1.446863945	0.822162892	0.542679309	0.456608196	-0.479335592	0.001945902	-0.180992603	-0.298006539	0.110178874
2fek	11	4.546827155	2.282981343	1.372585368	0.991364925	0.823303382	1.164416624	0.670510869	0.434606247	0.242486306	0.135479286
2fek	12	5.141352116	2.554835985	1.902658817	1.330715869	1.036216859	-0.594443583	-0.672993999	-0.340423103	-0.387997890	-0.353360235
2fek	13	8.800533904	4.426946294	2.916791130	1.994796950	1.497427101	0.116012220	-0.321507563	-0.252569931	-0.142308495	-0.203206559
2fek	14	1.141538022	0.886258491	0.461327080	0.431580867	0.290915167	0.179137656	-0.063060239	-0.057425549	-0.145804029	0.157338230
2fek	15	99.893758572	49.998305567	33.189938809	24.816559986	19.820793494	0.010469040	-0.381604467	-0.324594017	-0.306188223	-0.289678524
2fek	16	25.923959307	12.700101432	8.319353181	6.230612003	4.856363925	-0.108787351	-0.179756255	-0.301184750	-0.265458108	-0.239854629
2fek	17	1.620718722	0.442168501	0.126145801	0.023040902	-0.082801213	-0.264000201	-0.406194277	-0.032197780	-0.153023790	0.218049886
2fek	18	47.100332120	23.425967860	15.650278062	11.602018392	9.259343266	-0.391909776	-0.425317152	-0.311519305	-0.216577327	0.348208603
2fek	19	1.619832648	0.695401267	0.680611116	0.715648628	0.493522818	-0.419167547	-0.432643272	-0.434421006	-0.345160265	-0.388817018
2fek	20	1.074531917	0.363473550	-0.010311121	-0.018973743	-0.088735490	-0.623613020	-0.572815413	0.358547953	0.155599193	0.067719666
2fek	21	0.177493773	-0.106115618	-0.163580696	-0.246928057	0.295014954	-0.173172586	-0.433986833	-0.151140695	-0.083454424	-0.183450471
2fek	22	0.988047104	0.340149579	0.038282615	0.295133574	0.800963816	-0.227651820	-0.073335305	-0.200775908	-0.207914938	-0.288404317
2fek	23	7.476826811	3.775476370	2.618715343	2.206467312	1.583009104	-0.552716929	-0.499826230	-0.252249614	0.003472296	-0.121174877
2fek	24	2.109639356	1.005848666	0.510180470	0.286399432	0.686119948	0.563515990	0.371949460	0.028236976	0.014415250	0.110248454
2fek	25	12.552992961	6.078797043	4.005955222	2.771417572	2.096819750	-0.155730789	0.339264313	-0.004346418	0.164880302	0.311644108
2fek	26	7.482037305	3.736420264	2.339822132	1.694934846	1.487469071	-0.139834912	-0.282556597	-0.234836351	-0.295512229	-0.111874128
2fek	27	1.589776852	0.658439447	0.240507290	0.253769902	0.075027488	0.085346727	-0.020902447	-0.036833427	-0.145893393	-0.243381926
2fek	28	6.495977575	3.025728982	1.739576521	1.471833690	1.093545545	0.710663507	0.188705447	0.040788098	0.088760510	-0.023058088
2fek	29	10.023176355	5.378010361	3.385782900	2.792062155	2.153745964	0.139128866	0.281596474	-0.000001113	-0.157221887	-0.065827707
2fek	30	176.298520420	89.586927320	59.670061419	44.759853965	35.879747874	-0.579072426	-0.441803138	-0.126708865	-0.189547971	-0.278470922
2fek	31	4.702401980	2.091854056	1.401106639	2.227149185	1.704476168	0.035637022	-0.139075691	0.123415906	0.131631821	0.244778638
2fek	32	14.572684923	7.433833154	5.050053820	3.762348535	3.224813533	-0.392191442	-0.462878829	-0.408203194	-0.355342222	-0.381514870
