# pdbid	traj	last100	last200	last300	last400	last500
4fzw	1	3.866153748	2.835863067	2.500062752	1.045148146	1.677919738
4fzw	2	-0.606989655	3.652929809	2.076618515	-0.840147257	-2.693253598
4fzw	3	-3.072879243	-4.087173750	-1.113840402	-2.211969730	-2.650659220
4fzw	4	2.426213636	1.582316824	-0.936584078	-0.632276301	-2.164069459
4fzw	5	-2.762556627	-5.393519048	-5.094845487	-5.103360189	-5.259464224
4fzw	6	-9.390332999	-5.868626509	-4.448730982	-2.928731164	-2.508727591
4fzw	7	-4.369794400	-2.853269276	-3.925465332	-2.737818641	-0.036525239
4fzw	8	5.929459520	-0.301315876	-2.338323745	-2.837088281	-1.907288352
4fzw	9	-1.353444903	-4.532501335	-3.535297227	-1.873299111	-2.877726141
4fzw	10	-6.716997346	-2.619225598	-1.430917085	0.468914214	1.396094024
4fzw	11	10.996478456	7.514455831	5.070770673	4.375182418	4.943329345
4fzw	12	-4.417356582	-2.303001905	-1.815406045	-1.944019929	-2.517647399
4fzw	13	-1.223198523	-0.434231901	-0.162256790	0.533559104	-1.352717614
4fzw	14	2.901511897	-2.136177218	-1.587286430	-1.847581427	-2.083522032
4fzw	15	3.557000577	2.217346475	-1.101778950	0.134014702	-0.871398890
4fzw	16	-2.454556079	-3.598408680	-1.117393110	0.267138365	0.700402847
4fzw	17	-4.992269460	-2.699681245	-1.809736197	-0.445841250	0.440526960
4fzw	18	4.746986049	4.425015403	4.398866390	4.176117270	3.588457036
4fzw	19	-7.109807616	-4.551093888	-3.502139520	-2.081204258	-1.490025292
4fzw	20	0.468581409	-0.907615028	1.262106007	1.184104473	0.494740207
4fzw	21	8.071401739	8.117178230	7.527621050	7.089282482	5.344636193
4fzw	22	-12.892595375	-12.499270446	-12.251212715	-12.704714908	-13.040192323
4fzw	23	1.445854040	-0.044463243	2.563211685	0.422111783	0.880743319
4fzw	24	-10.287008171	-9.715388324	-8.221830940	-5.595879702	-3.215674648
4fzw	25	3.535754400	2.895761417	1.690447655	2.008439824	1.955866885
4fzw	26	-13.737403673	-13.210971162	-12.767031957	-12.594549138	-12.044519814
4fzw	27	-1.162836147	-0.334677960	0.242712963	1.229371264	1.990526492
4fzw	28	6.367788756	-0.945237233	-2.986589880	-1.643735452	-2.081443883
4fzw	29	-0.686494723	2.377235782	0.343392295	-0.481826762	-1.870187890
4fzw	30	8.392027384	-0.259490787	-1.416086292	-1.974760253	-0.984765137
4fzw	31	-3.800093231	0.246863930	1.835167517	2.989168337	2.771858094
4fzw	32	1.201176867	2.011303735	2.293806503	3.532462190	3.133237630
4fzw	33	-0.098868966	-6.124861627	-4.001655870	-1.841236265	-1.615796195
4fzw	34	2.965048223	2.014462568	1.621883945	-0.793011464	-0.441788004
4fzw	35	-1.527046987	-1.367821590	-1.289679000	-0.663508481	-1.757102553
4fzw	36	-11.086297541	-11.865309276	-10.933439828	-11.831691624	-12.472820102
4fzw	37	-1.728205165	2.392030064	3.308220135	1.534160351	1.305263534
4fzw	38	6.289567609	2.888260596	1.097202735	1.690918251	-0.330337986
4fzw	39	-3.788538591	-1.230683656	0.011461358	1.628406189	0.224199996
4fzw	40	-0.655655270	0.836229186	0.285479718	-0.725191256	-1.300157086
4fzw	41	0.473853276	-2.066367630	-2.842544305	-1.548167201	-1.790989231
4fzw	42	8.419687271	3.498344387	3.576597847	4.715242462	3.005874008
4fzw	43	5.266814235	2.383553727	1.370138953	0.383418391	-0.615083300
4fzw	44	5.243442811	7.275673843	2.848161880	0.702489364	0.885806666
4fzw	45	4.560687504	1.803235969	3.754539155	0.910372632	1.002549567
4fzw	46	4.868726439	-0.551798740	1.476723290	0.330161494	0.216783157
4fzw	47	-9.579603358	-11.667737484	-11.766321183	-12.267482538	-12.853067927
4fzw	48	-3.981218006	-1.303272340	-1.880036300	-2.189200354	-0.490721420
4fzw	49	11.054791859	5.778590769	2.326641725	2.393364983	2.336896370
4fzw	50	-8.238310997	-7.973593618	-7.412157712	-3.777855279	-2.479671447
