# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2axd	1	0.635834336	0.869210504	0.876076660	0.611275476	0.694208384	0.263363688	0.449481859	0.213901078	0.425393766	0.394185914
2axd	2	0.669800876	-0.239417204	-0.380870707	0.110084606	-0.128781652	0.295451909	0.423443820	0.496685620	0.355712242	0.236758584
2axd	3	-0.483582911	-0.208723348	-0.032148085	-0.358039588	-0.193667562	-1.860038525	-0.314594465	0.072341744	-0.013410344	-0.009898308
2axd	4	0.191680299	0.384978542	-0.219088503	-0.136144290	-0.310356222	0.267541374	0.306382490	-0.111963017	0.124618133	0.326335932
2axd	5	0.096786441	0.034276275	0.246321076	0.076580577	-0.030879014	-0.657063622	0.065070498	0.114539226	0.191140377	0.179944389
2axd	6	-0.883177686	-1.158396763	-0.673630422	-0.425771295	-0.156736158	-0.883905196	-0.470875369	0.042010176	0.272265240	-0.096365645
2axd	7	-0.358407736	0.343556657	0.460641686	0.157816982	0.055405614	-0.838054822	-0.877083923	-0.642685449	-0.420256997	-0.309098606
2axd	8	0.048093405	0.252593006	0.104512682	0.097265981	0.180421935	-0.304191638	-0.143064908	0.331306453	0.566727138	0.548009492
2axd	9	0.191429324	0.219587971	0.301913838	0.178890689	0.262320945	1.040533738	0.032840141	-0.152629097	0.168567390	0.343788882
2axd	10	-0.180065526	-0.733496597	-0.370128058	-0.145675064	-0.022745028	1.095864691	-0.311716830	0.086925155	0.144745536	0.054661479
2axd	11	-0.369523825	0.319090626	0.524454993	0.370294676	0.497073175	-1.968012463	-0.634145366	-0.030551134	-0.102077906	-0.162192327
2axd	12	-0.752821348	-0.009487353	-0.351865510	-0.486487015	-0.265049500	0.444023078	0.175087550	0.167460048	0.218939118	0.364825200
2axd	13	0.669829889	0.232960835	0.121001535	0.190263332	0.078398847	0.173067897	0.550352606	0.234266857	0.292802351	0.268346414
2axd	14	-0.003818464	-0.012689081	0.429559882	0.425794882	0.298492976	-1.576351682	-0.381249125	-0.035447205	0.328217534	0.105065623
2axd	15	-0.400134588	-0.748957999	-0.695543441	-0.281916593	-0.134841714	-0.909616928	0.087949264	0.013876970	-0.114945638	0.114497710
