# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1jns	1	0.425828383	-0.152925558	0.099664741	0.190920504	0.113039326	0.010181817	0.308097751	0.139632613	0.159424459	0.191005744
1jns	2	-0.138855167	0.028957415	0.050991648	0.037674888	-0.172415128	0.162719078	0.166927975	0.077153574	-0.105754371	-0.204964099
1jns	3	-0.915758416	-0.550183956	-0.319470989	-0.058103044	-0.033466106	0.114935969	-0.212966855	-0.166615541	-0.156324229	-0.060813650
1jns	4	0.001313216	0.004624639	0.361177821	0.002458603	0.037326293	-0.128119749	-0.298180978	-0.311049320	-0.148545011	-0.172642600
1jns	5	0.111365394	-0.035067259	0.016130855	0.038506077	-0.049456806	-0.020708863	-0.043002465	-0.085678276	-0.304656981	-0.343255138
1jns	6	0.643798801	0.044249162	0.000838243	0.095431103	0.008761895	-0.400642861	-0.094761615	-0.489844619	-0.288233781	-0.252497518
1jns	7	0.537506124	0.165755178	0.097663567	0.079006357	-0.037827983	-1.816844867	-1.217713764	-0.783875044	-0.600715018	-0.651746363
1jns	8	0.824820961	0.171688307	-0.054340846	-0.220392906	-0.292980965	-0.526336412	0.042486071	0.166230816	0.216507370	0.320231874
1jns	9	-0.942866975	-0.310534796	-0.202433944	-0.214826225	-0.302252434	0.415613388	-0.258463599	-0.215389941	-0.282424388	-0.362997655
1jns	10	0.299692526	0.037244687	-0.096021911	0.039558012	-0.143576006	0.322442040	0.486326462	0.111821885	0.228674460	0.150967554
1jns	11	0.012810587	-0.190377731	-0.029722298	-0.081908315	-0.104637779	-0.167321260	-0.352342348	0.046970022	0.094506258	0.160278941
1jns	12	0.227322806	0.113108976	0.064359095	0.286512449	0.145859019	-0.756126852	0.055887989	0.104780078	0.048856272	0.085582783
1jns	13	-0.024820443	0.295090823	0.487052500	0.455741142	0.388467323	0.272581791	0.427805483	0.153151852	0.011065332	0.183639036
1jns	14	-0.483471980	-0.007578420	0.092086250	0.064361394	0.031355647	-0.555827089	-0.434121122	-0.378290939	-0.405141025	-0.408496985
1jns	15	0.324338323	0.389342878	0.373392044	0.390587479	0.257794929	0.192704512	0.400054777	0.300537140	0.193046740	0.134795731
1jns	16	-0.300671272	-0.074741916	-0.669736506	-0.432514889	-0.449799583	-0.493271295	-0.080666349	0.057072481	0.071201896	-0.032173577
1jns	17	0.106710426	-0.264139985	-0.232237573	-0.162500133	-0.153660340	0.743063312	0.543624385	0.491889123	0.405060027	0.348208361
