# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1i6o	1	21.755925786	10.968846937	6.826274882	5.210375813	3.779062160	-1.188536833	-0.286494509	0.369237290	0.859108567	0.926229513
1i6o	2	11.898705282	6.091336667	4.196302880	3.250390748	2.527968181	1.062621719	0.186809151	-0.543775128	-0.576557040	-0.381027396
1i6o	3	57.123306509	29.836458467	19.343267612	14.265369351	12.028261380	-0.684709065	0.551781604	0.376555020	0.410113124	0.278290987
1i6o	4	4.026775407	1.111808320	1.554425359	0.991103208	1.347057758	2.886506196	1.854145401	0.579413263	0.675157271	0.654957980
1i6o	5	5.521102694	2.390602580	2.044642906	1.440915897	0.857261141	0.640759056	0.248152082	0.267444060	0.525847456	0.191566326
1i6o	6	9.149224505	5.173194420	4.004072520	2.656112103	2.037756017	1.315550878	1.355897193	1.184508828	1.030054297	0.779290031
1i6o	7	26.526693867	14.320525793	9.413207737	6.823157672	5.511816573	-0.316755856	0.003841242	-0.246814004	-0.588134640	-0.391530390
1i6o	8	34.799491055	17.851518205	11.950829150	8.763181743	6.764269906	0.082311885	-0.208842787	-0.522967450	-0.667997444	0.107615639
1i6o	9	77.818901865	64.309032485	53.920735057	48.358177049	45.416185151	36.890596007	32.845393349	33.335867966	33.375288276	33.159881832
1i6o	10	93.114138482	55.896469590	37.654974029	28.709252868	23.033436679	1.364493445	1.067049359	0.810457653	0.266644065	0.170880305
1i6o	11	41.950793510	21.467091389	13.765432540	10.032377784	7.754366515	-1.143376072	-0.350834822	-1.150184685	-1.315636571	-1.197637785
1i6o	12	30.458916475	15.430729042	10.427531822	7.822264982	6.204898747	1.515812703	1.292526218	0.109633116	0.312202989	0.345765097
1i6o	13	10.971503412	5.249511316	3.530190917	2.648962262	2.070236440	-2.039865054	-1.682507843	-1.197344659	-0.676951807	-0.289228948
1i6o	14	18.862836085	8.852572598	5.767777909	4.410267566	3.618332000	-0.960527831	0.296103907	-0.230238610	-0.491217202	-0.127214927
1i6o	15	23.944971956	11.966683543	7.321336769	5.157322198	3.893165714	0.954677977	1.533017312	0.708639162	1.412702798	1.035552117
1i6o	16	44.721179370	22.167011719	14.654238640	10.733423927	8.676909097	1.070845404	0.607889198	0.633561333	0.482834337	0.036692628
1i6o	17	5.194702048	1.998570227	1.528934003	1.259528003	1.272674701	0.369361375	-0.712131757	-1.014670940	-1.140083634	-0.897217948
1i6o	18	55.184524946	26.725918957	17.711916380	12.954488602	10.466110532	-3.011575660	-0.836777057	-0.705896602	-0.471333530	-0.182894547
1i6o	19	8.949226250	4.850277106	3.006258036	2.243414340	1.342303861	3.865106448	2.755100748	1.584714114	1.447297664	1.138737795
1i6o	20	4.489381750	2.238147796	1.247415490	0.688599752	0.099906983	-1.448292197	-0.841650131	-0.262549164	0.133638601	-0.017890332
1i6o	21	15.947636741	7.816733679	6.034930258	4.466774499	3.102678194	-0.308536206	-0.607388717	-0.898252757	-0.969108740	-0.578716896
1i6o	22	5.889654459	3.790718835	2.147002211	1.697639864	1.427865215	2.245370936	0.848001445	1.418604859	0.614252493	0.435198478
1i6o	23	1.160858996	0.668420592	0.352519956	0.869594096	0.494871771	3.144848111	2.426831901	1.385571369	1.193872995	0.923063739
1i6o	24	5.239402442	3.255606253	1.868369483	0.920636437	0.690624812	0.186308475	1.161745055	0.979936029	0.547468522	0.483369318
1i6o	25	10.887556532	6.142497390	4.233367955	3.198030058	2.295105366	0.412587586	-0.406019632	-0.658749072	-0.390181138	-0.519294465
1i6o	26	32.461096685	15.222057846	10.421492028	7.808107656	6.045876879	0.878493598	0.209475320	0.679430856	0.532123054	0.436106446
1i6o	27	21.656609412	11.012312550	7.404453729	4.995570828	3.440223294	-0.076082421	0.244093328	-0.751502874	-0.891949355	-0.193671701
1i6o	28	0.471735266	-0.384272939	-0.355924091	-0.808446668	-0.400450487	2.080812542	1.830260319	2.296536020	1.665229665	1.377768967
1i6o	29	18.660656787	8.607450125	5.591902691	4.388415962	3.585292415	-0.507609675	-0.308052649	0.567545233	0.187231905	0.275479988
1i6o	30	82.903680996	76.068764621	61.913165770	55.713275103	51.383055943	-1.281662764	0.018252269	-0.479033889	-0.886797395	-0.878732398
1i6o	31	18.937880852	10.398218937	7.121072298	5.057789994	3.957759694	0.364288979	0.875044781	1.098165639	1.308798049	0.859864131
1i6o	32	25.618063452	12.034301626	7.384561523	5.316718459	4.774428348	1.745204536	0.586580252	-0.300095685	-0.221029412	-0.133935637
1i6o	33	7.487362383	4.098100855	2.444704936	1.764701896	1.494607186	-1.915846643	-0.685942624	0.090892669	0.129431951	0.223864350
1i6o	34	20.834080463	10.680188266	7.425708426	5.557519554	4.307743132	-1.326121564	-0.519380928	0.081881734	0.153302604	0.471450651
1i6o	35	34.343985649	16.933839600	12.025545339	8.389059458	6.995185165	-0.035613821	-0.700977455	-0.094422936	-0.438497504	-0.499087427
1i6o	36	5.914250176	3.517330303	1.995587232	1.601684341	1.731809544	0.592773118	0.170797094	0.075985568	0.322433244	0.534301844
1i6o	37	0.281989807	1.504524942	2.131051792	1.929718273	1.742170384	1.068195536	0.120455984	0.027279119	0.009406420	-0.000741205
1i6o	38	80.731308797	62.752331245	42.631522484	32.221008921	25.933280286	3.491324443	1.506228363	1.492629055	1.069734668	1.130252907
1i6o	39	-1.308584071	-0.513320731	-0.142257516	-0.683841719	-0.856550350	-0.044735797	-0.376021357	-0.509540681	-0.159350044	-0.048825728
1i6o	40	45.108225784	22.422094343	15.510484681	11.939416843	9.747150779	1.425359086	-0.104320315	0.313797069	-0.167197182	-0.223559546
1i6o	41	5.288457500	2.453714502	1.602275558	0.960213235	0.757983257	-1.585218133	-1.654395304	-1.240843793	-1.148371479	-0.788098932
1i6o	42	39.733172602	20.335608068	12.726008754	9.917080847	8.232899281	-0.378039761	0.242646075	-0.376971302	-0.354040284	-0.416151500
1i6o	43	45.255993473	23.099690011	15.338828006	10.733770974	8.571108933	-2.769799007	-1.048445126	-0.636011412	-0.669268830	-0.216144511
1i6o	44	39.380009960	38.485042319	36.552279151	35.655448776	35.570729185	34.611570682	33.080532021	33.028771274	33.751417551	33.160780176
1i6o	45	22.008464354	11.074414463	7.707939131	5.297372879	4.337965426	0.636877870	0.310702009	0.378092541	0.208237518	0.214094481
1i6o	46	7.404753112	3.435734923	3.029964044	1.693159213	1.483136180	1.358621459	-0.340922923	-0.539542140	-0.150047099	-0.019010002
