# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4iwx	1	113.686267120	113.927903712	114.052295665	114.155234647	114.232226431	114.846540323	114.551837390	114.877259624	114.757685316	114.636200187
4iwx	2	114.742781441	114.494255483	114.484794095	114.471465182	114.538102693	0.075028379	0.059500519	0.088716670	0.079502649	0.164453939
4iwx	3	115.244969749	114.971316923	115.294451780	115.269933311	115.237129459	0.169883653	-0.120970399	-0.095252070	0.072068650	0.023374933
4iwx	4	118.718407738	119.024943650	118.627276281	118.578929906	118.160234428	122.283855883	120.121968921	119.422731588	118.640083918	119.042110451
4iwx	5	114.457568781	113.100540695	113.708208669	113.800644688	113.687035203	0.518682038	0.033386990	0.188689199	0.114844580	0.148226365
4iwx	6	113.355183901	113.918540342	114.381934847	114.390942662	114.651436922	0.434704563	0.092240951	0.109529422	0.047719042	0.197474636
4iwx	7	114.435030600	113.811492216	113.005803810	112.990641380	112.989768423	113.087272602	114.045565234	113.609781115	113.718185338	113.604134393
4iwx	8	114.246013794	114.345210516	114.652249583	114.700701994	114.570437101	115.229532147	114.855336595	114.633761991	114.669544528	114.738563933
4iwx	9	114.081657744	113.734087240	113.611930575	113.627151344	113.593375741	0.496579679	0.167949998	0.103148005	-0.001371576	-0.006854062
4iwx	10	113.491237416	114.527238611	114.410261032	114.611643362	114.804408825	-0.625778305	-0.302195039	-0.052590708	0.013763432	0.002888593
4iwx	11	112.568660578	112.649979567	113.087866014	113.349509305	113.528096917	113.206423268	112.994772258	112.862336481	113.022863403	113.217195265
4iwx	12	114.135591909	113.368812434	113.436823747	113.493957993	113.282742244	113.697559384	114.034105009	113.318044705	112.930759055	113.109474474
4iwx	13	112.876898145	113.008894902	113.314342261	113.025948678	113.195586906	0.325952721	0.223297441	0.391231510	0.272331637	0.252075049
4iwx	14	115.198292131	115.102091617	115.142312237	115.155100722	115.065353752	-0.478142271	-0.425341842	-0.216503267	-0.199319717	-0.150041389
4iwx	15	113.601294072	113.832939432	113.508459449	113.375401271	113.364823443	114.074104840	113.958169439	114.003772577	113.979441739	113.971918449
4iwx	16	114.988055364	114.884169852	114.856498939	114.776508515	114.796011751	115.826850670	115.272595813	115.209812783	114.945314928	115.039881661
4iwx	17	114.707831547	114.652722301	114.573931713	114.869675071	115.004618466	0.089174822	-0.192613704	-0.164607972	-0.084334479	-0.043715693
4iwx	18	114.318055591	113.773481417	113.792010090	114.277702468	114.389133349	115.319021913	114.921628774	115.172889587	115.129679114	114.725111796
4iwx	19	115.203913068	115.320827329	114.997101499	114.877939803	114.980978191	-0.152050390	0.217836555	0.203640486	0.088126427	0.133738550
4iwx	20	114.158558732	114.172338270	114.528981838	114.799605179	114.575436120	115.510133095	114.973286612	114.758261585	114.518442534	114.658994318
4iwx	21	115.449389350	115.182797947	115.152644408	115.137601318	114.984025323	-0.077586599	0.049373839	0.071715694	0.108856666	0.113965393
4iwx	22	115.450237551	114.857413928	114.846779414	114.769447424	114.636693821	-0.102872279	-0.085519101	0.065072601	0.066731732	0.084398589
4iwx	23	114.842286347	114.968633606	115.084055386	114.807155635	114.667643524	-0.397916662	-0.216148222	1.988550524	12.701233968	18.772250087
4iwx	24	114.613529874	114.342651121	113.820619736	113.586406529	113.626914758	0.053010647	-0.046188869	0.009767175	0.085311681	-0.031815617
4iwx	25	117.889845427	119.314874583	118.584110054	119.200279551	118.678224763	118.091665271	119.975514653	119.814316888	120.067974089	119.388098577
4iwx	26	114.440995830	114.114607460	114.162492060	114.285580361	114.360216417	-0.076851170	0.077403682	0.141602690	0.018599200	0.014065930
4iwx	27	114.681600686	114.714236047	114.813510556	115.003367872	114.907673500	114.756564677	114.233500596	114.231000607	114.031817244	114.188838528
4iwx	28	112.939107956	112.781355814	112.785225154	112.949697440	112.973019013	113.149642521	112.721914254	112.547137659	111.463628738	111.861898566
4iwx	29	114.749439010	114.915053121	114.566288784	114.374461634	114.440250096	115.459262093	115.189554448	115.093077837	115.069914957	114.775060302
4iwx	30	113.508597560	114.045477889	114.094217266	114.103092889	113.411261196	115.791072396	115.221281735	115.251784853	114.716261371	114.748936311
4iwx	31	113.501274351	112.811350905	112.459465523	112.430072905	112.366658822	44.846321555	44.806967924	44.527757160	44.243033025	44.511975517
4iwx	32	113.454095163	113.640883187	113.527573091	113.275183277	113.274617863	-0.204008498	0.225434674	0.073883956	0.084638862	0.191448441
4iwx	33	113.444461240	113.313624484	113.555414129	113.669530548	113.439177531	0.310393411	0.330005181	0.203070500	0.189432935	0.137037341
4iwx	34	111.416543257	111.916919075	111.473612915	111.754514828	112.195603568	112.327489684	112.830971932	112.931479960	113.176484143	113.369228341
4iwx	35	119.006156164	118.864286839	118.644962539	120.023492608	119.925306779	120.932515659	119.910404092	119.065659223	119.332813877	119.143590067
4iwx	36	115.720187324	115.205475301	114.708521141	114.566674071	114.722310692	-0.506295395	0.022449046	-0.094892585	-0.135343400	-0.168699648
4iwx	37	112.164400137	112.802851079	113.237397367	113.039467892	113.005057266	0.467864641	0.302947845	0.037789070	0.057760694	0.159453805
4iwx	38	114.682302846	114.728672915	114.623253084	114.481628916	114.834120742	-0.157730695	0.007909128	0.018729415	0.196259912	0.131558456
4iwx	39	115.585110550	115.385628501	115.340972882	114.812455587	114.694091071	113.859305657	114.240948437	114.851006258	114.655707021	114.609230980
4iwx	40	114.154552515	114.468884462	114.614737295	114.619781805	114.448203749	-0.157607431	0.150411231	0.012970604	0.053589640	-0.003709141
4iwx	41	115.108774720	114.606594177	114.447464024	114.682683166	114.839436614	0.199354805	0.317403232	0.384337347	0.350506991	0.339877075
4iwx	42	121.791209489	122.191024059	120.994436670	120.182157183	119.710422641	118.987501991	119.940756496	118.927580397	118.986194795	118.419003932
4iwx	43	115.203020599	115.067850548	114.824230150	114.737031015	114.517451004	-0.129303431	-0.094586068	-0.207841734	-0.153189825	-0.068427201
4iwx	44	113.292531630	112.927315424	113.089680435	113.089034656	112.998862321	0.066471932	-0.001864885	0.051995915	1.299117900	9.575874875
4iwx	45	114.381293843	114.150888826	113.985791446	114.476881874	114.784594694	45.617374320	45.106796962	45.523314944	45.638771493	45.610671538
4iwx	46	121.963931371	120.873368147	120.736998455	119.891057028	119.696484088	120.568189524	119.098827943	118.964467708	119.744251109	120.370044458
4iwx	47	114.384512600	114.184781481	114.133445559	114.058019764	114.236170938	-0.335801295	-0.138879946	0.126014693	0.195909133	0.169587472
4iwx	48	114.372343330	113.836839566	113.583415201	113.857063307	113.699098444	0.089838842	-0.109540263	0.011656661	0.128602671	0.099682484
4iwx	49	114.666621388	114.667897477	114.294925096	114.505539535	114.509789588	114.794558580	114.926534688	114.555265758	114.618014481	114.629546358
4iwx	50	114.947125009	114.101650844	114.317594091	114.064903408	114.146204684	0.403837496	0.162444614	0.068211190	0.061387930	0.046639582
