# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2yva	1	260.525530968	258.211941953	260.377055497	260.902556695	260.982455359	-0.417303555	-0.356062015	-0.169941524	-0.150221914	-0.079421110
2yva	2	262.477512737	257.235394862	256.067912903	257.533090855	256.406068978	0.154341312	-0.204484852	-0.267042407	-0.183102766	-0.329936527
2yva	3	65.851983114	45.612740736	34.233786106	25.509681722	20.421800552	0.117785146	-0.116038048	-0.049998399	-0.352096045	-0.336297033
2yva	4	257.653810484	259.108568399	256.153111943	256.149311721	256.846202723	-0.604066592	-0.420609624	-0.351285285	-0.514588995	-0.499011593
2yva	5	254.160324195	256.231518226	202.912337678	152.154479079	122.182173189	0.533096809	0.026868054	0.256098663	0.023496801	-0.019905119
2yva	6	254.849403011	254.522139784	254.943275410	255.940085655	255.594996231	-0.308691813	-0.323174923	-0.160623032	0.135097227	-0.071416361
2yva	7	260.212871639	259.395958866	258.324467351	258.038965171	257.084591330	1.692609413	0.573620572	0.469710878	0.268396088	0.087758084
2yva	8	250.862040539	254.106479030	254.873526999	254.065056027	253.444045063	0.045531689	-0.241647578	-0.122252738	-0.215675791	-0.202017978
2yva	9	261.301976143	262.451824720	262.711366130	261.050395294	259.379077154	-0.400684269	-0.596134713	-0.440562060	-0.619626352	-0.559950221
2yva	10	266.860043245	265.982133019	265.547157167	264.382512679	263.792350872	-0.774180590	-0.042593798	-0.255372816	-0.149326841	-0.154828597
2yva	11	256.453617151	257.498546171	258.307816749	256.263530689	257.153204148	1.217595689	0.008284399	0.010233368	-0.183251357	-0.453047624
2yva	12	256.682573864	257.469275506	257.924596603	257.341368801	258.878982249	1.078007106	0.137176953	-0.041315282	-0.072282843	-0.082272566
2yva	13	258.449924361	261.869776141	261.361336005	262.404492944	262.291883851	5.530489963	2.529246467	1.817961856	1.097726577	0.835074767
2yva	14	257.332400538	258.091636939	255.301006320	255.154194604	254.962647348	-0.201542399	0.090168856	-0.299487334	-0.291119256	-0.275721989
2yva	15	257.690014936	259.540225192	257.252571952	258.577961147	259.096600062	-0.130067904	-0.862433780	-0.503565843	-0.322049711	-0.445142474
2yva	16	259.100124968	253.236193976	254.376754257	256.241121980	255.858488644	-0.978689924	1.988207020	3.724781187	2.648752075	2.059604082
2yva	17	252.676300693	257.945332362	259.159118019	258.650334112	258.759462842	0.081396607	-0.029962388	-0.504154741	-0.562135151	-0.525287303
