# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1gqe	1	40.844028873	22.910493131	15.325731130	11.508271213	9.251308816	-0.122049446	0.051874578	0.036646474	-0.006744789	0.068506950
1gqe	2	5.883110438	3.139925803	2.129648252	1.596452041	1.242371049	-0.317541979	-0.094275215	-0.152115056	-0.166622763	-0.177798913
1gqe	3	61.348701332	46.708800046	31.101082343	23.378175139	18.693078262	0.130821775	0.124381797	0.108878236	-0.008141407	0.004493501
1gqe	4	48.293433009	50.359286281	47.774899012	36.773983715	29.361865725	0.524197786	0.102493633	0.088905366	0.163462477	0.158352248
1gqe	5	67.191861144	63.542870563	63.699120331	61.690285441	55.734020985	0.230620341	0.087740343	0.000865618	-0.024448675	-0.014159492
1gqe	6	13.491359960	6.924832496	4.663504496	3.453376585	2.817286990	-0.101686967	0.046897773	-0.021074511	-0.008665276	-0.006654067
1gqe	7	63.980107413	39.417546189	26.237341762	19.566257742	15.705076943	0.078334732	-0.146414668	-0.080716131	-0.050045962	-0.046972519
1gqe	8	54.515730038	54.195046208	55.991124812	46.577298024	37.250127338	0.050181285	0.065746195	0.055947240	0.017607020	0.037437499
1gqe	9	2.624614171	1.333606943	0.958772135	0.721336229	0.587649644	-0.114315636	-0.038997184	-0.035158127	0.053082422	0.050258953
1gqe	10	63.408840497	60.684246400	60.405464526	49.900195356	39.952216382	-0.342053522	-0.084547485	-0.121369996	-0.123987618	-0.096767503
1gqe	11	6.294971237	2.986883304	1.834716514	1.385398770	1.195247647	-0.159371851	-0.288807195	-0.248076474	-0.156041862	-0.084494587
1gqe	12	3.270921332	1.433956089	0.766689096	0.444845335	0.311846667	-0.156703221	-0.013215403	0.033061429	0.003579486	-0.032210009
1gqe	13	71.471300320	51.077163010	41.755749511	32.966372102	26.339433318	-0.090237768	0.067930810	-0.023156178	-0.092003431	-0.063914481
1gqe	14	63.838823639	39.266020461	27.472057110	21.039046621	17.726351781	0.291138127	0.263912984	0.139956172	0.073173915	0.081683589
1gqe	15	4.345033769	2.198814686	1.540198387	1.198414663	0.990959011	-0.133076913	-0.116457943	-0.194376802	-0.169632071	-0.147292042
1gqe	16	2.300053133	1.024839920	0.500397099	0.269769574	0.140985636	-0.035041669	-0.019663146	-0.011379512	0.040875804	0.007282848
1gqe	17	9.521614595	4.773726316	3.184053669	2.447996883	1.970942909	0.097232446	0.169519347	0.122794149	0.094415318	0.013521944
1gqe	18	62.625708039	36.522215731	24.234889340	18.135708505	14.514033964	-0.448004715	-0.254000465	-0.247678591	-0.110616456	-0.172501550
1gqe	19	11.467587077	5.681851868	3.788264841	2.824466957	2.260549094	0.019697110	-0.072894946	-0.054083507	-0.022686434	-0.040899934
1gqe	20	7.112924122	3.494746867	2.370919036	1.794036515	1.429376455	0.092453694	0.031175054	0.075994572	0.067450177	0.106774629
1gqe	21	52.588478910	38.967389269	33.029532964	29.678828197	26.425992974	0.179101398	-0.142401112	-0.171479363	-0.147429115	-0.079039865
1gqe	22	9.669584537	4.785376351	3.057876479	2.316527163	1.761109638	0.044650773	0.070209614	0.151160982	0.122543255	0.125450489
1gqe	23	64.955406404	50.769707176	33.805700486	25.353521907	20.303581363	0.187008004	-0.061140460	-0.056053241	0.022205744	-0.005351233
