# pdbid	traj	last100	last200	last300	last400	last500
1sv6	1	2.139540360	1.453216127	0.716169760	0.701678489	0.631061299
1sv6	2	-14.529656979	-14.016706798	-13.719257097	-13.736982640	-14.348330312
1sv6	3	-15.538450465	-14.417502887	-15.630355478	-16.300042996	-16.218827660
1sv6	4	0.410974588	0.677634657	0.440658242	0.661067677	-0.233757600
1sv6	5	-0.993427916	-0.286436899	0.283805490	0.464661952	-0.089147603
1sv6	6	0.905930750	0.091764657	-2.034009160	-1.359065004	-1.035934057
1sv6	7	0.732698508	0.320946697	0.019686270	-0.678517653	-0.410447018
1sv6	8	1.006140562	0.617319779	0.792951065	0.951435469	0.829659903
1sv6	9	-0.841527946	-0.723573330	0.346907247	0.203237540	-0.084616051
1sv6	10	-6.014636409	-5.342884634	-5.366335687	-5.578286796	-5.663574018
1sv6	11	-5.304470390	-7.622462291	-8.463651535	-7.924120784	-7.828775974
1sv6	12	0.141618268	-0.959731845	-0.928462122	-0.737352122	-0.407217713
1sv6	13	-37.026063126	-37.663071549	-37.288464200	-33.801313993	-32.745494696
1sv6	14	-1.466712849	-1.040526595	-0.492894675	-0.455342790	-0.212331185
1sv6	15	-14.942798111	-13.895298770	-14.266129673	-14.503782859	-14.355283049
1sv6	16	-7.220492699	-6.891976303	-7.660377395	-8.151089648	-8.155654710
1sv6	17	0.888462819	-0.086778733	-0.461817577	-0.262418763	0.139955133
1sv6	18	1.236897361	1.132713986	0.893803185	0.501163543	0.660084546
1sv6	19	0.188083231	0.173611174	0.052562835	0.424392769	0.489732526
1sv6	20	-0.091014093	-1.402050930	-0.732915465	-0.437553759	-0.548794939
1sv6	21	1.272288981	0.652186055	1.017113410	0.885380244	1.089958728
1sv6	22	-16.011801597	-16.093631147	-16.331265922	-15.444347913	-16.067143780
1sv6	23	-26.281536762	-23.124813285	-22.916592883	-23.215434726	-23.897657774
1sv6	24	-23.764328613	-18.807409861	-18.170901790	-16.783313245	-16.443562922
1sv6	25	2.439846679	1.838683007	1.630971333	1.347518054	1.370615109
1sv6	26	-12.193830090	-13.640671065	-15.621618500	-16.223835052	-15.407618368
1sv6	27	-20.858142781	-27.974282531	-29.598756597	-27.963169850	-25.130044753
1sv6	28	-1.132750210	-0.508080064	0.023635432	0.182360660	0.381646996
1sv6	29	-36.774693081	-36.090464248	-36.873087260	-37.064282210	-37.025012887
1sv6	30	-36.514877091	-33.623713161	-34.235947325	-34.412187310	-35.216291131
1sv6	31	0.109358733	1.343421057	1.239319875	0.680262418	0.398039211
1sv6	32	-6.489158988	-7.742624586	-7.651449210	-7.508372117	-7.081949901
1sv6	33	1.017694318	1.137671417	1.107054883	-0.429798646	-0.539658335
1sv6	34	1.047898718	-0.419188043	-0.010295258	0.109773860	0.245752508
1sv6	35	-6.091971537	-7.024739734	-6.712230948	-6.900258159	-7.321992107
1sv6	36	-0.539635825	-0.433222617	0.034976458	0.049577685	-0.004716484
1sv6	37	-16.752537204	-15.135603615	-15.549662310	-15.717112177	-15.743272431
1sv6	38	-0.902888538	0.029360581	0.357678477	-0.042103478	-0.108092157
1sv6	39	-0.197427451	0.583499449	-0.254297248	0.067858613	0.447164282
1sv6	40	-0.484338748	0.281210859	-1.311711675	-0.978543838	-0.709020946
1sv6	41	0.282658981	0.257147169	0.014548627	0.275355186	-0.207885320
1sv6	42	-13.563999145	-15.680463630	-16.168653157	-16.668771324	-16.387118862
1sv6	43	-35.836913786	-36.204233157	-37.172072515	-37.086030502	-34.135366534
1sv6	44	1.968757076	-0.410642175	-0.091300910	0.123180604	0.491764483
1sv6	45	-22.846275060	-23.527620067	-28.169188472	-30.382172328	-31.400322850
1sv6	46	-1.602070405	-0.715832906	-0.874415502	-0.300433931	-1.403341581
1sv6	47	0.144449498	0.312408245	0.337326970	0.293087514	0.428121233
1sv6	48	-0.790324385	0.091885774	0.388825640	0.673624856	0.577194966
1sv6	49	-6.298150562	-6.030636149	-5.999507975	-5.773616277	-6.351895463
1sv6	50	-12.475921004	-11.067349813	-12.333377128	-12.072440879	-12.002313183
