# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1eix	1	203.541341750	172.381022090	148.658841552	111.420555898	88.867760727	-0.065717833	0.743827131	0.295450873	0.128462573	0.202691778
1eix	2	142.662329296	141.008011966	95.107032659	71.380266292	57.161056979	-0.295609871	0.343136993	0.278694272	0.515474492	0.487559499
1eix	3	56.007258296	27.889418889	18.357897118	13.729111563	10.987505513	-0.888212363	-0.425214363	0.212979598	0.337310837	0.186269853
1eix	4	206.236543837	206.025832216	195.049836984	165.425156655	136.104886803	-0.724522566	-0.373646995	0.027478571	-0.258744148	-0.053929142
1eix	5	143.226116263	121.633947393	81.317476798	61.010804925	48.874985436	-0.477280108	-0.502099914	-0.175806140	-0.386048200	-0.343211145
1eix	6	83.154679731	41.509012485	27.697384408	20.920842602	16.672237242	-0.798777169	-0.095614416	-0.209975628	-0.260365780	-0.183703013
1eix	7	206.474518495	205.599443586	205.468753455	185.329837045	148.104317379	0.043413955	-0.107563031	-0.075702965	-0.155408503	-0.215609591
1eix	8	129.114074208	64.975439112	43.642029989	32.913035112	26.089297174	-0.351255255	0.049707493	0.177862418	0.277173722	0.116439873
1eix	9	140.344549710	107.850789093	71.716023189	53.680790836	42.948294722	0.381340200	-0.030842147	0.008905940	0.054775219	-0.009889166
1eix	10	143.539813653	93.479311317	68.385068282	55.775093632	48.743295532	1.044980987	0.472388054	0.566726454	0.515282057	0.369140383
1eix	11	218.192910050	212.506871081	210.096960954	208.843660676	208.120325088	0.827373000	-0.133276201	-0.201569731	-0.065374733	-0.112131944
1eix	12	140.040161285	75.280144529	50.578155482	37.861687846	30.397147835	-0.765084406	-0.945264075	-0.308415436	-0.219746244	-0.238918928
1eix	13	164.671062137	154.422249605	150.755775147	136.734684414	109.425492191	-0.245797259	0.192651844	0.078977357	0.536811277	0.661306626
1eix	14	204.320152616	180.735908895	122.818311923	92.106526698	73.776726763	-1.154060228	0.389239564	0.253088671	0.256127736	-0.134813054
1eix	15	95.411020251	47.227051499	31.042723209	22.839452293	18.170478989	-0.103845121	-0.043369112	0.140076352	0.238835385	0.202528072
1eix	16	142.962424553	90.627866471	60.493382955	45.465224940	36.267068762	-0.272817104	0.268923201	0.846719089	0.566614571	0.487309171
1eix	17	151.136312376	75.761175336	50.498374098	37.770057967	30.393110281	-0.067521432	0.202482242	-0.097147583	0.041732104	-0.057689770
1eix	18	29.332966148	14.788896796	9.554608078	7.152205569	5.787144898	-0.656211054	0.161992035	-0.145772077	-0.075000311	0.693577096
1eix	19	247.561402738	195.117258402	178.667147391	149.215741236	123.192972259	0.010788744	0.141016391	0.524400923	0.404173330	0.343997517
1eix	20	204.105172899	204.997053028	205.962932913	205.560645170	194.595088702	1.163708585	0.751568332	0.544343542	0.219147341	0.106046685
1eix	21	4.848013985	3.279273524	2.392657941	1.855123110	1.525248346	0.103549676	0.350162189	0.132447657	0.113449665	0.187732757
1eix	22	1.365478856	0.928804547	0.567184907	0.373625544	0.380107504	-1.088970220	-0.352500486	-0.227374270	-0.202289537	-0.197491943
1eix	23	116.655979481	58.625681302	39.002928893	29.410572938	23.497587506	0.726631504	0.589934969	0.495491884	0.181322833	0.184542540
1eix	24	96.498092818	48.197266721	32.274834126	24.076213420	19.294530812	0.450500675	1.782845994	1.073056354	1.026406806	0.800691856
1eix	25	204.068363414	203.677294486	203.471265368	203.600306329	203.857253290	0.571323713	0.364864553	0.124735767	0.357647424	0.358430621
1eix	26	202.564465443	173.205631805	119.763429794	89.681039448	71.955202600	0.474402107	0.386347957	0.400093095	0.185158405	0.189276498
1eix	27	143.921997885	143.044933171	142.421853442	142.794690818	127.223139278	0.728944474	0.456329233	0.186784796	0.098302335	0.035415347
1eix	28	141.374231009	142.663021008	132.859227164	99.696171936	79.757388032	0.469966819	-0.608783832	-0.252887735	0.064607964	0.081184336
1eix	29	205.656211266	175.800532247	134.834383023	101.199389805	80.979134250	0.514342719	1.630718277	0.857291484	0.426291754	0.633657761
1eix	30	142.342643840	143.503015670	143.529914512	143.604703143	141.543031483	-0.248786610	0.334585243	0.275589069	0.271044127	0.157294035
1eix	31	204.621239797	181.865534964	128.239524032	96.322246774	76.958610668	-0.156882566	0.033646514	-0.220681246	-0.231557146	0.028272757
1eix	32	12.451392306	5.823990193	3.857323155	2.769069892	2.185135235	-0.224354369	-0.326252313	0.099265206	0.095553513	0.053546995
1eix	33	144.146243500	144.220053823	144.159178708	144.116364580	144.364474547	-0.413360119	-0.221038570	-0.372072415	-0.192156292	-0.096766625
1eix	34	122.690905302	132.182720543	135.953149617	137.079812999	138.085921219	-0.485585852	-0.644290107	-0.441212553	-0.334995734	-0.338130510
1eix	35	33.379736208	17.006838301	11.281003051	8.454255230	6.736949466	0.943477155	0.310818012	0.202909901	-0.097718488	-0.066691580
1eix	36	102.405175124	51.607391792	34.582370197	26.023721845	20.903500664	-0.508074647	-0.257982263	-0.415766994	-0.355074304	-0.228871723
1eix	37	204.151904890	204.625684138	203.238064886	199.589727887	183.468971334	-0.055290918	0.287575921	0.307360651	0.501739644	0.342663501
1eix	38	141.571739534	140.763521252	121.862007588	95.685040034	80.439812255	0.410482852	0.494880951	0.369441403	0.470976436	0.245141999
1eix	39	142.738603488	94.526011124	63.033326175	47.159249270	37.711015261	-1.061196535	-0.183075477	-0.196575713	-0.205375051	-0.369540962
1eix	40	144.652034124	113.409996777	75.537469742	56.505254267	45.486400767	0.238826525	0.086519711	-0.047935815	-0.089226183	-0.003613101
1eix	41	141.553960707	108.655555079	72.404901008	54.445746975	44.091311349	0.433250007	0.962203733	0.534971630	0.258942445	0.110763586
1eix	42	143.276041365	92.725764048	61.616799172	45.951661873	36.645923905	0.785555832	0.475810127	0.279987792	0.161342879	0.249561634
1eix	43	204.038650111	204.047458381	204.687730023	205.206674706	205.199567553	-0.452592428	-0.350397195	-0.313279995	-0.243842820	-0.216167885
1eix	44	188.454995533	173.964825205	170.438471100	161.810546901	136.986188933	-0.146690004	-0.766325355	-0.685698709	-0.540781509	-0.229550145
1eix	45	166.914848783	132.212330195	88.231665222	66.212266660	52.993778556	-0.340389276	-0.298061430	-0.138493767	-0.172438284	0.023434740
1eix	46	205.871551711	204.907709452	204.618295634	204.738334873	204.985095002	-2.250789141	-1.361622289	-0.491818120	-0.381860554	-0.234720379
1eix	47	37.043116832	18.665577074	12.387012619	8.998946528	7.114477589	0.220422547	-0.029158453	-0.240814819	0.078601536	0.084522903
1eix	48	200.692243825	171.442720710	124.638931482	93.092410467	74.358165809	-1.040778879	-0.104147720	0.028061766	-0.023189167	0.061472900
1eix	49	35.472366828	17.858357290	11.595551330	8.709345439	6.940320283	0.383609063	0.115739397	-0.280796496	-0.126747515	-0.318171398
1eix	50	144.082125820	143.106336388	142.671561625	142.149503347	142.224278000	-0.731620830	-0.421176133	-0.406877187	-0.312000806	-0.207011117
