# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2fym	1	49.805762327	31.600597392	25.288210820	22.178852521	18.585152089	0.011841613	-0.305533102	-0.097444765	0.140835164	0.096261944
2fym	2	149.095871153	123.904004594	98.442119289	77.921770399	62.362837521	-0.484444165	0.226885004	0.046105072	0.018534036	0.207798315
2fym	3	29.654511555	16.851812163	11.235589377	8.406210454	6.849540384	0.080939270	-0.211179036	-0.129652578	-0.143706299	-0.209418018
2fym	4	174.822714830	133.565396274	93.462770217	73.417409508	61.427630978	0.096328380	0.228006260	0.074137909	0.224336628	0.319069097
2fym	5	90.623837453	91.714906894	91.572556768	91.503157322	90.892155274	3.537219413	3.758450664	3.740199265	3.890643712	3.787285225
2fym	6	173.311750397	172.445576365	172.738691718	173.822178058	173.182942824	0.403664157	0.059890720	-0.010341554	0.125513884	0.196871931
2fym	7	94.639058194	93.894351290	84.447847450	79.931246693	73.583129714	13.617334521	11.080371786	10.021919555	9.738190905	9.161385582
2fym	8	63.796862525	37.938328363	29.882670379	25.682905129	23.088745586	-0.475267695	-0.526820227	-0.370441418	-0.323524055	-0.198099443
2fym	9	8.922881710	5.079835206	5.492157631	8.718188755	10.622800527	10.307724947	5.760077109	6.223536750	6.696871718	8.551531143
2fym	10	76.661979628	70.909213612	68.949918624	58.525435634	49.301694146	0.297794664	0.140848152	0.296188380	0.212366198	0.413060641
2fym	11	171.183559631	172.715281454	172.881695043	172.792043590	172.831188608	0.121753811	-0.167632907	-0.136822359	0.045071545	0.170812804
2fym	12	146.529841893	117.353664498	81.001984058	62.807323889	51.771170771	0.254131662	0.346232572	0.195092601	0.254661160	0.191224869
2fym	13	85.722593234	48.174483338	31.983843355	24.126141325	19.219279057	0.216130110	0.214968751	0.298165473	0.140583972	0.101807591
2fym	14	74.786577989	50.791802414	34.410183899	25.528093087	20.407445637	0.464692036	0.167698950	0.141330760	-0.022248698	-0.053062565
2fym	15	72.285137442	48.728756176	32.578833857	24.454363542	19.443682409	0.160215836	0.257274515	0.481202700	0.264681343	-0.038735044
2fym	16	28.726371411	24.993238538	23.710263956	23.132857972	22.833403954	3.501076980	3.497256906	3.488970739	3.750959577	3.705161165
2fym	17	92.804270747	92.967400518	80.359545869	65.581609618	56.757536707	3.964612656	4.020509193	3.941388037	4.287388860	4.284368760
2fym	18	15.494408941	9.651130416	7.775034024	7.241204489	6.767852599	3.424189659	3.673847140	3.791442108	3.876463750	3.951308705
2fym	19	73.858142435	67.875873374	49.976915668	40.787121929	35.181029449	0.678127265	0.304502401	0.015151368	-0.071468701	-0.117662959
2fym	20	21.746599481	21.193638221	21.296220209	21.269854357	21.285457336	3.429286056	3.313851488	3.279924386	3.320145323	3.332056111
