# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1uuf	1	148.351730737	119.176085722	110.118418151	105.723880253	97.590447230	-0.294165367	-0.284875385	-0.083592289	0.071721184	0.170588282
1uuf	2	168.863064749	134.737656292	122.140108379	116.510036557	112.866566715	-0.369488694	0.304654089	0.118393912	0.229940427	0.230851530
1uuf	3	208.340805372	170.162791726	146.649026807	134.770162710	127.909381783	-0.428992771	-0.161237048	0.309934576	0.522183863	0.404931164
1uuf	4	181.857725752	140.337711943	125.991865570	118.864662188	114.848313867	98.855154405	98.525444092	97.945145139	98.014100539	95.827651846
1uuf	5	101.882272341	101.444196952	100.923650234	101.437306873	100.798912614	98.344569897	100.288184094	99.140893414	99.438575443	99.694035380
1uuf	6	104.469483219	99.964491540	100.009172456	99.785415656	99.962775498	-0.106889363	-0.201728503	-0.199204167	-0.010801496	0.143580673
1uuf	7	144.899501544	112.919117803	108.507570490	106.474388344	104.777805432	0.826140146	0.656313099	0.723810146	0.568625133	0.407357224
1uuf	8	207.267723705	178.559981783	152.428047025	138.559009457	131.053030917	0.758422115	1.222281342	1.266749776	0.110396439	0.069134200
1uuf	9	206.669668852	156.632856452	138.101270994	128.308439127	122.846311909	0.771579030	0.288385645	-2.353337483	-1.547970859	-1.314924191
1uuf	10	206.853925321	198.280078929	165.448220000	142.048388825	133.814663512	102.864155705	100.134746078	99.765894283	99.633526172	99.555490455
1uuf	11	191.344369208	154.377592218	134.918448872	125.122052018	119.421121321	0.188776982	0.695055577	0.643144589	0.515598343	0.623789409
1uuf	12	209.012893331	181.318377656	154.439681258	140.155898523	131.485682215	-2.861599170	-4.073148822	-2.687749863	-1.843268505	-1.338348854
1uuf	13	167.961990665	159.035463405	156.602287262	154.434778681	154.322118362	101.930371629	101.476589031	100.425476233	100.362256240	100.176658922
1uuf	14	170.730656649	160.812288681	157.761668118	148.487762408	139.213759490	0.646227503	0.543665580	0.620098058	0.462776543	0.491430547
1uuf	15	137.237900113	118.063214879	111.743555893	108.348716868	106.796374340	0.021163831	-0.092455918	-0.083572735	0.028798371	-0.045267470
1uuf	16	106.648684484	103.719287036	102.289630124	101.199952608	100.238517876	-0.172480670	0.124924693	0.119027651	0.157788628	0.185960600
1uuf	17	165.390733514	128.939086876	118.772832217	114.076037922	109.937342189	-1.466706796	-0.452003695	0.009841350	-0.007167906	-0.745728457
1uuf	18	149.350685172	123.672188729	114.790749236	110.952494893	108.769463213	1.416459374	0.863198517	0.771553947	0.825514207	0.799416821
1uuf	19	110.269432573	105.098005909	103.140406496	102.355609023	101.846597569	0.676355518	0.555830365	0.429664145	0.524067537	0.373447707
1uuf	20	164.426495448	129.517554192	118.913568687	114.064813642	111.200519595	0.608347904	0.210786278	0.421354119	0.318741125	0.347924513
1uuf	21	206.323219876	206.613634309	207.627187779	207.275048573	206.862736445	0.142698425	-0.079493394	0.155632134	0.156053310	0.235203181
1uuf	22	208.120724839	200.102009954	165.291651256	140.302025340	116.797183347	-0.173910966	0.097461185	0.216146298	0.294460075	0.322708273
1uuf	23	60.219629831	80.098041093	86.913411967	90.446382061	91.464775583	0.219637645	0.377919751	0.166646679	0.174710001	0.085651862
1uuf	24	208.801130608	208.922547518	188.591179834	166.620848935	153.724503223	0.324680853	0.594625397	0.676207735	0.667037888	0.518492035
1uuf	25	205.454963145	158.000064994	137.924682231	128.338350054	122.407950028	0.436020996	-2.196115108	-1.141079017	-0.883629048	-0.670936620
1uuf	26	128.205107883	113.326455614	108.764373846	106.292940095	104.507693680	0.586803398	0.832979618	0.579264711	0.425539286	0.450084613
1uuf	27	135.108053283	116.430743956	112.018513087	108.746340803	106.164400164	0.666062953	0.049224009	0.011681523	0.165196546	0.155596176
1uuf	28	123.443116254	111.946623857	108.633337861	106.496802051	104.559823060	96.578474136	97.820894379	98.979151719	99.549392796	99.116509035
1uuf	29	136.884090621	117.595802906	111.390395777	109.083419981	106.480176372	-0.103764435	1.051731343	-0.069112377	-0.296928785	-0.159339590
1uuf	30	111.550835698	105.482070159	103.572269289	103.073542748	102.468602892	0.107289946	0.380104096	0.436131402	-0.889101755	-0.704184083
1uuf	31	205.454847028	179.412111481	153.191083410	139.531923786	131.371438854	8.643013837	6.935828263	6.716908407	6.379510612	6.052553299
1uuf	32	203.205962215	165.923553193	144.087443415	133.168978192	126.620822055	95.259994045	98.595307671	98.401349451	98.675015367	99.128984023
1uuf	33	101.211605359	98.236719673	99.004081712	98.962361725	99.321231279	0.586710905	0.425517038	0.403470140	0.278438023	0.240722858
1uuf	34	115.973827718	107.202435229	103.571358126	102.015758001	100.144462212	-0.317049837	0.011889768	0.253639631	0.317970905	0.535844129
1uuf	35	100.426058196	101.007970077	99.929458991	99.994838905	99.432893474	0.819525739	0.365490432	0.869559269	0.769839545	0.722431984
1uuf	36	207.608286456	208.012004210	189.090348164	166.307697267	153.460626154	0.373775276	0.617941739	0.413145416	0.224548878	0.186187283
1uuf	37	208.163158478	182.824984592	155.040587464	141.804608987	132.900044197	0.127261569	-0.699987117	-0.382842624	-0.220249744	-0.111875456
1uuf	38	135.969013758	119.276959002	112.167045638	108.362383966	107.169409222	0.283877772	0.935501791	0.807317375	0.825146824	0.564334022
1uuf	39	186.949282935	143.680740578	129.628621944	121.694893581	117.691466457	-0.079702436	0.329166892	0.170131855	4.804734910	23.297419132
1uuf	40	188.334038545	143.286204082	128.792955814	120.572701096	116.119787657	-0.013446608	-0.029963514	0.257342787	0.275382287	0.250209407
1uuf	41	112.865005318	106.140118561	100.505954043	99.731780862	100.315046598	0.201592634	0.523681663	0.652024395	0.547119133	0.763188656
1uuf	42	197.235461788	161.057332713	139.586564891	129.487894597	124.249364345	0.038166670	0.792577696	0.505109073	0.339413552	0.327377812
1uuf	43	161.211217258	130.117950310	119.394180028	114.676181417	111.242930239	-0.045838628	0.022870210	0.568367800	0.359222375	0.319314822
1uuf	44	206.575332462	163.302217662	138.046183242	105.771652722	84.618023337	-3.245750285	-1.746077414	-0.752716144	-0.249009617	-0.082187130
1uuf	45	149.968681535	121.408932681	111.356262321	106.923996421	104.061978280	32.709438512	32.585967251	32.392130512	32.132770031	32.281055129
1uuf	46	120.205853434	108.056783381	104.485616228	103.883087718	102.773914818	-0.139610327	1.065343934	1.130994127	0.969427163	0.758644943
1uuf	47	176.309205988	138.397761005	121.921807533	115.774858302	112.692781580	0.153825814	0.029545110	0.057036741	0.336207996	0.293313956
1uuf	48	138.218782177	118.834977977	111.881329186	108.338514643	106.556387492	0.364581388	0.743330959	0.581766585	0.434933165	0.312520356
1uuf	49	127.683900488	112.455601316	108.228031072	106.060997543	104.585697249	1.088739451	0.741167320	0.482529137	0.709296809	0.602356679
1uuf	50	207.038510808	183.224590641	170.938058365	164.685449320	148.137755650	0.585902471	1.084198011	0.989433368	0.750138332	0.588597813
