# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2jo6	1	-2.558746135	-1.460690774	-2.190699873	-1.533363350	-1.460679520	2.013143016	-1.191585534	-0.694156648	0.385886885	0.363967003
2jo6	2	-6.673240575	-7.626281619	-8.480925194	-9.216683521	-9.199305734	3.584644300	3.640675945	3.669322834	3.208180772	3.689298149
2jo6	3	2.023927117	0.920466562	1.274184965	1.267991039	0.925357100	-1.163595980	0.285594621	0.185433778	0.595090820	0.983469808
2jo6	4	-16.348122266	-15.983774323	-16.016594035	-12.689826540	-10.102214469	-1.660413077	-1.715746685	-0.981803139	-0.669978614	-0.892049077
2jo6	5	-15.943123592	-9.277078105	-6.544575456	-5.446397726	-4.687751751	-0.729451645	-0.270715740	-1.579150802	-0.941707218	-0.825774149
2jo6	6	-14.494089746	-12.086266846	-12.987905465	-13.506503800	-13.153858289	0.731236082	2.226410892	2.623182964	2.548646834	2.313818353
2jo6	7	-11.242502997	-10.974864634	-10.528044600	-10.456341736	-10.733262617	-10.681301186	-10.512726730	-10.235498898	-10.432197629	-10.470819336
2jo6	8	-6.221431470	-6.881295543	-5.876596130	-7.671461114	-8.913910211	-11.434669839	-11.630061619	-11.511420902	-11.476319256	-11.297266578
2jo6	9	0.139339615	0.461582745	0.887248034	0.805265026	0.331125649	2.457423880	0.413429183	0.108307751	-0.104090018	0.170831223
2jo6	10	-8.404131282	-12.445407393	-12.265102442	-12.033408387	-11.407959862	-10.980549375	-13.185431565	-13.018819832	-12.279546297	-11.929980649
2jo6	11	-31.800017044	-32.414710989	-32.594961702	-33.079595598	-33.823569331	-13.064611098	-12.227305795	-13.041671548	-12.349190129	-12.084810267
2jo6	12	-7.472319570	-8.235966776	-9.122726695	-9.044698322	-8.891336028	-15.109003493	-17.282637597	-15.172925891	-15.301525810	-14.736326072
2jo6	13	-9.445234908	-8.907474346	-9.250278515	-9.024346822	-9.198803778	-1.400106948	-0.771234916	-0.296201914	-0.389446502	-0.152666877
2jo6	14	-9.032193896	-9.697904935	-10.059176321	-10.753490965	-10.748488622	-10.867194351	-10.785801387	-11.799956150	-12.054537902	-13.415834559
2jo6	15	-27.744897583	-29.833166082	-30.592511930	-30.136726775	-30.478381279	-9.420148836	-10.164756620	-10.257680296	-10.049124567	-10.445522642
2jo6	16	-1.427215083	0.733143238	-0.662463693	-0.523702938	-0.592230168	-0.134356103	-0.624005559	-0.409297876	-0.067712251	-0.498646104
2jo6	17	1.874669203	0.998701094	1.335924583	0.947286644	0.440536112	1.345271636	0.789412110	-0.634797940	-0.718718358	-0.981790992
2jo6	18	-12.283878951	-11.839473293	-11.822648416	-11.599160808	-11.345209307	-11.503406512	-11.701784952	-11.990744245	-11.727619233	-11.345880099
2jo6	19	2.743152734	0.160728730	0.840675614	0.913069724	0.784292831	-1.497320342	-1.872141167	-1.212090158	-0.462072835	-0.258908718
2jo6	20	1.469496350	-0.015622693	0.683394671	-0.023581832	0.689499372	-3.614914938	-2.498521498	-0.701437537	-0.454321734	-0.489698625
2jo6	21	-1.710856794	-1.459368073	-1.628574555	-1.539490925	-1.784662635	2.100939780	1.205701477	0.592667678	0.831056194	0.536049656
2jo6	22	-13.754802680	-14.896283891	-14.864838452	-14.827673061	-15.091991672	-30.367724022	-31.271162945	-31.070420243	-31.041447422	-30.925011607
2jo6	23	4.766996563	4.933968383	4.366757866	3.961706803	4.009795410	1.634177910	3.643943476	3.822821582	3.435816003	3.650836630
2jo6	24	1.960929805	3.531099517	3.561706873	4.004654061	3.874543429	-0.738517984	-0.950570975	0.715666064	0.947459244	1.362249164
2jo6	25	1.479898532	-1.597807977	-2.563018740	-2.605522368	-2.838095466	1.328928008	0.906633470	1.253767624	1.345176122	1.125263438
2jo6	26	-6.480118398	-3.639255979	-2.679193847	-1.829725592	-1.236121652	0.217758033	-0.010525110	0.064309797	0.654196636	0.770511278
2jo6	27	2.368995626	1.527249769	0.794056207	0.032825200	0.213889649	-10.409905620	-10.744079932	-10.764959482	-10.681993478	-10.514885342
2jo6	28	-13.662938621	-15.109163397	-14.626571053	-13.911076816	-14.472864334	-13.053821138	-14.233623205	-12.507209079	-11.799149970	-11.830119281
2jo6	29	-0.273912067	-0.032335022	-0.379228702	-0.238425927	-0.801069550	3.234863191	3.412069007	1.740959338	1.430076037	1.188932268
2jo6	30	2.293882322	-0.089695744	0.394403903	-0.272348803	-0.266416059	-4.631369027	-1.970844031	-1.329667616	-0.331885954	0.181861213
2jo6	31	-17.451505977	-16.017573412	-15.265085336	-14.901474506	-14.032598286	-11.806205009	-14.242578836	-14.470287330	-14.867761218	-15.252411982
2jo6	32	1.818734738	3.354872511	4.322651588	4.415402781	4.259935887	6.574923926	4.724828042	3.246800199	3.616366338	3.046397092
2jo6	33	0.937462342	1.246212984	1.409667856	1.894224813	2.155860201	5.879099476	3.706883165	3.453171970	3.090279014	3.355549350
2jo6	34	3.081970385	2.256769619	1.915101483	1.529382599	1.827049041	3.462764149	3.195849844	2.559497331	2.058363333	2.224748409
2jo6	35	-0.030137235	-0.442759057	-0.873368098	-1.250811206	-0.799143398	0.369143100	-1.090836005	-0.826628983	-0.720041245	-0.755628091
2jo6	36	-6.776707979	-10.213453836	-10.903219820	-11.659265206	-11.048624045	-10.934395102	-10.422180682	-10.654470256	-10.390032258	-10.288406725
2jo6	37	-17.573225711	-16.604312751	-16.447430455	-15.597788573	-12.656855275	1.601354515	1.825413116	1.749089747	1.068757673	1.192005177
2jo6	38	5.076930080	3.847809003	4.077901704	2.659043868	2.160042851	2.992390285	4.597579971	4.775236022	4.655234921	4.008423756
2jo6	39	-23.270725287	-27.234246266	-28.574504921	-28.472928550	-28.879793375	-10.901375030	-11.296115971	-10.855787130	-10.787545020	-11.158347259
2jo6	40	3.000333739	2.373843525	1.673166742	1.738157184	1.635791574	-2.155900769	-1.956330307	-1.322030145	-1.273765561	-1.069440270
2jo6	41	7.009762158	5.795088094	5.908948573	5.145824299	4.996419822	-0.504152932	-0.810539383	0.318267547	0.642012354	0.872114546
2jo6	42	4.241778554	4.845365676	4.484330841	4.527746264	4.380366636	-0.651141622	1.748568814	0.891387073	0.966961388	1.376567631
2jo6	43	3.473664576	2.735135604	1.825141687	1.651562550	0.821174815	-0.572815396	-0.798560584	-1.774366340	-1.952938693	-1.612598919
2jo6	44	1.584837531	2.357406025	2.289552109	1.506586465	1.435244443	-11.706780407	-10.903654670	-11.036370526	-10.946361717	-11.163580650
