# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1fui	1	121.752085749	108.987436095	104.510419162	102.801148119	101.493357401	99.437024622	98.797071481	98.110070473	98.424764816	97.788514901
1fui	2	181.814704433	182.666691358	181.818901864	181.414051198	182.197921875	29.387559453	33.366261558	34.986436484	35.580356307	33.596388712
1fui	3	199.630267522	198.806238437	198.893954117	199.155611590	198.914620549	103.687395162	104.421391797	105.221500242	106.087415923	106.468832398
1fui	4	97.250525158	97.012308687	96.939225181	96.045926367	95.398471041	90.238023784	92.080845192	92.039170211	92.302949347	93.080457705
1fui	5	102.024138527	102.104920153	101.972196065	101.752696724	100.318980870	93.581791655	92.700751362	92.208697395	91.925026616	92.346186735
1fui	6	94.795094318	95.679466925	95.443956189	95.765752439	96.118180580	17.300427365	16.252762152	16.015184280	16.217506118	16.296912197
1fui	7	189.103596743	187.773544628	193.634687869	193.001038926	194.472326344	116.723546254	112.341859043	109.252160911	107.733330906	107.089268082
1fui	8	79.891084891	74.258321967	81.664933253	84.471966927	80.357650691	15.671355005	15.604747387	15.897297569	15.876725147	15.924871612
1fui	9	119.478522017	110.687436833	107.482620992	105.716329821	104.834385327	87.902556235	88.184527607	89.900663782	89.132843691	90.006088670
1fui	10	112.422943271	102.845938799	101.012509318	99.446647428	98.944460878	16.371947258	16.161222088	16.250049871	16.286824685	16.195652349
1fui	11	128.172135295	112.502152132	107.252752223	104.072526203	102.031520973	16.063843259	15.728901796	15.705745058	15.672811739	15.598977055
1fui	12	149.198299543	121.544388222	112.706915976	108.478201748	104.996270145	16.202596495	16.059068667	15.880043475	15.860694415	15.778128889
1fui	13	104.079578992	98.988093242	95.669564708	95.223425896	94.906129158	93.097862552	93.417487064	93.438540498	93.234731863	92.828629675
1fui	14	106.071418223	102.122366643	101.249177383	101.214978374	101.506579367	15.108844298	15.400309884	15.505806872	15.304880468	15.290556914
1fui	15	104.085354858	101.755982056	99.309035809	100.080350891	99.698430405	97.246365725	95.433369578	95.409981639	95.096949135	94.514537386
1fui	16	113.825563374	108.362143885	103.045228218	100.452971366	98.655548615	93.411220503	94.898774742	95.091110418	95.002765621	95.077790159
1fui	17	109.865657970	103.631579089	94.256412832	93.321192110	94.622976581	98.513557856	97.305324415	96.975751549	97.672980907	97.193285945
1fui	18	113.705196718	103.682519778	100.448616320	98.913520583	94.130075029	15.099393696	15.263677259	15.299458218	15.254299448	15.314188019
1fui	19	140.693528580	119.898832978	108.801198995	102.138570540	98.191506685	2.718857290	2.870751725	2.745001533	2.856002167	2.794275528
1fui	20	198.305053494	199.904688876	200.156423184	200.932693513	201.200133273	112.861181186	112.295357314	108.763224190	108.671602454	108.509733155
1fui	21	107.145716785	96.757671135	92.498583148	89.829843921	88.521299414	79.917786982	80.173778561	80.844711943	81.547347512	82.051163255
1fui	22	130.626318737	117.355487575	112.560927919	110.751699259	109.119813726	94.745395375	95.300919909	93.742697755	94.105491152	93.689367499
1fui	23	177.714350244	141.728981075	126.688908757	119.608855106	114.800643575	96.789518845	97.838423622	98.706852598	98.647777054	97.989282690
1fui	24	177.460992051	153.863245729	135.081606829	126.546515900	120.925425468	96.456885440	97.388370746	97.234421849	97.802084006	97.504509203
1fui	25	97.431933680	95.587489683	95.212883127	94.424567247	94.719637939	15.222330111	15.358498584	15.315137454	15.411113119	15.499181735
1fui	26	117.783897048	108.273950672	104.979719732	102.899817310	101.049637080	98.254884814	99.278281911	99.414251649	99.411561034	96.147155692
1fui	27	154.544264945	153.845777443	158.075506237	145.527472684	135.658024657	13.863644746	14.397838932	14.608047494	14.521574579	14.494226342
1fui	28	102.960205165	100.347194344	99.411153754	98.353881383	97.766861889	15.526928684	15.441704495	15.532689836	15.506388734	15.609744112
1fui	29	99.564714092	96.452414790	95.538503842	95.310445620	93.828564632	89.563609789	91.844803762	91.706012918	91.992865679	91.845220633
1fui	30	183.683203674	189.983136867	179.136679088	160.367691703	148.591362828	15.656907178	15.605107898	15.368290164	15.575553921	15.538653294
1fui	31	167.659833554	167.640939591	167.798897601	165.768176810	165.314399234	118.859077746	116.660204929	116.316001933	113.153904906	111.566159313
1fui	32	181.606778705	172.146253216	163.188637271	147.890200518	137.005779232	96.997774107	96.478372578	96.902447411	97.114647044	96.805450865
1fui	33	94.509418420	89.890250335	91.029708077	92.112260549	93.313244958	91.248991741	93.739122335	94.737647694	95.348842612	95.536681231
1fui	34	118.847822170	106.810287463	103.860585109	98.985833296	96.380308219	16.120027068	15.430783401	15.475554542	15.499445425	15.409286598
1fui	35	167.540605032	169.732727602	169.831565753	169.783288084	170.655958028	167.969871538	167.708597627	169.272320787	168.337758624	168.578551679
1fui	36	92.596390030	93.254170805	95.049062354	95.286216396	96.286762425	99.116423845	96.476238384	93.600962466	92.231748995	93.290106923
1fui	37	201.367733962	201.057046991	200.557399667	199.721151760	199.388638099	205.462509861	203.661986984	202.492637437	202.008120396	201.371652702
1fui	38	101.112894395	97.864036448	98.659657501	98.140906001	97.454055699	14.800661159	15.126716276	15.228661180	18.958992833	34.065816466
1fui	39	204.029926804	200.559822127	199.550306765	198.780483095	198.219645263	204.050511256	202.879269978	203.367159847	203.560906874	203.458762405
