# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1xru	1	21.257385766	16.611813368	15.259525196	14.674668905	14.243247494	13.014390212	12.816672805	13.047163428	13.038441230	13.330203017
1xru	2	57.327988980	26.907646273	15.287424267	9.103645822	5.475666823	-7.692712634	-8.868673359	-9.338263917	-9.377732594	-9.535329995
1xru	3	8.408844374	-0.962400638	-4.132157938	-5.777645902	-6.573077446	-11.780586594	-11.146370426	-11.306823195	-11.209005354	-11.069961294
1xru	4	42.043052599	21.287540465	14.476693426	11.091678261	9.515198298	1.027722998	0.297534673	-0.085741903	-0.210393122	-0.026510399
1xru	5	33.375050588	16.942546184	11.305687661	8.334287945	6.630503152	0.381608886	-0.461008535	-0.274063838	-0.550819488	-0.073836876
1xru	6	69.883793600	62.174954615	45.785715849	37.489567631	32.699195503	-0.738052878	-0.895552275	-0.645905034	-0.598936524	-0.295365200
1xru	7	32.243940944	26.071730849	23.477090307	22.302267627	21.623670275	8.677411774	8.595636324	8.174972997	7.931919703	7.721920808
1xru	8	45.166716897	23.526759804	15.843658641	11.668785831	9.390402957	0.608052236	0.324060357	0.470435597	0.440423468	0.408680348
1xru	9	75.385116227	51.443682711	34.417860185	25.897363418	20.623583564	0.381051716	0.266692224	0.473037002	0.477705451	0.578148107
1xru	10	80.351258248	57.742597804	42.791206353	35.265944224	30.791704094	12.496208790	12.723867118	12.620109239	12.543354516	12.531190864
1xru	11	59.212637812	41.446974051	24.034271385	15.703939523	10.445214275	-10.991289121	-11.416338717	-11.731990777	-11.105914806	-11.049897442
1xru	12	22.276805930	10.964308723	7.284417354	5.451153068	4.374746797	-0.291509576	-0.075919924	0.069662068	-0.086291621	-0.189116005
1xru	13	22.248851375	10.409716311	6.935403227	5.258561799	4.146136000	-0.535099988	-0.109030787	-0.148181752	-0.032162575	0.070285768
1xru	14	69.632246030	67.252768786	48.117772112	36.004038635	28.854284361	0.521469592	0.312312574	-0.047516031	-0.007203440	0.216840732
1xru	15	36.023344890	18.555614792	12.095521284	8.993885724	7.164296731	-0.344390802	-0.695050171	0.094679353	-0.090480698	0.052385690
1xru	16	140.985443356	105.468792146	82.991308361	72.590637798	67.024152576	-28.814589187	-31.177511756	-31.181328254	-30.563995887	-30.325865228
1xru	17	42.664138000	21.919034788	14.726841939	11.021213714	8.881086818	0.437477226	0.078280005	0.325970482	0.215323898	0.039748726
1xru	18	63.381878157	41.223770632	24.620397303	15.717328803	10.464297328	-11.006544914	-10.120631891	-10.151522465	-9.835921122	-10.127850577
1xru	19	51.387263247	31.687646275	25.127574975	22.139015433	20.397908295	12.722191515	12.686138014	12.527584749	12.528189901	12.332954427
1xru	20	10.118202997	5.368782360	3.837705122	3.238390123	2.540048628	-0.267112405	-0.013869117	0.140311342	0.213392255	-0.006219256
1xru	21	20.654838290	10.062113620	6.380048001	4.922054444	4.011382164	-0.935255884	-0.237285987	-0.220997773	-0.315003813	-0.251291306
1xru	22	63.839505680	32.049244741	21.293144143	16.013583346	13.109049505	0.500487165	0.957099565	0.937936527	0.761778327	0.577565499
1xru	23	59.468362297	48.895082890	40.315833175	34.655007388	30.496183877	13.759058545	14.503392013	14.148151715	13.560957898	13.535598966
1xru	24	64.450022783	38.823182844	29.567332385	25.333391420	22.634006230	12.307170270	12.709900340	12.605939939	12.663605601	12.525963696
1xru	25	21.051732381	16.744022679	15.379257740	14.706519656	14.397126645	12.543993301	13.145155927	12.610506793	12.515438619	12.499651495
1xru	26	63.788362409	38.104863528	29.694873714	25.380133649	22.807359683	0.489193751	-0.069198591	0.096018039	0.138296626	-0.092466335
1xru	27	38.681202115	25.783438655	21.318640403	18.995705413	17.755335061	13.125707515	12.768141470	12.951534520	12.803555796	12.679100032
1xru	28	16.913331294	8.820890816	6.104200136	4.967476267	4.087296577	0.505771541	0.521139784	0.039598411	-0.034342890	0.131863290
