# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2id0	1	64.809830651	68.421029548	68.592843959	71.020654068	72.046014008	15.677180741	16.305506495	15.912413444	15.784622017	15.758850452
2id0	2	87.522447788	81.880839053	80.617612579	80.955576487	80.346795359	74.900245800	74.947421864	75.705064264	74.428338468	74.441097777
2id0	3	87.123266458	87.438837321	88.590747425	88.673370924	88.645605025	12.947284563	13.260641359	13.717577324	14.260797087	14.538284997
2id0	4	95.980407510	87.219994510	85.302545875	82.129823407	79.082046624	16.942853149	16.471505650	16.292024706	16.366528060	15.783405339
2id0	5	85.700938555	86.379899219	87.071761052	84.426296089	84.196702636	44.551012235	45.240660972	44.683381131	44.744361141	44.812483477
2id0	6	96.007694516	90.787113940	86.477908064	83.838395505	83.699583695	0.359617059	0.142400977	0.079490452	-0.031633704	0.154579021
2id0	7	87.667756989	86.243544429	83.764012512	83.198014400	83.197559258	15.948622798	15.784262314	16.229706981	16.046585579	15.839962423
2id0	8	92.562200518	82.642060027	82.788073187	83.914361681	82.841588065	9.549881572	8.848445126	8.817489463	8.418244043	8.126898297
2id0	9	84.246724840	85.156133302	83.371730923	84.296789355	85.192706165	71.031711997	72.038434745	76.482887092	75.808857043	76.222747573
2id0	10	75.249033075	71.747565289	72.808351024	73.788526800	76.255579214	76.149868087	75.628249423	75.987460651	74.996572351	71.812172325
2id0	11	83.655862742	80.001108264	77.553509795	78.016054494	77.902568494	14.881399622	14.886153467	14.966983307	14.276890049	14.044595568
2id0	12	94.926114971	91.370523854	86.207430252	84.107519260	82.460652410	9.857122617	8.683856076	8.820730866	8.759667147	8.837431003
2id0	13	90.453329426	88.917515167	86.612633271	85.868285769	86.099905035	14.680362113	14.990486954	15.102187368	14.583773338	14.693367746
2id0	14	81.795567972	83.182834642	82.308103157	81.055787090	80.477826645	74.435383638	76.447391910	76.406631406	73.358524641	74.241578332
2id0	15	82.327892191	65.995195077	62.040651480	59.129993999	55.952880973	71.371723229	73.104841715	75.065416827	77.998656888	79.166677985
2id0	16	89.747692794	88.841956615	83.888099867	82.352922909	79.543123334	0.207858726	0.062190458	0.197651695	0.378366550	0.657092877
2id0	17	94.454435001	87.873021053	83.405295391	82.281101175	81.113142192	79.272508459	75.661063848	75.725207854	74.507392511	74.799008293
2id0	18	77.642483113	75.959409583	73.602684097	73.547717212	75.540263463	43.254114669	45.681220555	46.581147852	46.285060198	45.580871042
2id0	19	88.536070327	83.172447201	79.642637879	79.101937997	78.443164011	13.901286071	14.936804580	14.718586635	14.579891009	14.836599413
2id0	20	17.432739400	15.231639626	16.082818884	15.434721465	15.380813176	0.900321918	0.043887057	0.528446273	0.608234049	0.585176371
