# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4fzw	1	-3.478488433	1.189630672	2.333390252	1.843221225	1.539783317	-3.798220435	-2.483081939	-1.691733695	-0.777864777	-1.374296058
4fzw	2	26.892304076	26.861537602	26.866176036	21.056337275	17.209080836	2.516741288	-0.985515143	-0.790340275	1.106936677	1.958806401
4fzw	3	26.381593161	26.547101634	22.044993846	17.146518715	13.402194058	2.848152682	3.808106989	0.719001925	1.019083966	1.731010618
4fzw	4	27.013354132	26.969404289	26.757760276	25.302135149	18.925812688	-1.793266154	-0.921383295	0.357236534	0.296336001	1.412415271
4fzw	5	26.722998763	16.631746509	13.218974380	9.886034275	6.984475670	3.239852649	3.836142070	3.227242288	3.960767681	4.101168929
4fzw	6	1.627862125	1.697791778	0.138789754	0.733751194	1.539103970	6.338626372	4.329047254	3.132497192	1.875832754	1.107032477
4fzw	7	9.645188103	2.208838644	0.374901636	0.743039675	0.589942501	2.294495833	2.122210975	2.313382615	1.904398298	0.531107133
4fzw	8	-7.936507513	-4.195652227	-2.929244187	-2.503873957	-2.094912553	-4.228080527	0.977936664	2.143612717	2.653796852	1.926728911
4fzw	9	0.316688993	1.675449242	2.688698342	3.431865992	3.242535104	2.593310478	2.988660391	2.681710560	2.123297070	2.878562763
4fzw	10	-3.499034141	-0.814807073	-3.045880308	-3.435700526	-3.001582274	4.170572861	0.894900786	0.212280815	-1.218878258	-1.319090169
4fzw	11	3.718473312	1.855475832	2.833985846	2.998813521	2.278294868	-8.331325927	-5.590776522	-4.532686629	-3.572186978	-3.718989766
4fzw	12	1.876367673	2.100090647	2.908574640	1.351296895	-0.208722633	4.117117880	1.812023492	1.074264707	1.314722143	1.731722535
4fzw	13	-1.829237588	-0.578941255	-2.828828475	-2.221978922	-2.295184368	-0.350612846	-0.138557871	-0.180405111	-0.748939301	0.561742083
4fzw	14	26.834536035	21.434470876	12.942050384	9.208057515	8.154596425	-2.945842166	0.657978750	-0.343778771	0.288409498	0.567400509
4fzw	15	6.121441209	1.647554339	1.932003997	2.114214825	2.323986284	-2.465673843	-1.278235236	0.804010400	-0.166138911	0.738249107
