# pdbid	traj	last100	last200	last300	last400	last500
2wiu	1	-74.129887429	-73.858939048	-73.628911012	-73.707385021	-73.721225020
2wiu	2	-0.239115877	0.281281669	0.347357208	0.541606093	0.396870225
2wiu	3	0.540032601	-0.070940026	-0.052229260	-0.184159079	-0.251141524
2wiu	4	-8.782706477	-8.911437957	-9.038802365	-8.991790199	-8.937542670
2wiu	5	-0.097302339	-0.212618343	-0.114089630	-0.076783348	-0.022441309
2wiu	6	0.485150825	-0.021323146	0.055474190	0.046603826	0.087646708
2wiu	7	-0.358539415	-0.267292542	-0.040781062	0.082089966	-0.035046243
2wiu	8	-44.063483868	-43.762601061	-43.440376313	-43.345186678	-42.474151452
2wiu	9	-0.922449280	-0.314799730	-0.055987657	-0.086219490	-0.058386793
2wiu	10	-18.494777646	-18.311762351	-18.486368008	-18.491335148	-18.471554143
2wiu	11	-39.490739348	-41.082268406	-42.052309605	-42.632952030	-42.925894134
2wiu	12	-12.980928973	-16.517497829	-19.322325425	-19.843297782	-20.196552406
2wiu	13	0.053948291	0.169106055	0.257711382	0.120311802	0.057075157
2wiu	14	0.250871882	-0.169545737	-0.191584617	-0.239223840	-0.160282019
2wiu	15	-34.535922624	-28.649471935	-26.294478293	-25.778821618	-25.140728950
2wiu	16	-43.584273838	-43.314053300	-44.207370860	-44.438040291	-45.436026534
2wiu	17	0.256909573	0.233612625	0.112470860	0.042717718	-0.009111800
2wiu	18	-44.168486612	-43.897314766	-40.256883795	-35.606641385	-36.205711381
2wiu	19	-0.149635660	-0.386215051	-0.223101307	-0.295736250	-0.305383841
2wiu	20	-0.701869460	-0.231565729	-0.204078035	-0.154434381	-0.136435430
2wiu	21	-35.978602159	-36.580332377	-37.890801300	-39.397829944	-40.025397920
2wiu	22	-50.041124430	-46.758791725	-47.833413097	-47.950098498	-47.242875428
2wiu	23	-30.014015360	-33.190371590	-34.206834020	-35.185366584	-36.244488511
2wiu	24	0.366636184	0.114971354	0.043624215	-0.011660598	-0.020904885
2wiu	25	-0.209694183	-0.470650307	-0.383160255	-0.209243063	-0.050205965
2wiu	26	-73.869669123	-73.800671669	-73.791322260	-73.749337302	-73.827220682
2wiu	27	-43.874929100	-44.017705868	-43.690948163	-43.598495694	-43.552226060
2wiu	28	0.186501484	-0.001909505	0.240137280	0.060274214	0.128947702
2wiu	29	-0.233214130	-0.204021627	-0.173225452	0.019255756	-0.190286387
2wiu	30	-39.746303028	-38.091335058	-37.542476755	-36.887636646	-38.414253654
2wiu	31	-0.928087376	-0.469352553	-0.448838470	-0.285383757	-0.243581102
2wiu	32	0.386035630	-0.103697147	-0.070975385	-0.067591333	-0.042065911
2wiu	33	-44.634595240	-42.122547012	-38.036854568	-37.665949430	-37.395140622
2wiu	34	-73.851371664	-73.690590720	-73.642818890	-73.647166534	-73.703538910
2wiu	35	0.504033763	-0.111775384	-0.073981045	-0.084909338	-0.080297732
2wiu	36	-65.229504813	-65.762163963	-65.899723843	-66.151476474	-65.853414774
2wiu	37	-0.327526124	-0.303803127	-0.345474235	-0.144567130	-0.241405938
2wiu	38	-48.537026567	-48.146748631	-46.392530910	-46.893313504	-46.429015791
2wiu	39	-0.292786259	-0.376749738	-0.121354282	-0.122225707	-0.153199315
2wiu	40	-37.207042031	-38.780497645	-40.685177153	-41.142187103	-40.702215496
2wiu	41	0.386461844	0.142514664	0.249966578	0.213086642	0.226153141
2wiu	42	-16.994491004	-17.428303945	-17.474622037	-17.548544623	-17.544190570
2wiu	43	0.570211319	0.447998849	0.140334285	0.268346472	0.088579592
2wiu	44	-0.338763501	-0.044774181	0.017292042	-0.102245512	0.000748539
2wiu	45	-0.092440442	0.232208849	0.299040225	0.365930924	0.279230564
2wiu	46	-0.553719250	-0.173126610	0.080330225	0.106295654	-0.070074756
2wiu	47	-43.956190750	-43.916638211	-42.740773950	-41.163219524	-41.515530037
2wiu	48	-0.207382586	0.060478511	0.183813605	0.139863043	0.004244765
2wiu	49	-0.524631784	-0.202682445	-0.103770807	0.072707402	-0.002548481
2wiu	50	-0.506815202	-0.263373731	-0.105866367	-0.178911515	-0.133795883
